Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Pay date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2017-12-13,FALON NAMEPLATES LTD,4687358,18,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2017-12-20,HARROGATE TIMBER LTD,4688538,250,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hort Materials - Direct Purchase,2017-12-20,SHIRE AGGREGATES BULK LTD,4688000,244.42,ROCK SALT
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2017-12-20,STEPHENSONS MEMORIAL WORKS,4689001,297,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2017-12-20,TELESHORE UK LTD,4687540,400,Stonefall Cemetery
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2017-12-04,WETHERBY SKIP HIRE SERVICES,4687692,200,Harrogate Borough Council  Parks
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2017-12-27,BULLOUGHS CLEANING SERVICES LTD,4688279,295,HBC  Blossomgate Hostel Blossomgate
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2017-12-27,BULLOUGHS CLEANING SERVICES LTD,4688281,641.33,HBC  Cavendish House 23 Robert Street
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2017-12-27,BULLOUGHS CLEANING SERVICES LTD,4688282,775.67,HBC  Avondale House The Avondale Hostel
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-12-20,CORDANT PEOPLE LIMITED,4688843,252.8,REDACTED-PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-12-18,CORDANT PEOPLE LIMITED,4688833,252.8,REDACTED-PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-12-27,NORTH EAST PRO GROUP,4688902,1883.15,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4688702,233.2,NV640LB SWAP
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4688447,233.2,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4688701,233.2,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-12-18,NORTHGATE VEHICLE HIRE LTD,4688450,280.98,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-12-18,NORTHGATE VEHICLE HIRE LTD,4688451,280.98,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687188,57,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687191,57,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687189,57,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4689134,57,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687190,57,Vehicle Monitoring
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-12-20,PROFESSIONAL PAPER SUPPLIES LTD,4687562,486.25,The Civic Centre
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-12-13,PROFESSIONAL PAPER SUPPLIES LTD,4687523,606.95,The Civic Centre
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-12-06,PROFESSIONAL PAPER SUPPLIES LTD,4686715,1012.05,Claro Road Deliveries
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Other Supplies & Services,2017-12-18,LITTLE BLUE MONSTER LTD,4688949,1567.00,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2017-12-20,NORTH YORKSHIRE COUNTY COUNCIL,4688818,44121.18,COMMERCIAL WASTE OF 39059 TONNES FOR JUNE CLAIM
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Miscellaneous Expenditure,2017-12-20,SPECIALIST BUILDING PRODUCTS LTD T/A ECODEK,4687518,155,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Miscellaneous Expenditure,2017-12-20,SPECIALIST BUILDING PRODUCTS LTD T/A ECODEK,4687518,1788.00,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,63.45,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,119.33,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,63.45,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-27,ALLSTAR BUSINESS SOLUTIONS LTD,4689278,119.33,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-11,ALLSTAR BUSINESS SOLUTIONS LTD,4688246,58.77,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-11,ALLSTAR BUSINESS SOLUTIONS LTD,4688246,58.77,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-04,ALLSTAR BUSINESS SOLUTIONS LTD,4687629,57.56,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-04,ALLSTAR BUSINESS SOLUTIONS LTD,4687629,57.56,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-12-06,BEMROSE BOOTH PARAGON LTD,4687044,45,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-12-06,BEMROSE BOOTH PARAGON LTD,4687044,1518.40,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,2017-12-27,KELTIC LTD,4688135,291.75,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Uniforms,2017-12-06,KELTIC LTD,4686860,413.9,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-12-27,LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,4688696,2150.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2017-12-06,NORTH YORKSHIRE COUNTY COUNCIL,4688197,978.67,TO REMOVE AND REPLACE VEHICLE COUNTING LOOPS
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4688699,259.6,NA1 3SOH SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-12-27,NORTHGATE VEHICLE HIRE LTD,4688700,259.6,NA1 3SOE SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687188,19,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2017-12-06,NORTHGATE VEHICLE HIRE LTD,4687188,19,Vehicle Monitoring
