Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001072,42,201901,CLICK TRAVEL LTD,9.17,2019-04-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,1112,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,1407,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,2170,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,2440,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Employees,Indirect Employee Expenses,41248943,1,201901,CROSSHANDS LTD T/A ACM TRAINING,1299,2019-04-25
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001072,43,201901,CLICK TRAVEL LTD,38.5,2019-04-25
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001072,48,201901,CLICK TRAVEL LTD,38.5,2019-04-25
Office of the Chief Executive,Supplies and Services,"Printing, Stationery etc",44032718,0,201901,ACORN WEB OFFSET LTD,8567.27,2019-04-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,41247832,8,201901,IDOX SOFTWARE LIMITED,5905.61,2019-04-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,44034690,0,201901,DAVID CASEY DISPLAYS LTD,760,2019-04-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,720,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,1026,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,1179,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,1733,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,1757,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,1870,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,2299,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,2445,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,"Grants, Contribs & Subs",41248501,1,201901,123RF,1402.8,2019-04-10
Office of the Chief Executive,Supplies and Services,Advertising,41249252,1,201901,SUPERKRUSH FILMS LTD,867.5,2019-04-25
Office of the Chief Executive,Supplies and Services,Advertising,41249260,1,201901,SUPERKRUSH FILMS LTD,2602.5,2019-04-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,44035241,0,201901,NCC SERVICES LTD,630,2019-04-29
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600027,576,201901,O2 (UK) LTD,10,2019-04-23
Office of the Chief Executive,Supplies and Services,"Licenses, Housing, Fees",41248291,1,201901,CAPITA BUSINESS SERVICES LTD T/A ORANGE BUS,35000,2019-04-10
Corporate Resources,Supplies and Services,Comms & Computing,60600027,2281,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,41248275,1,201901,UNIT4 BUSINESS SOFTWARE LTD,53321,2019-04-04
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1088,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1090,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1097,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1100,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1155,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1197,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,2106,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,2133,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,2323,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,2349,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,2365,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,2411,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148031095,2,201901,MARSH LTD,6016.78,2019-04-18
Corporate Resources,Supplies and Services,Comms & Computing,60600027,169,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,453,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1106,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1199,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1206,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1207,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1209,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,2274,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,27,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1121,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1235,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1399,201901,O2 (UK) LTD,12.63,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1647,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1728,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1819,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1829,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1830,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1833,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1838,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1839,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,1843,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,41248749,2,201901,LOGMEIN TECHNOLOGIES UK LIMITED,468,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,60600027,2083,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,"Printing, Stationery etc",44032565,0,201901,REACH PUBLISHING SERVICES LTD,732.42,2019-04-02
Corporate Resources,Supplies and Services,Comms & Computing,44034388,0,201901,CAPITA BUSINESS SERVICES LTD,18776.57,2019-04-15
Corporate Resources,Supplies and Services,Comms & Computing,44033680,0,201901,CAPITA BUSINESS SERVICES LTD,34484.53,2019-04-09
Corporate Resources,Supplies and Services,Comms & Computing,41248767,1,201901,CRITIQOM,950.2,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248770,1,201901,CRITIQOM,1242.43,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248774,1,201901,CRITIQOM,957.23,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248775,1,201901,CRITIQOM,2330.48,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248777,1,201901,CRITIQOM,434.46,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248778,1,201901,CRITIQOM,1469.4,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248780,1,201901,CRITIQOM,29259.88,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248781,1,201901,CRITIQOM,6193.81,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248785,1,201901,CRITIQOM,1006.49,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248787,1,201901,CRITIQOM,2394.93,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248788,1,201901,CRITIQOM,1019.46,2019-04-17
Corporate Resources,Supplies and Services,Comms & Computing,41248956,1,201901,CRITIQOM,848.56,2019-04-18
Corporate Resources,Supplies and Services,Comms & Computing,41248957,1,201901,CRITIQOM,1826.97,2019-04-18
Corporate Resources,Supplies and Services,Comms & Computing,148030962,7,201901,ROYAL MAIL,233.92,2019-04-03
Corporate Resources,Supplies and Services,Comms & Computing,148031063,7,201901,ROYAL MAIL,231.87,2019-04-16
Corporate Resources,Supplies and Services,Comms & Computing,148031064,7,201901,ROYAL MAIL,191.67,2019-04-16
Corporate Resources,Supplies and Services,Comms & Computing,148031221,7,201901,ROYAL MAIL,159.48,2019-04-30
Corporate Resources,Supplies and Services,Comms & Computing,148031222,7,201901,ROYAL MAIL,152.61,2019-04-30
Corporate Resources,Supplies and Services,Comms & Computing,41248981,1,201901,VIRGIN MEDIA PAYMENTS LTD,689.84,2019-04-18
Corporate Resources,Supplies and Services,Comms & Computing,60600027,980,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,986,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,987,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,991,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,60600027,992,201901,O2 (UK) LTD,10,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,44032795,0,201901,CAPITA BUSINESS SERVICES LTD,1300,2019-04-03
Corporate Resources,Supplies and Services,Comms & Computing,60600027,408,201901,O2 (UK) LTD,4.5,2019-04-23
Corporate Resources,Supplies and Services,Comms & Computing,41247832,7,201901,IDOX SOFTWARE LIMITED,6366.25,2019-04-02
