Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Schools,Premises,Rep & Maint,200042660,1,202009,Barclaycard - Global Commercial Payments,13.06,2020-12-10
Schools,Premises,Rep & Maint,200043235,1,202009,Barclaycard - Global Commercial Payments,1.24,2020-12-10
Schools,Premises,Rep & Maint,200043335,1,202009,Barclaycard - Global Commercial Payments,5.25,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200041893,1,202009,Barclaycard - Global Commercial Payments,10.04,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200040892,1,202009,Barclaycard - Global Commercial Payments,336.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200040903,1,202009,Barclaycard - Global Commercial Payments,74.95,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200041244,1,202009,Barclaycard - Global Commercial Payments,5.78,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200041401,1,202009,Barclaycard - Global Commercial Payments,25.07,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200041446,1,202009,Barclaycard - Global Commercial Payments,633.89,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200041566,1,202009,Barclaycard - Global Commercial Payments,49.98,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200041713,1,202009,Barclaycard - Global Commercial Payments,11.03,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200041824,1,202009,Barclaycard - Global Commercial Payments,84.89,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200041985,1,202009,Barclaycard - Global Commercial Payments,12.28,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042010,1,202009,Barclaycard - Global Commercial Payments,165.46,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042045,1,202009,Barclaycard - Global Commercial Payments,239.37,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042080,1,202009,Barclaycard - Global Commercial Payments,34.95,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042157,1,202009,Barclaycard - Global Commercial Payments,12.35,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042194,1,202009,Barclaycard - Global Commercial Payments,28.12,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042236,1,202009,Barclaycard - Global Commercial Payments,32.69,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042313,1,202009,Barclaycard - Global Commercial Payments,54.99,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042398,1,202009,Barclaycard - Global Commercial Payments,65.67,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042399,1,202009,Barclaycard - Global Commercial Payments,43.78,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042572,1,202009,Barclaycard - Global Commercial Payments,56.21,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042756,1,202009,Barclaycard - Global Commercial Payments,34.56,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042826,1,202009,Barclaycard - Global Commercial Payments,11.03,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042827,1,202009,Barclaycard - Global Commercial Payments,55.22,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042829,1,202009,Barclaycard - Global Commercial Payments,55.40,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043034,1,202009,Barclaycard - Global Commercial Payments,55.97,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043035,1,202009,Barclaycard - Global Commercial Payments,45.78,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043097,1,202009,Barclaycard - Global Commercial Payments,53.38,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043099,1,202009,Barclaycard - Global Commercial Payments,51.51,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043124,1,202009,Barclaycard - Global Commercial Payments,25.28,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043184,1,202009,Barclaycard - Global Commercial Payments,1.99,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043304,1,202009,Barclaycard - Global Commercial Payments,8.15,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043312,1,202009,Barclaycard - Global Commercial Payments,96.84,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043313,1,202009,Barclaycard - Global Commercial Payments,-8.76,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043378,1,202009,Barclaycard - Global Commercial Payments,7.99,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200043379,1,202009,Barclaycard - Global Commercial Payments,7.45,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042069,1,202009,Barclaycard - Global Commercial Payments,72.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042209,1,202009,Barclaycard - Global Commercial Payments,18.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200042620,1,202009,Barclaycard - Global Commercial Payments,106.12,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200015428,1,202009,Barclaycard - Global Commercial Payments,43.08,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200015694,1,202009,Barclaycard - Global Commercial Payments,17.59,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200015827,1,202009,Barclaycard - Global Commercial Payments,20.70,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200016168,1,202009,Barclaycard - Global Commercial Payments,54.91,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200016454,1,202009,Barclaycard - Global Commercial Payments,37.30,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200016455,1,202009,Barclaycard - Global Commercial Payments,34.80,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200016456,1,202009,Barclaycard - Global Commercial Payments,60.31,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200016713,1,202009,Barclaycard - Global Commercial Payments,157.36,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200016730,1,202009,Barclaycard - Global Commercial Payments,71.92,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200016891,1,202009,Barclaycard - Global Commercial Payments,184.21,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200017226,1,202009,Barclaycard - Global Commercial Payments,14.99,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200017532,1,202009,Barclaycard - Global Commercial Payments,75.47,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200017557,1,202009,Barclaycard - Global Commercial Payments,106.73,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200017711,1,202009,Barclaycard - Global Commercial Payments,9.35,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200017734,1,202009,Barclaycard - Global Commercial Payments,511.80,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200018055,1,202009,Barclaycard - Global Commercial Payments,49.45,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200018119,1,202009,Barclaycard - Global Commercial Payments,19.34,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200018251,1,202009,Barclaycard - Global Commercial Payments,20.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200018618,1,202009,Barclaycard - Global Commercial Payments,414.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200018841,1,202009,Barclaycard - Global Commercial Payments,11.63,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200019028,1,202009,Barclaycard - Global Commercial Payments,5.50,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200019258,1,202009,Barclaycard - Global Commercial Payments,38.16,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200019476,1,202009,Barclaycard - Global Commercial Payments,108.12,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200019765,1,202009,Barclaycard - Global Commercial Payments,108.60,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200019826,1,202009,Barclaycard - Global Commercial Payments,136.91,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020081,1,202009,Barclaycard - Global Commercial Payments,622.74,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020145,1,202009,Barclaycard - Global Commercial Payments,-136.91,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020183,1,202009,Barclaycard - Global Commercial Payments,37.67,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020227,1,202009,Barclaycard - Global Commercial Payments,8.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020239,1,202009,Barclaycard - Global Commercial Payments,22.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020278,1,202009,Barclaycard - Global Commercial Payments,12.61,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020394,1,202009,Barclaycard - Global Commercial Payments,24.17,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020597,1,202009,Barclaycard - Global Commercial Payments,17.06,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020674,1,202009,Barclaycard - Global Commercial Payments,-348.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020714,1,202009,Barclaycard - Global Commercial Payments,5.76,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020915,1,202009,Barclaycard - Global Commercial Payments,11.40,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020965,1,202009,Barclaycard - Global Commercial Payments,-219.08,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200020992,1,202009,Barclaycard - Global Commercial Payments,62.91,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021083,1,202009,Barclaycard - Global Commercial Payments,102.39,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021152,1,202009,Barclaycard - Global Commercial Payments,10.80,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021165,1,202009,Barclaycard - Global Commercial Payments,56.49,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021192,1,202009,Barclaycard - Global Commercial Payments,20.60,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021268,1,202009,Barclaycard - Global Commercial Payments,38.78,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021322,1,202009,Barclaycard - Global Commercial Payments,9.34,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021344,1,202009,Barclaycard - Global Commercial Payments,5.30,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021345,1,202009,Barclaycard - Global Commercial Payments,81.51,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021380,1,202009,Barclaycard - Global Commercial Payments,140.70,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021401,1,202009,Barclaycard - Global Commercial Payments,40.12,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021434,1,202009,Barclaycard - Global Commercial Payments,-55.15,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021806,1,202009,Barclaycard - Global Commercial Payments,9.35,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021832,1,202009,Barclaycard - Global Commercial Payments,105.09,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021927,1,202009,Barclaycard - Global Commercial Payments,148.80,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021928,1,202009,Barclaycard - Global Commercial Payments,251.93,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021980,1,202009,Barclaycard - Global Commercial Payments,88.80,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021983,1,202009,Barclaycard - Global Commercial Payments,72.17,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021984,1,202009,Barclaycard - Global Commercial Payments,5.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200021999,1,202009,Barclaycard - Global Commercial Payments,-37.22,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200022376,1,202009,Barclaycard - Global Commercial Payments,15.41,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200022377,1,202009,Barclaycard - Global Commercial Payments,1.95,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200022383,1,202009,Barclaycard - Global Commercial Payments,18.63,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200022446,1,202009,Barclaycard - Global Commercial Payments,7.44,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200022469,1,202009,Barclaycard - Global Commercial Payments,22.26,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200022470,1,202009,Barclaycard - Global Commercial Payments,14.30,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200022699,1,202009,Barclaycard - Global Commercial Payments,17.64,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023020,1,202009,Barclaycard - Global Commercial Payments,18.50,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023021,1,202009,Barclaycard - Global Commercial Payments,21.02,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023198,1,202009,Barclaycard - Global Commercial Payments,6.80,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023199,1,202009,Barclaycard - Global Commercial Payments,7.95,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023221,1,202009,Barclaycard - Global Commercial Payments,98.21,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023234,1,202009,Barclaycard - Global Commercial Payments,41.33,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023269,1,202009,Barclaycard - Global Commercial Payments,7.38,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023287,1,202009,Barclaycard - Global Commercial Payments,37.48,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023289,1,202009,Barclaycard - Global Commercial Payments,14.02,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023310,1,202009,Barclaycard - Global Commercial Payments,130.66,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023339,1,202009,Barclaycard - Global Commercial Payments,12.34,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023453,1,202009,Barclaycard - Global Commercial Payments,98.21,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023578,1,202009,Barclaycard - Global Commercial Payments,76.36,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023584,1,202009,Barclaycard - Global Commercial Payments,-98.21,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023585,1,202009,Barclaycard - Global Commercial Payments,-98.21,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023894,1,202009,Barclaycard - Global Commercial Payments,334.81,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200023997,1,202009,Barclaycard - Global Commercial Payments,8.00,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024025,1,202009,Barclaycard - Global Commercial Payments,89.40,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024026,1,202009,Barclaycard - Global Commercial Payments,10.95,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024027,1,202009,Barclaycard - Global Commercial Payments,4.57,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024028,1,202009,Barclaycard - Global Commercial Payments,34.16,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024053,1,202009,Barclaycard - Global Commercial Payments,-130.80,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024193,1,202009,Barclaycard - Global Commercial Payments,17.30,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024239,1,202009,Barclaycard - Global Commercial Payments,42.76,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024240,1,202009,Barclaycard - Global Commercial Payments,32.72,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024272,1,202009,Barclaycard - Global Commercial Payments,29.53,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024338,1,202009,Barclaycard - Global Commercial Payments,94.80,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024341,1,202009,Barclaycard - Global Commercial Payments,273.60,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024546,1,202009,Barclaycard - Global Commercial Payments,1.50,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024548,1,202009,Barclaycard - Global Commercial Payments,9.74,2020-12-10
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200024549,1,202009,Barclaycard - Global Commercial Payments,16.06,2020-12-10
