Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Employees,Indirect Employee Expenses,200071751,1,202202,Barclaycard - Global Commercial Payments,120.83,2022-05-11
Schools,Employees,Indirect Employee Expenses,200072065,1,202202,Barclaycard - Global Commercial Payments,330.00,2022-05-11
Schools,Employees,Indirect Employee Expenses,200071772,1,202202,Barclaycard - Global Commercial Payments,20.00,2022-05-11
Schools,Employees,Indirect Employee Expenses,200073162,1,202202,Barclaycard - Global Commercial Payments,97.50,2022-05-11
Schools,Employees,Indirect Employee Expenses,200072277,1,202202,Barclaycard - Global Commercial Payments,192.00,2022-05-11
Schools,Employees,Indirect Employee Expenses,200071465,1,202202,Barclaycard - Global Commercial Payments,9.50,2022-05-02
Public Health and Wellbeing,Premises,Rep & Maint,200072536,1,202202,Barclaycard - Global Commercial Payments,37.41,2022-05-11
Schools,Premises,Rep & Maint,200069752,1,202202,Barclaycard - Global Commercial Payments,213.60,2022-05-02
Schools,Premises,Rep & Maint,200071466,1,202202,Barclaycard - Global Commercial Payments,-213.60,2022-05-02
Schools,Premises,Rep & Maint,200073332,1,202202,Barclaycard - Global Commercial Payments,8.33,2022-05-11
Schools,Premises,Rep & Maint,200073333,1,202202,Barclaycard - Global Commercial Payments,4.98,2022-05-11
Schools,Premises,Rep & Maint,200073334,1,202202,Barclaycard - Global Commercial Payments,7.93,2022-05-11
Schools,Premises,Rep & Maint,200071770,1,202202,Barclaycard - Global Commercial Payments,1.75,2022-05-02
Schools,Premises,Rep & Maint,200071951,1,202202,Barclaycard - Global Commercial Payments,6.99,2022-05-02
Schools,Premises,Rep & Maint,200072047,1,202202,Barclaycard - Global Commercial Payments,20.47,2022-05-02
Schools,Premises,Rep & Maint,200072387,1,202202,Barclaycard - Global Commercial Payments,13.41,2022-05-02
Schools,Premises,Rep & Maint,200072975,1,202202,Barclaycard - Global Commercial Payments,30.46,2022-05-11
Schools,Premises,Rep & Maint,200073190,1,202202,Barclaycard - Global Commercial Payments,9.98,2022-05-11
Schools,Premises,Rep & Maint,200070959,1,202202,Barclaycard - Global Commercial Payments,435.83,2022-05-02
Schools,Premises,Rep & Maint,200071263,1,202202,Barclaycard - Global Commercial Payments,230.80,2022-05-02
Schools,Premises,Rep & Maint,200071976,1,202202,Barclaycard - Global Commercial Payments,43.70,2022-05-11
Schools,Premises,Rep & Maint,200073314,1,202202,Barclaycard - Global Commercial Payments,12.34,2022-05-11
Schools,Premises,Rep & Maint,200073188,1,202202,Barclaycard - Global Commercial Payments,32.95,2022-05-11
Schools,Premises,Rep & Maint,200073058,1,202202,Barclaycard - Global Commercial Payments,80.00,2022-05-11
"Housing, Environment and Healthy Communities",Premises,Energy,200067670,1,202202,Barclaycard - Global Commercial Payments,41.67,2022-05-11
"Housing, Environment and Healthy Communities",Premises,Energy,200067671,1,202202,Barclaycard - Global Commercial Payments,83.33,2022-05-11
"Housing, Environment and Healthy Communities",Premises,Energy,200069045,1,202202,Barclaycard - Global Commercial Payments,83.33,2022-05-11
"Housing, Environment and Healthy Communities",Premises,Energy,200069046,1,202202,Barclaycard - Global Commercial Payments,41.67,2022-05-11
"Housing, Environment and Healthy Communities",Premises,Energy,200070162,1,202202,Barclaycard - Global Commercial Payments,41.67,2022-05-11
"Housing, Environment and Healthy Communities",Premises,Energy,200070163,1,202202,Barclaycard - Global Commercial Payments,83.33,2022-05-11
"Housing, Environment and Healthy Communities",Premises,Energy,200071029,1,202202,Barclaycard - Global Commercial Payments,41.67,2022-05-11
"Housing, Environment and Healthy Communities",Premises,Energy,200072487,1,202202,Barclaycard - Global Commercial Payments,20.83,2022-05-11
Public Health and Wellbeing,Premises,Cleaning,200070955,1,202202,Barclaycard - Global Commercial Payments,1836.37,2022-05-02
Children's Social Care & Lifelong Learning,Premises,Fixtures & Fittings,200071839,1,202202,Barclaycard - Global Commercial Payments,146.93,2022-05-11
Children's Social Care & Lifelong Learning,Premises,Fixtures & Fittings,200072036,1,202202,Barclaycard - Global Commercial Payments,10.29,2022-05-11
Integrated Adults & Social Care Services,Premises,Fixtures & Fittings,200073202,1,202202,Barclaycard - Global Commercial Payments,41.66,2022-05-11
Schools,Premises,Fixtures & Fittings,200071539,1,202202,Barclaycard - Global Commercial Payments,69.17,2022-05-02
Schools,Premises,Fixtures & Fittings,200072116,1,202202,Barclaycard - Global Commercial Payments,210.79,2022-05-11
Schools,Transport,Vehicles and Plant,200071398,1,202202,Barclaycard - Global Commercial Payments,119.97,2022-05-02
Schools,Transport,Vehicles and Plant,200073024,1,202202,Barclaycard - Global Commercial Payments,111.11,2022-05-11
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200071032,1,202202,Barclaycard - Global Commercial Payments,277.50,2022-05-02
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200071033,1,202202,Barclaycard - Global Commercial Payments,277.50,2022-05-02
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200071034,1,202202,Barclaycard - Global Commercial Payments,277.50,2022-05-02
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200071035,1,202202,Barclaycard - Global Commercial Payments,277.50,2022-05-02
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200071423,1,202202,Barclaycard - Global Commercial Payments,277.50,2022-05-02
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200071424,1,202202,Barclaycard - Global Commercial Payments,167.50,2022-05-02
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200071425,1,202202,Barclaycard - Global Commercial Payments,277.50,2022-05-02
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200071426,1,202202,Barclaycard - Global Commercial Payments,167.50,2022-05-02
