Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Employees,Indirect Employee Expenses,148027067,1,201712,TYNE & WEAR PENSION FUND,44384,2018-03-15
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000419,54,201712,CLICK TRAVEL LTD,97.22,2018-03-01
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000466,41,201712,CLICK TRAVEL LTD,54,2018-03-29
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,327,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,433,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,503,201712,O2 (UK) LTD,11.5,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,542,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,341,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,410,201712,O2 (UK) LTD,11.5,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,472,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,1928,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Employees,Indirect Employee Expenses,41221753,1,201712,DAN SLEE C2 LTD,741.18,2018-03-28
Office of the Chief Executive,Employees,Indirect Employee Expenses,43985524,0,201712,DAN SLEE C2 LTD,617.65,2018-03-14
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000419,21,201712,CLICK TRAVEL LTD,55.04,2018-03-01
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000419,22,201712,CLICK TRAVEL LTD,14.85,2018-03-01
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000419,24,201712,CLICK TRAVEL LTD,154.53,2018-03-01
Office of the Chief Executive,Supplies and Services,"Printing, Stationery etc",41221004,1,201712,ACORN WEB OFFSET LTD,16162.12,2018-03-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,43988746,0,201712,123RF,1402.8,2018-03-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,43983654,1,201712,DOTTED EYES LTD,439,2018-03-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,380,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,508,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,1274,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,1684,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,1944,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600013,2063,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,713,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,885,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,1411,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,1660,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,1979,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600014,2146,201712,O2 (UK) LTD,10,2018-03-16
Office of the Chief Executive,Employees,Indirect Employee Expenses,148027122,1,201712,TYNE & WEAR PENSION FUND,65101,2018-03-21
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000449,54,201712,CLICK TRAVEL LTD,11.64,2018-03-16
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000449,65,201712,CLICK TRAVEL LTD,15.34,2018-03-16
