Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Services & Governance,Employees,Indirect Employee Expenses,200068411,1,202201,Barclaycard - Global Commercial Payments,79.20,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200068251,1,202201,Barclaycard - Global Commercial Payments,354.00,2022-04-08
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200066884,1,202201,Barclaycard - Global Commercial Payments,25.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071358,1,202201,Barclaycard - Global Commercial Payments,115.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071359,1,202201,Barclaycard - Global Commercial Payments,130.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071360,1,202201,Barclaycard - Global Commercial Payments,156.00,2022-04-20
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071361,1,202201,Barclaycard - Global Commercial Payments,130.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071362,1,202201,Barclaycard - Global Commercial Payments,156.00,2022-04-20
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071363,1,202201,Barclaycard - Global Commercial Payments,138.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071364,1,202201,Barclaycard - Global Commercial Payments,156.00,2022-04-20
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071365,1,202201,Barclaycard - Global Commercial Payments,222.00,2022-04-20
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071366,1,202201,Barclaycard - Global Commercial Payments,138.00,2022-04-20
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071367,1,202201,Barclaycard - Global Commercial Payments,156.00,2022-04-20
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071368,1,202201,Barclaycard - Global Commercial Payments,156.00,2022-04-20
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071369,1,202201,Barclaycard - Global Commercial Payments,138.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071370,1,202201,Barclaycard - Global Commercial Payments,205.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071371,1,202201,Barclaycard - Global Commercial Payments,185.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071372,1,202201,Barclaycard - Global Commercial Payments,115.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071373,1,202201,Barclaycard - Global Commercial Payments,156.00,2022-04-08
Corporate Services & Governance,Employees,Indirect Employee Expenses,200071374,1,202201,Barclaycard - Global Commercial Payments,130.00,2022-04-08
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200070615,1,202201,Barclaycard - Global Commercial Payments,10962.00,2022-04-05
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200069102,1,202201,Barclaycard - Global Commercial Payments,294.93,2022-04-05
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200069143,1,202201,Barclaycard - Global Commercial Payments,20.00,2022-04-05
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200069144,1,202201,Barclaycard - Global Commercial Payments,15.20,2022-04-05
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200070843,1,202201,Barclaycard - Global Commercial Payments,54.00,2022-04-20
Resources and Digital,Employees,Indirect Employee Expenses,200069907,1,202201,Barclaycard - Global Commercial Payments,203.00,2022-04-05
Schools,Employees,Indirect Employee Expenses,200071667,1,202201,Barclaycard - Global Commercial Payments,30.00,2022-04-20
Schools,Employees,Indirect Employee Expenses,200070191,1,202201,Barclaycard - Global Commercial Payments,35.00,2022-04-05
Schools,Employees,Indirect Employee Expenses,200070650,1,202201,Barclaycard - Global Commercial Payments,199.00,2022-04-05
"Children, Adults and Families",Employees,Indirect Employee Expenses,200069719,1,202201,Barclaycard - Global Commercial Payments,250.00,2022-04-08
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200070832,1,202201,Barclaycard - Global Commercial Payments,250.00,2022-04-20
Schools,Premises,Rep & Maint,200069274,1,202201,Barclaycard - Global Commercial Payments,40.78,2022-04-05
Schools,Premises,Rep & Maint,200071601,1,202201,Barclaycard - Global Commercial Payments,14.89,2022-04-08
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200066933,1,202201,Barclaycard - Global Commercial Payments,289.00,2022-04-08
Public Health and Wellbeing,Premises,Rep & Maint,200070953,1,202201,Barclaycard - Global Commercial Payments,92.16,2022-04-08
Public Health and Wellbeing,Premises,Rep & Maint,200071323,1,202201,Barclaycard - Global Commercial Payments,65.00,2022-04-08
Schools,Premises,Rep & Maint,200070987,1,202201,Barclaycard - Global Commercial Payments,59.99,2022-04-08
Schools,Premises,Rep & Maint,200071043,1,202201,Barclaycard - Global Commercial Payments,19.99,2022-04-08
Schools,Premises,Rep & Maint,200071044,1,202201,Barclaycard - Global Commercial Payments,5.84,2022-04-08
Schools,Premises,Rep & Maint,200071057,1,202201,Barclaycard - Global Commercial Payments,120.00,2022-04-08
Schools,Premises,Rep & Maint,200071194,1,202201,Barclaycard - Global Commercial Payments,7.03,2022-04-08
Schools,Premises,Rep & Maint,200067468,1,202201,Barclaycard - Global Commercial Payments,82.50,2022-04-05
Schools,Premises,Rep & Maint,200067804,1,202201,Barclaycard - Global Commercial Payments,16.99,2022-04-05
Schools,Premises,Rep & Maint,200071715,1,202201,Barclaycard - Global Commercial Payments,19.17,2022-04-20
Schools,Premises,Rep & Maint,200071376,1,202201,Barclaycard - Global Commercial Payments,7.40,2022-04-08
Schools,Premises,Rep & Maint,200071377,1,202201,Barclaycard - Global Commercial Payments,14.95,2022-04-08
Schools,Premises,Rep & Maint,200071637,1,202201,Barclaycard - Global Commercial Payments,14.52,2022-04-08
Schools,Premises,Rep & Maint,200071182,1,202201,Barclaycard - Global Commercial Payments,91.81,2022-04-08
Schools,Premises,Rep & Maint,200070128,1,202201,Barclaycard - Global Commercial Payments,18.23,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200061026,1,202201,Barclaycard - Global Commercial Payments,60.00,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200062137,1,202201,Barclaycard - Global Commercial Payments,30.00,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200065931,1,202201,Barclaycard - Global Commercial Payments,60.00,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200067708,1,202201,Barclaycard - Global Commercial Payments,20.00,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200068116,1,202201,Barclaycard - Global Commercial Payments,30.00,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200068985,1,202201,Barclaycard - Global Commercial Payments,40.00,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200062785,1,202201,Barclaycard - Global Commercial Payments,35.00,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200063725,1,202201,Barclaycard - Global Commercial Payments,70.00,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200068049,1,202201,Barclaycard - Global Commercial Payments,10.00,2022-04-05
"Housing, Environment and Healthy Communities",Premises,Energy,200068812,1,202201,Barclaycard - Global Commercial Payments,10.00,2022-04-05
Schools,Premises,Cleaning,200071131,1,202201,Barclaycard - Global Commercial Payments,220.83,2022-04-08
"Children, Adults and Families",Premises,Fixtures & Fittings,200071345,1,202201,Barclaycard - Global Commercial Payments,73.72,2022-04-20
Schools,Premises,Fixtures & Fittings,200071020,1,202201,Barclaycard - Global Commercial Payments,89.24,2022-04-20
Schools,Premises,Fixtures & Fittings,200071081,1,202201,Barclaycard - Global Commercial Payments,89.83,2022-04-20
Schools,Premises,Fixtures & Fittings,200069328,1,202201,Barclaycard - Global Commercial Payments,75.00,2022-04-05
Schools,Premises,Fixtures & Fittings,200070897,1,202201,Barclaycard - Global Commercial Payments,94.22,2022-04-05
Schools,Premises,Fixtures & Fittings,200066947,1,202201,Barclaycard - Global Commercial Payments,29.78,2022-04-08
Schools,Premises,Fixtures & Fittings,200071169,1,202201,Barclaycard - Global Commercial Payments,10.00,2022-04-08
Schools,Premises,Fixtures & Fittings,200066635,1,202201,Barclaycard - Global Commercial Payments,132.50,2022-04-05
Schools,Premises,Fixtures & Fittings,200071256,1,202201,Barclaycard - Global Commercial Payments,12.49,2022-04-20
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200069826,1,202201,Barclaycard - Global Commercial Payments,20.97,2022-04-05
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200069452,1,202201,Barclaycard - Global Commercial Payments,302.50,2022-04-05
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,200071174,1,202201,Barclaycard - Global Commercial Payments,8.00,2022-04-20
Public Health and Wellbeing,Transport,Public Transport and Taxi Fares,200071405,1,202201,Barclaycard - Global Commercial Payments,18.29,2022-04-08
Schools,Transport,Public Transport and Taxi Fares,200071341,1,202201,Barclaycard - Global Commercial Payments,20.00,2022-04-08
"Housing, Environment and Healthy Communities",Transport,Car Allowances,200069988,1,202201,Barclaycard - Global Commercial Payments,2.33,2022-04-05
"Housing, Environment and Healthy Communities",Transport,Car Allowances,200070849,1,202201,Barclaycard - Global Commercial Payments,1.33,2022-04-05
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200070978,1,202201,Barclaycard - Global Commercial Payments,3.50,2022-04-08
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200071071,1,202201,Barclaycard - Global Commercial Payments,2.50,2022-04-20
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200071241,1,202201,Barclaycard - Global Commercial Payments,10.50,2022-04-08
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200071492,1,202201,Barclaycard - Global Commercial Payments,2.50,2022-04-20
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200071569,1,202201,Barclaycard - Global Commercial Payments,-30.20,2022-04-08
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200066606,1,202201,Barclaycard - Global Commercial Payments,1.25,2022-04-08
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200069933,1,202201,Barclaycard - Global Commercial Payments,2.40,2022-04-20
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200070274,1,202201,Barclaycard - Global Commercial Payments,3.69,2022-04-05
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200070275,1,202201,Barclaycard - Global Commercial Payments,3.69,2022-04-05
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200070277,1,202201,Barclaycard - Global Commercial Payments,1.25,2022-04-05
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200070590,1,202201,Barclaycard - Global Commercial Payments,8.40,2022-04-05
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200070591,1,202201,Barclaycard - Global Commercial Payments,2.40,2022-04-05
