Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Services & Governance,Employees,Indirect Employee Expenses,200056196,1,202105,Barclaycard - Global Commercial Payments,42.00,2021-08-30
Corporate Services & Governance,Employees,Indirect Employee Expenses,200056820,1,202105,Barclaycard - Global Commercial Payments,126.50,2021-08-30
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200057288,1,202105,Barclaycard - Global Commercial Payments,35.00,2021-08-30
"Children, Adults and Families",Employees,Indirect Employee Expenses,200056689,1,202105,Barclaycard - Global Commercial Payments,220.00,2021-08-01
"Children, Adults and Families",Employees,Indirect Employee Expenses,200057499,1,202105,Barclaycard - Global Commercial Payments,190.00,2021-08-30
"Children, Adults and Families",Employees,Indirect Employee Expenses,200057501,1,202105,Barclaycard - Global Commercial Payments,190.00,2021-08-30
Corporate Services & Governance,Employees,Indirect Employee Expenses,200056970,1,202105,Barclaycard - Global Commercial Payments,258.00,2021-08-30
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200055991,1,202105,Barclaycard - Global Commercial Payments,15.00,2021-08-30
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200056899,1,202105,Barclaycard - Global Commercial Payments,12.00,2021-08-30
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200057366,1,202105,Barclaycard - Global Commercial Payments,27.00,2021-08-30
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200055136,1,202105,Barclaycard - Global Commercial Payments,25.00,2021-08-01
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200055064,1,202105,Barclaycard - Global Commercial Payments,42.00,2021-08-01
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200057603,1,202105,Barclaycard - Global Commercial Payments,168.00,2021-08-30
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200057338,1,202105,Barclaycard - Global Commercial Payments,312.00,2021-08-30
Resources and Digital,Employees,Indirect Employee Expenses,200057494,1,202105,Barclaycard - Global Commercial Payments,40.44,2021-08-30
