Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Schools,Employees,Other Employee,200053492,1,202103,Barclaycard - Global Commercial Payments,416.67,2021-06-15
Schools,Employees,Other Employee,200053493,1,202103,Barclaycard - Global Commercial Payments,500.00,2021-06-15
Corporate Services & Governance,Employees,Indirect Employee Expenses,200045209,1,202103,Barclaycard - Global Commercial Payments,137.00,2021-06-15
Corporate Services & Governance,Employees,Indirect Employee Expenses,200047156,1,202103,Barclaycard - Global Commercial Payments,22.95,2021-06-15
Corporate Services & Governance,Employees,Indirect Employee Expenses,200049208,1,202103,Barclaycard - Global Commercial Payments,22.95,2021-06-15
Corporate Services & Governance,Employees,Indirect Employee Expenses,200050303,1,202103,Barclaycard - Global Commercial Payments,156.00,2021-06-15
Corporate Services & Governance,Employees,Indirect Employee Expenses,200053844,1,202103,Barclaycard - Global Commercial Payments,244.00,2021-06-15
Corporate Services & Governance,Employees,Indirect Employee Expenses,200052444,1,202103,Barclaycard - Global Commercial Payments,209.00,2021-06-15
"Children, Adults and Families",Employees,Indirect Employee Expenses,200054322,1,202103,Barclaycard - Global Commercial Payments,30.00,2021-06-15
"Children, Adults and Families",Employees,Indirect Employee Expenses,200054451,1,202103,Barclaycard - Global Commercial Payments,50.00,2021-06-15
"Children, Adults and Families",Employees,Indirect Employee Expenses,200054771,1,202103,Barclaycard - Global Commercial Payments,99.00,2021-06-15
"Children, Adults and Families",Employees,Indirect Employee Expenses,200053769,1,202103,Barclaycard - Global Commercial Payments,65.26,2021-06-15
"Children, Adults and Families",Employees,Indirect Employee Expenses,200053770,1,202103,Barclaycard - Global Commercial Payments,65.26,2021-06-15
"Children, Adults and Families",Employees,Indirect Employee Expenses,200053851,1,202103,Barclaycard - Global Commercial Payments,65.26,2021-06-15
"Children, Adults and Families",Employees,Indirect Employee Expenses,200053852,1,202103,Barclaycard - Global Commercial Payments,65.26,2021-06-15
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200052253,1,202103,Barclaycard - Global Commercial Payments,684.00,2021-06-15
Office of the Chief Executive,Employees,Indirect Employee Expenses,200054494,1,202103,Barclaycard - Global Commercial Payments,96.75,2021-06-15
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200053674,1,202103,Barclaycard - Global Commercial Payments,624.00,2021-06-15
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200052781,1,202103,Barclaycard - Global Commercial Payments,100.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053002,1,202103,Barclaycard - Global Commercial Payments,40.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053814,1,202103,Barclaycard - Global Commercial Payments,54.17,2021-06-15
Schools,Employees,Indirect Employee Expenses,200052704,1,202103,Barclaycard - Global Commercial Payments,14.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053621,1,202103,Barclaycard - Global Commercial Payments,25.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053622,1,202103,Barclaycard - Global Commercial Payments,25.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053953,1,202103,Barclaycard - Global Commercial Payments,35.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200052962,1,202103,Barclaycard - Global Commercial Payments,26.67,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053646,1,202103,Barclaycard - Global Commercial Payments,25.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053647,1,202103,Barclaycard - Global Commercial Payments,25.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053725,1,202103,Barclaycard - Global Commercial Payments,-25.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053726,1,202103,Barclaycard - Global Commercial Payments,-25.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053727,1,202103,Barclaycard - Global Commercial Payments,73.75,2021-06-15
Schools,Employees,Indirect Employee Expenses,200051124,1,202103,Barclaycard - Global Commercial Payments,31.53,2021-06-15
Schools,Employees,Indirect Employee Expenses,200052610,1,202103,Barclaycard - Global Commercial Payments,230.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053576,1,202103,Barclaycard - Global Commercial Payments,230.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053577,1,202103,Barclaycard - Global Commercial Payments,-230.00,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053253,1,202103,Barclaycard - Global Commercial Payments,27.68,2021-06-15
Schools,Employees,Indirect Employee Expenses,200053254,1,202103,Barclaycard - Global Commercial Payments,80.26,2021-06-15
Schools,Premises,Rep & Maint,200052479,1,202103,Barclaycard - Global Commercial Payments,20.00,2021-06-15
Schools,Premises,Rep & Maint,200052858,1,202103,Barclaycard - Global Commercial Payments,45.82,2021-06-15
Schools,Premises,Rep & Maint,200052722,1,202103,Barclaycard - Global Commercial Payments,7.33,2021-06-15
Schools,Premises,Rep & Maint,200053920,1,202103,Barclaycard - Global Commercial Payments,37.49,2021-06-15
Schools,Premises,Rep & Maint,200054292,1,202103,Barclaycard - Global Commercial Payments,5.12,2021-06-15
Schools,Premises,Rep & Maint,200051473,1,202103,Barclaycard - Global Commercial Payments,99.16,2021-06-15
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200053758,1,202103,Barclaycard - Global Commercial Payments,25.00,2021-06-15
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200054119,1,202103,Barclaycard - Global Commercial Payments,71.52,2021-06-15
Public Health and Wellbeing,Premises,Rep & Maint,200053135,1,202103,Barclaycard - Global Commercial Payments,13.48,2021-06-15
Public Health and Wellbeing,Premises,Rep & Maint,200053925,1,202103,Barclaycard - Global Commercial Payments,60.36,2021-06-15
Public Health and Wellbeing,Premises,Rep & Maint,200054091,1,202103,Barclaycard - Global Commercial Payments,161.75,2021-06-15
Public Health and Wellbeing,Premises,Rep & Maint,200053214,1,202103,Barclaycard - Global Commercial Payments,75.00,2021-06-15
Public Health and Wellbeing,Premises,Rep & Maint,200053336,1,202103,Barclaycard - Global Commercial Payments,26.47,2021-06-15
Public Health and Wellbeing,Premises,Rep & Maint,200053845,1,202103,Barclaycard - Global Commercial Payments,13.64,2021-06-15
Public Health and Wellbeing,Premises,Rep & Maint,200054022,1,202103,Barclaycard - Global Commercial Payments,27.42,2021-06-15
Schools,Premises,Rep & Maint,200054110,1,202103,Barclaycard - Global Commercial Payments,17.32,2021-06-15
Schools,Premises,Rep & Maint,200054749,1,202103,Barclaycard - Global Commercial Payments,44.00,2021-06-15
Schools,Premises,Rep & Maint,200054642,1,202103,Barclaycard - Global Commercial Payments,5.49,2021-06-15
Schools,Premises,Rep & Maint,200054813,1,202103,Barclaycard - Global Commercial Payments,15.37,2021-06-15
Schools,Premises,Rep & Maint,200053968,1,202103,Barclaycard - Global Commercial Payments,2.08,2021-06-15
Schools,Premises,Rep & Maint,200053344,1,202103,Barclaycard - Global Commercial Payments,54.11,2021-06-15
Schools,Premises,Rep & Maint,200051291,1,202103,Barclaycard - Global Commercial Payments,48.54,2021-06-15
Schools,Premises,Rep & Maint,200052974,1,202103,Barclaycard - Global Commercial Payments,6.25,2021-06-15
