Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Services & Governance,Employees,Indirect Employee Expenses,200042994,1,202008,Barclaycard - Global Commercial Payments,43.50,2020-11-10
Corporate Services & Governance,Employees,Indirect Employee Expenses,200043404,1,202008,Barclaycard - Global Commercial Payments,143.00,2020-11-19
Corporate Services & Governance,Employees,Indirect Employee Expenses,200043458,1,202008,Barclaycard - Global Commercial Payments,59.75,2020-11-19
Corporate Services & Governance,Employees,Indirect Employee Expenses,200043459,1,202008,Barclaycard - Global Commercial Payments,36.00,2020-11-19
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200042581,1,202008,Barclaycard - Global Commercial Payments,35.83,2020-11-10
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200043238,1,202008,Barclaycard - Global Commercial Payments,265.68,2020-11-10
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200042502,1,202008,Barclaycard - Global Commercial Payments,30.00,2020-11-19
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200042588,1,202008,Barclaycard - Global Commercial Payments,254.40,2020-11-10
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200043043,1,202008,Barclaycard - Global Commercial Payments,27.00,2020-11-10
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200043109,1,202008,Barclaycard - Global Commercial Payments,27.00,2020-11-10
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200043110,1,202008,Barclaycard - Global Commercial Payments,27.00,2020-11-10
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200043111,1,202008,Barclaycard - Global Commercial Payments,27.00,2020-11-10
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200021898,1,202008,Barclaycard - Global Commercial Payments,180.00,2020-11-19
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200034733,1,202008,Barclaycard - Global Commercial Payments,20.00,2020-11-11
Schools,Employees,Indirect Employee Expenses,200042590,1,202008,Barclaycard - Global Commercial Payments,75.00,2020-11-24
Schools,Employees,Indirect Employee Expenses,200042864,1,202008,Barclaycard - Global Commercial Payments,20.00,2020-11-10
Schools,Employees,Indirect Employee Expenses,200042646,1,202008,Barclaycard - Global Commercial Payments,97.00,2020-11-24
Schools,Employees,Indirect Employee Expenses,200036264,1,202008,Barclaycard - Global Commercial Payments,50.00,2020-11-19
Schools,Employees,Indirect Employee Expenses,200042456,1,202008,Barclaycard - Global Commercial Payments,157.65,2020-11-19
Schools,Employees,Indirect Employee Expenses,200042602,1,202008,Barclaycard - Global Commercial Payments,270.00,2020-11-19
Schools,Employees,Indirect Employee Expenses,200042603,1,202008,Barclaycard - Global Commercial Payments,10.00,2020-11-19
Schools,Employees,Indirect Employee Expenses,200042648,1,202008,Barclaycard - Global Commercial Payments,9.21,2020-11-10
Schools,Employees,Indirect Employee Expenses,200043166,1,202008,Barclaycard - Global Commercial Payments,399.00,2020-11-10
Resources and Digital,Employees,Indirect Employee Expenses,200043108,1,202008,Barclaycard - Global Commercial Payments,250.00,2020-11-03
Schools,Premises,Rep & Maint,200042900,1,202008,Barclaycard - Global Commercial Payments,5.28,2020-11-03
Schools,Premises,Rep & Maint,200042901,1,202008,Barclaycard - Global Commercial Payments,14.97,2020-11-03
Schools,Premises,Rep & Maint,200042956,1,202008,Barclaycard - Global Commercial Payments,161.70,2020-11-10
Schools,Premises,Rep & Maint,200043087,1,202008,Barclaycard - Global Commercial Payments,69.86,2020-11-10
Schools,Premises,Rep & Maint,200043386,1,202008,Barclaycard - Global Commercial Payments,2.08,2020-11-10
Public Health and Wellbeing,Premises,Rep & Maint,200042344,1,202008,Barclaycard - Global Commercial Payments,40.00,2020-11-10
Schools,Premises,Rep & Maint,200019472,1,202008,Barclaycard - Global Commercial Payments,4.16,2020-11-25
Schools,Premises,Rep & Maint,200019983,1,202008,Barclaycard - Global Commercial Payments,40.00,2020-11-25
Schools,Premises,Rep & Maint,200019984,1,202008,Barclaycard - Global Commercial Payments,11.65,2020-11-25
Schools,Premises,Rep & Maint,200022528,1,202008,Barclaycard - Global Commercial Payments,4.98,2020-11-25
Schools,Premises,Rep & Maint,200022794,1,202008,Barclaycard - Global Commercial Payments,12.45,2020-11-25
Schools,Premises,Rep & Maint,200042175,1,202008,Barclaycard - Global Commercial Payments,27.91,2020-11-10
Schools,Premises,Rep & Maint,200043129,1,202008,Barclaycard - Global Commercial Payments,40.35,2020-11-10
Schools,Premises,Rep & Maint,200043130,1,202008,Barclaycard - Global Commercial Payments,-13.45,2020-11-10
