Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200066881,1,202111,Barclaycard - Global Commercial Payments,25.00,2022-02-28
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200066882,1,202111,Barclaycard - Global Commercial Payments,25.00,2022-02-28
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200066883,1,202111,Barclaycard - Global Commercial Payments,102.00,2022-02-28
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200066885,1,202111,Barclaycard - Global Commercial Payments,25.00,2022-02-28
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200066886,1,202111,Barclaycard - Global Commercial Payments,85.00,2022-02-28
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200066887,1,202111,Barclaycard - Global Commercial Payments,25.00,2022-02-28
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200065257,1,202111,Barclaycard - Global Commercial Payments,300.00,2022-02-07
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200045943,1,202111,Barclaycard - Global Commercial Payments,12.00,2022-02-18
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200064286,1,202111,Barclaycard - Global Commercial Payments,216.67,2022-02-18
"Children, Adults and Families",Employees,Indirect Employee Expenses,200066550,1,202111,Barclaycard - Global Commercial Payments,140.00,2022-02-07
"Children, Adults and Families",Employees,Indirect Employee Expenses,200064000,1,202111,Barclaycard - Global Commercial Payments,244.26,2022-02-18
"Children, Adults and Families",Employees,Indirect Employee Expenses,200065667,1,202111,Barclaycard - Global Commercial Payments,43.00,2022-02-18
"Children, Adults and Families",Employees,Indirect Employee Expenses,200065761,1,202111,Barclaycard - Global Commercial Payments,144.00,2022-02-18
"Children, Adults and Families",Employees,Indirect Employee Expenses,200060692,1,202111,Barclaycard - Global Commercial Payments,50.00,2022-02-18
"Children, Adults and Families",Employees,Indirect Employee Expenses,200059914,1,202111,Barclaycard - Global Commercial Payments,195.00,2022-02-18
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200067812,1,202111,Barclaycard - Global Commercial Payments,150.00,2022-02-28
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200066948,1,202111,Barclaycard - Global Commercial Payments,159.00,2022-02-07
Resources and Digital,Employees,Indirect Employee Expenses,200066509,1,202111,Barclaycard - Global Commercial Payments,123.00,2022-02-18
Schools,Employees,Indirect Employee Expenses,200067466,1,202111,Barclaycard - Global Commercial Payments,40.83,2022-02-18
Schools,Employees,Indirect Employee Expenses,200068065,1,202111,Barclaycard - Global Commercial Payments,295.00,2022-02-18
Schools,Employees,Indirect Employee Expenses,200067436,1,202111,Barclaycard - Global Commercial Payments,-90.00,2022-02-18
Schools,Employees,Indirect Employee Expenses,200067029,1,202111,Barclaycard - Global Commercial Payments,74.00,2022-02-18
Schools,Employees,Indirect Employee Expenses,200067622,1,202111,Barclaycard - Global Commercial Payments,171.96,2022-02-18
Schools,Employees,Indirect Employee Expenses,200064301,1,202111,Barclaycard - Global Commercial Payments,23.98,2022-02-18
Schools,Employees,Indirect Employee Expenses,200064064,1,202111,Barclaycard - Global Commercial Payments,30.00,2022-02-18
Schools,Employees,Indirect Employee Expenses,200067868,1,202111,Barclaycard - Global Commercial Payments,42.00,2022-02-18
"Children, Adults and Families",Employees,Indirect Employee Expenses,200065627,1,202111,Barclaycard - Global Commercial Payments,250.00,2022-02-18
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200064322,1,202111,Barclaycard - Global Commercial Payments,250.00,2022-02-18
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200059131,1,202111,Barclaycard - Global Commercial Payments,500.00,2022-02-18
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200064323,1,202111,Barclaycard - Global Commercial Payments,250.00,2022-02-18
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200060806,1,202111,Barclaycard - Global Commercial Payments,17.11,2022-02-07
Schools,Premises,Rep & Maint,200060522,1,202111,Barclaycard - Global Commercial Payments,4.82,2022-02-07
Schools,Premises,Rep & Maint,200060859,1,202111,Barclaycard - Global Commercial Payments,2.79,2022-02-07
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200067204,1,202111,Barclaycard - Global Commercial Payments,425.93,2022-02-18
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200064426,1,202111,Barclaycard - Global Commercial Payments,147.99,2022-02-18
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200065193,1,202111,Barclaycard - Global Commercial Payments,164.50,2022-02-18
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200067203,1,202111,Barclaycard - Global Commercial Payments,433.24,2022-02-18
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200067205,1,202111,Barclaycard - Global Commercial Payments,395.92,2022-02-18
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200067206,1,202111,Barclaycard - Global Commercial Payments,349.98,2022-02-18
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200067798,1,202111,Barclaycard - Global Commercial Payments,112.00,2022-02-18
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200067987,1,202111,Barclaycard - Global Commercial Payments,445.00,2022-02-18
Schools,Premises,Rep & Maint,200066776,1,202111,Barclaycard - Global Commercial Payments,20.00,2022-02-07
Schools,Premises,Rep & Maint,200067363,1,202111,Barclaycard - Global Commercial Payments,3.54,2022-02-18
Schools,Premises,Rep & Maint,200066771,1,202111,Barclaycard - Global Commercial Payments,38.05,2022-02-07
Schools,Premises,Rep & Maint,200066831,1,202111,Barclaycard - Global Commercial Payments,57.48,2022-02-07
Schools,Premises,Rep & Maint,200066832,1,202111,Barclaycard - Global Commercial Payments,29.63,2022-02-07
Schools,Premises,Rep & Maint,200066879,1,202111,Barclaycard - Global Commercial Payments,49.49,2022-02-07
Schools,Premises,Rep & Maint,200067409,1,202111,Barclaycard - Global Commercial Payments,34.95,2022-02-18
Schools,Premises,Rep & Maint,200064339,1,202111,Barclaycard - Global Commercial Payments,2.75,2022-02-18
Schools,Premises,Rep & Maint,200064879,1,202111,Barclaycard - Global Commercial Payments,19.06,2022-02-18
Schools,Premises,Rep & Maint,200065314,1,202111,Barclaycard - Global Commercial Payments,18.97,2022-02-18
Schools,Premises,Rep & Maint,200066650,1,202111,Barclaycard - Global Commercial Payments,22.53,2022-02-18
Schools,Premises,Rep & Maint,200066856,1,202111,Barclaycard - Global Commercial Payments,5.20,2022-02-18
Schools,Premises,Rep & Maint,200068071,1,202111,Barclaycard - Global Commercial Payments,7.55,2022-02-28
Schools,Premises,Rep & Maint,200068325,1,202111,Barclaycard - Global Commercial Payments,4.41,2022-02-28
Schools,Premises,Rep & Maint,200064272,1,202111,Barclaycard - Global Commercial Payments,171.54,2022-02-07
Schools,Premises,Rep & Maint,200067114,1,202111,Barclaycard - Global Commercial Payments,11.13,2022-02-18
Schools,Premises,Rep & Maint,200067511,1,202111,Barclaycard - Global Commercial Payments,104.90,2022-02-18
Schools,Premises,Rep & Maint,200067477,1,202111,Barclaycard - Global Commercial Payments,99.17,2022-02-18
Schools,Premises,Rep & Maint,200068616,1,202111,Barclaycard - Global Commercial Payments,28.10,2022-02-18
Schools,Premises,Rep & Maint,200068661,1,202111,Barclaycard - Global Commercial Payments,43.31,2022-02-28
Schools,Premises,Rep & Maint,200067920,1,202111,Barclaycard - Global Commercial Payments,343.20,2022-02-18
Schools,Premises,Rep & Maint,200064969,1,202111,Barclaycard - Global Commercial Payments,7.49,2022-02-07
Schools,Premises,Rep & Maint,200068291,1,202111,Barclaycard - Global Commercial Payments,10.81,2022-02-18
Schools,Premises,Rep & Maint,200068707,1,202111,Barclaycard - Global Commercial Payments,7.49,2022-02-18
Schools,Premises,Rep & Maint,200068709,1,202111,Barclaycard - Global Commercial Payments,2.92,2022-02-18
Schools,Premises,Rep & Maint,200062970,1,202111,Barclaycard - Global Commercial Payments,31.02,2022-02-07
Schools,Premises,Rep & Maint,200063923,1,202111,Barclaycard - Global Commercial Payments,49.98,2022-02-18
Schools,Premises,Rep & Maint,200068612,1,202111,Barclaycard - Global Commercial Payments,22.12,2022-02-18
Schools,Premises,Rep & Maint,200067055,1,202111,Barclaycard - Global Commercial Payments,12.59,2022-02-18
Schools,Premises,Rep & Maint,200067822,1,202111,Barclaycard - Global Commercial Payments,16.73,2022-02-18
"Children, Adults and Families",Premises,Fixtures & Fittings,200066099,1,202111,Barclaycard - Global Commercial Payments,15.50,2022-02-07
"Children, Adults and Families",Premises,Fixtures & Fittings,200066809,1,202111,Barclaycard - Global Commercial Payments,13.48,2022-02-07
"Children, Adults and Families",Premises,Fixtures & Fittings,200066901,1,202111,Barclaycard - Global Commercial Payments,33.98,2022-02-07
"Children, Adults and Families",Premises,Fixtures & Fittings,200067001,1,202111,Barclaycard - Global Commercial Payments,50.98,2022-02-18
"Children, Adults and Families",Premises,Fixtures & Fittings,200067768,1,202111,Barclaycard - Global Commercial Payments,39.92,2022-02-28
"Children, Adults and Families",Premises,Fixtures & Fittings,200066734,1,202111,Barclaycard - Global Commercial Payments,7.99,2022-02-07
"Children, Adults and Families",Premises,Fixtures & Fittings,200067167,1,202111,Barclaycard - Global Commercial Payments,19.98,2022-02-18
Schools,Premises,Fixtures & Fittings,200066726,1,202111,Barclaycard - Global Commercial Payments,37.69,2022-02-07
Schools,Premises,Fixtures & Fittings,200066890,1,202111,Barclaycard - Global Commercial Payments,140.62,2022-02-07
Schools,Premises,Fixtures & Fittings,200067846,1,202111,Barclaycard - Global Commercial Payments,92.95,2022-02-18
Schools,Premises,Fixtures & Fittings,200067701,1,202111,Barclaycard - Global Commercial Payments,69.16,2022-02-18
Schools,Premises,Fixtures & Fittings,200066459,1,202111,Barclaycard - Global Commercial Payments,-16.67,2022-02-07
Schools,Premises,Fixtures & Fittings,200067869,1,202111,Barclaycard - Global Commercial Payments,30.50,2022-02-18
