Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Services & Governance,Employees,Indirect Employee Expenses,200049207,1,202012,Barclaycard - Global Commercial Payments,202.80,2021-03-16
Corporate Services & Governance,Employees,Indirect Employee Expenses,200049931,1,202012,Barclaycard - Global Commercial Payments,103.00,2021-03-16
Corporate Services & Governance,Employees,Indirect Employee Expenses,200050939,1,202012,Barclaycard - Global Commercial Payments,131.94,2021-03-25
Corporate Services & Governance,Employees,Indirect Employee Expenses,200045587,1,202012,Barclaycard - Global Commercial Payments,882.00,2021-03-07
Corporate Services & Governance,Employees,Indirect Employee Expenses,200050370,1,202012,Barclaycard - Global Commercial Payments,118.80,2021-03-25
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200045492,1,202012,Barclaycard - Global Commercial Payments,192.00,2021-03-15
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200046186,1,202012,Barclaycard - Global Commercial Payments,24.00,2021-03-15
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200047952,1,202012,Barclaycard - Global Commercial Payments,36.00,2021-03-29
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200042339,1,202012,Barclaycard - Global Commercial Payments,328.33,2021-03-18
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200047998,1,202012,Barclaycard - Global Commercial Payments,524.00,2021-03-18
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200048000,1,202012,Barclaycard - Global Commercial Payments,277.50,2021-03-18
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200048129,1,202012,Barclaycard - Global Commercial Payments,125.00,2021-03-18
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200048381,1,202012,Barclaycard - Global Commercial Payments,275.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200049046,1,202012,Barclaycard - Global Commercial Payments,300.00,2021-03-07
"Children, Adults and Families",Employees,Indirect Employee Expenses,200049948,1,202012,Barclaycard - Global Commercial Payments,25.00,2021-03-16
"Children, Adults and Families",Employees,Indirect Employee Expenses,200050982,1,202012,Barclaycard - Global Commercial Payments,60.00,2021-03-23
"Children, Adults and Families",Employees,Indirect Employee Expenses,200051063,1,202012,Barclaycard - Global Commercial Payments,718.00,2021-03-23
"Children, Adults and Families",Employees,Indirect Employee Expenses,200025962,1,202012,Barclaycard - Global Commercial Payments,36.00,2021-03-05
"Children, Adults and Families",Employees,Indirect Employee Expenses,200025963,1,202012,Barclaycard - Global Commercial Payments,36.00,2021-03-05
"Children, Adults and Families",Employees,Indirect Employee Expenses,200025964,1,202012,Barclaycard - Global Commercial Payments,36.00,2021-03-05
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200050023,1,202012,Barclaycard - Global Commercial Payments,303.00,2021-03-16
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200048867,1,202012,Barclaycard - Global Commercial Payments,161.70,2021-03-16
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200049659,1,202012,Barclaycard - Global Commercial Payments,80.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200049381,1,202012,Barclaycard - Global Commercial Payments,10.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200050600,1,202012,Barclaycard - Global Commercial Payments,10.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200050601,1,202012,Barclaycard - Global Commercial Payments,10.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200049282,1,202012,Barclaycard - Global Commercial Payments,12.50,2021-03-07
Schools,Employees,Indirect Employee Expenses,200050093,1,202012,Barclaycard - Global Commercial Payments,40.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200049252,1,202012,Barclaycard - Global Commercial Payments,20.00,2021-03-18
Schools,Employees,Indirect Employee Expenses,200049253,1,202012,Barclaycard - Global Commercial Payments,20.00,2021-03-18
Schools,Employees,Indirect Employee Expenses,200050107,1,202012,Barclaycard - Global Commercial Payments,50.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200049528,1,202012,Barclaycard - Global Commercial Payments,90.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200049330,1,202012,Barclaycard - Global Commercial Payments,25.00,2021-03-07
Schools,Employees,Indirect Employee Expenses,200049752,1,202012,Barclaycard - Global Commercial Payments,30.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200050209,1,202012,Barclaycard - Global Commercial Payments,85.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200051277,1,202012,Barclaycard - Global Commercial Payments,12.50,2021-03-29
Schools,Employees,Indirect Employee Expenses,200049530,1,202012,Barclaycard - Global Commercial Payments,25.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200049684,1,202012,Barclaycard - Global Commercial Payments,50.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200050255,1,202012,Barclaycard - Global Commercial Payments,30.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200049407,1,202012,Barclaycard - Global Commercial Payments,20.00,2021-03-18
Schools,Employees,Indirect Employee Expenses,200044814,1,202012,Barclaycard - Global Commercial Payments,594.85,2021-03-07
Schools,Employees,Indirect Employee Expenses,200049229,1,202012,Barclaycard - Global Commercial Payments,85.69,2021-03-07
Schools,Employees,Indirect Employee Expenses,200049141,1,202012,Barclaycard - Global Commercial Payments,12.50,2021-03-16
Schools,Employees,Indirect Employee Expenses,200050812,1,202012,Barclaycard - Global Commercial Payments,50.00,2021-03-25
Schools,Employees,Indirect Employee Expenses,200050355,1,202012,Barclaycard - Global Commercial Payments,42.00,2021-03-18
Schools,Employees,Indirect Employee Expenses,200050732,1,202012,Barclaycard - Global Commercial Payments,50.00,2021-03-16
Schools,Employees,Indirect Employee Expenses,200050811,1,202012,Barclaycard - Global Commercial Payments,30.00,2021-03-23
Schools,Employees,Indirect Employee Expenses,200050176,1,202012,Barclaycard - Global Commercial Payments,20.00,2021-03-25
Schools,Employees,Indirect Employee Expenses,200050778,1,202012,Barclaycard - Global Commercial Payments,230.00,2021-03-25
Schools,Employees,Indirect Employee Expenses,200050035,1,202012,Barclaycard - Global Commercial Payments,40.00,2021-03-16
