Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001141,7,201903,CLICK TRAVEL LTD,66.67,2019-06-17
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001152,3,201903,CLICK TRAVEL LTD,18.40,2019-06-25
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001152,21,201903,CLICK TRAVEL LTD,22.70,2019-06-25
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001152,26,201903,CLICK TRAVEL LTD,61.88,2019-06-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,744,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,783,201903,O2 (UK) LTD,11.79,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,1820,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,1996,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001152,13,201903,CLICK TRAVEL LTD,77.10,2019-06-25
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001152,14,201903,CLICK TRAVEL LTD,164.00,2019-06-25
Office of the Chief Executive,Supplies and Services,"Furn, Equip & Mats",44041474,0,201903,RNIB ENTERPRISES LTD,544.00,2019-06-20
Office of the Chief Executive,Supplies and Services,"Furn, Equip & Mats",44041485,0,201903,RNIB ENTERPRISES LTD,573.80,2019-06-20
Office of the Chief Executive,Supplies and Services,"Furn, Equip & Mats",44041493,0,201903,RNIB ENTERPRISES LTD,576.05,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,96,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,175,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,202,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,625,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,638,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,1067,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,1140,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,1195,201903,O2 (UK) LTD,10.00,2019-06-20
Office of the Chief Executive,Supplies and Services,Other Running Costs,41253474,1,201903,CITIZENS ADVICE GATESHEAD,6129.01,2019-06-24
Office of the Chief Executive,Supplies and Services,Other Running Costs,41253589,1,201903,CITIZENS ADVICE GATESHEAD,6129.01,2019-06-24
Office of the Chief Executive,Supplies and Services,Advertising,41253493,1,201903,SUNSHINE EVENTS,1075.00,2019-06-24
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600029,988,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1989,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Transport,Public Transport and Taxi Fares,300001141,15,201903,CLICK TRAVEL LTD,47.50,2019-06-17
Corporate Resources,Supplies and Services,Comms & Computing,60600029,684,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,765,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,879,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,880,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1006,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1032,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1095,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1219,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1424,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1839,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1918,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,2103,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",44034504,2,201903,CIPFA BUSINESS LIMITED,5132.27,2019-06-20
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",44041647,1,201903,CIPFA BUSINESS LIMITED,770.00,2019-06-24
Corporate Resources,Supplies and Services,Comms & Computing,60600029,990,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,993,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,995,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,996,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,998,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1232,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1557,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,2345,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",44034504,3,201903,CIPFA BUSINESS LIMITED,1707.35,2019-06-20
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",44041647,2,201903,CIPFA BUSINESS LIMITED,770.00,2019-06-24
Corporate Resources,Supplies and Services,Comms & Computing,60600029,111,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,118,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,196,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,741,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1515,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,2340,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",44034504,5,201903,CIPFA BUSINESS LIMITED,1707.35,2019-06-20
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",44041647,0,201903,CIPFA BUSINESS LIMITED,770.00,2019-06-24
Corporate Resources,Supplies and Services,Comms & Computing,60600029,534,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,541,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,542,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,548,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,550,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,551,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,60600029,561,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",44034504,1,201903,CIPFA BUSINESS LIMITED,1440.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,41252848,1,201903,QUICKTHINK CLOUD LIMITED,3132.66,2019-06-12
Corporate Resources,Supplies and Services,Comms & Computing,41252850,1,201903,QUICKTHINK CLOUD LIMITED,1330.46,2019-06-12
Corporate Resources,Supplies and Services,Comms & Computing,60600029,1070,201903,O2 (UK) LTD,10.00,2019-06-20
Corporate Resources,Supplies and Services,Comms & Computing,41252739,1,201903,CRITIQOM,1397.25,2019-06-11
Corporate Resources,Supplies and Services,Comms & Computing,148031647,7,201903,ROYAL MAIL,197.28,2019-06-10
Corporate Resources,Supplies and Services,Comms & Computing,148031648,7,201903,ROYAL MAIL,78.47,2019-06-10
Corporate Resources,Supplies and Services,Comms & Computing,148031802,7,201903,ROYAL MAIL,206.24,2019-06-24
