Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Schools,Employees,Indirect Employee Expenses,200056137,1,202104,Barclaycard - Global Commercial Payments,15.00,2021-07-09
Schools,Employees,Indirect Employee Expenses,200055434,1,202104,Barclaycard - Global Commercial Payments,52.14,2021-07-09
Schools,Employees,Indirect Employee Expenses,200055788,1,202104,Barclaycard - Global Commercial Payments,50.57,2021-07-09
Schools,Premises,Rep & Maint,200055090,1,202104,Barclaycard - Global Commercial Payments,4.99,2021-07-09
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200054106,1,202104,Barclaycard - Global Commercial Payments,367.98,2021-07-09
Public Health and Wellbeing,Premises,Rep & Maint,200055003,1,202104,Barclaycard - Global Commercial Payments,55.00,2021-07-09
Public Health and Wellbeing,Premises,Rep & Maint,200055070,1,202104,Barclaycard - Global Commercial Payments,114.25,2021-07-09
Schools,Premises,Rep & Maint,200055249,1,202104,Barclaycard - Global Commercial Payments,1.74,2021-07-09
Schools,Premises,Rep & Maint,200055863,1,202104,Barclaycard - Global Commercial Payments,8.33,2021-07-09
Schools,Premises,Rep & Maint,200056090,1,202104,Barclaycard - Global Commercial Payments,94.18,2021-07-09
Schools,Premises,Rep & Maint,200056091,1,202104,Barclaycard - Global Commercial Payments,41.66,2021-07-09
Schools,Premises,Rep & Maint,200055846,1,202104,Barclaycard - Global Commercial Payments,14.43,2021-07-17
Schools,Premises,Rep & Maint,200055205,1,202104,Barclaycard - Global Commercial Payments,6.66,2021-07-09
Schools,Premises,Rep & Maint,200055322,1,202104,Barclaycard - Global Commercial Payments,31.65,2021-07-09
Schools,Premises,Rep & Maint,200055445,1,202104,Barclaycard - Global Commercial Payments,6.98,2021-07-09
Schools,Premises,Rep & Maint,200056004,1,202104,Barclaycard - Global Commercial Payments,5.45,2021-07-09
Schools,Premises,Rep & Maint,200055610,1,202104,Barclaycard - Global Commercial Payments,8.57,2021-07-09
Schools,Premises,Rep & Maint,200052249,1,202104,Barclaycard - Global Commercial Payments,235.00,2021-07-09
Schools,Premises,Rep & Maint,200055655,1,202104,Barclaycard - Global Commercial Payments,15.83,2021-07-17
Schools,Premises,Rep & Maint,200055058,1,202104,Barclaycard - Global Commercial Payments,47.72,2021-07-09
Schools,Premises,Rep & Maint,200055059,1,202104,Barclaycard - Global Commercial Payments,25.99,2021-07-09
Schools,Premises,Rep & Maint,200055060,1,202104,Barclaycard - Global Commercial Payments,243.78,2021-07-09
Schools,Premises,Rep & Maint,200055061,1,202104,Barclaycard - Global Commercial Payments,37.85,2021-07-09
Schools,Premises,Rep & Maint,200055390,1,202104,Barclaycard - Global Commercial Payments,313.92,2021-07-09
Schools,Premises,Rep & Maint,200055897,1,202104,Barclaycard - Global Commercial Payments,12.99,2021-07-09
Schools,Premises,Rep & Maint,200055899,1,202104,Barclaycard - Global Commercial Payments,29.25,2021-07-09
Schools,Premises,Rep & Maint,200055962,1,202104,Barclaycard - Global Commercial Payments,22.61,2021-07-09
Schools,Premises,Ground Maint,200055087,1,202104,Barclaycard - Global Commercial Payments,120.00,2021-07-09
Schools,Premises,Ground Maint,200055423,1,202104,Barclaycard - Global Commercial Payments,25.71,2021-07-09
"Children, Adults and Families",Premises,Fixtures & Fittings,200054884,1,202104,Barclaycard - Global Commercial Payments,49.99,2021-07-09
Schools,Premises,Fixtures & Fittings,200040715,1,202104,Barclaycard - Global Commercial Payments,29.81,2021-07-15
Schools,Premises,Fixtures & Fittings,200053043,1,202104,Barclaycard - Global Commercial Payments,32.78,2021-07-15
Schools,Premises,Fixtures & Fittings,200054013,1,202104,Barclaycard - Global Commercial Payments,279.34,2021-07-15
Schools,Premises,Fixtures & Fittings,200055151,1,202104,Barclaycard - Global Commercial Payments,288.00,2021-07-09
Schools,Premises,Fixtures & Fittings,200055225,1,202104,Barclaycard - Global Commercial Payments,5.99,2021-07-09
Schools,Premises,Fixtures & Fittings,200055681,1,202104,Barclaycard - Global Commercial Payments,5.00,2021-07-09
Schools,Premises,Fixtures & Fittings,200054131,1,202104,Barclaycard - Global Commercial Payments,34.65,2021-07-09
Schools,Premises,Fixtures & Fittings,200055828,1,202104,Barclaycard - Global Commercial Payments,494.17,2021-07-09
Schools,Transport,Vehicles and Plant,200056232,1,202104,Barclaycard - Global Commercial Payments,49.47,2021-07-17
Schools,Transport,Vehicles and Plant,200054755,1,202104,Barclaycard - Global Commercial Payments,77.65,2021-07-09
Schools,Transport,Vehicles and Plant,200054756,1,202104,Barclaycard - Global Commercial Payments,75.33,2021-07-09
Schools,Transport,Vehicles and Plant,200056139,1,202104,Barclaycard - Global Commercial Payments,32.21,2021-07-15
Schools,Transport,Vehicles and Plant,200056140,1,202104,Barclaycard - Global Commercial Payments,37.04,2021-07-15
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055529,1,202104,Barclaycard - Global Commercial Payments,277.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055530,1,202104,Barclaycard - Global Commercial Payments,277.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055531,1,202104,Barclaycard - Global Commercial Payments,167.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055532,1,202104,Barclaycard - Global Commercial Payments,282.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055533,1,202104,Barclaycard - Global Commercial Payments,167.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055534,1,202104,Barclaycard - Global Commercial Payments,277.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055535,1,202104,Barclaycard - Global Commercial Payments,167.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055536,1,202104,Barclaycard - Global Commercial Payments,277.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055537,1,202104,Barclaycard - Global Commercial Payments,277.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055538,1,202104,Barclaycard - Global Commercial Payments,277.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055539,1,202104,Barclaycard - Global Commercial Payments,302.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055540,1,202104,Barclaycard - Global Commercial Payments,167.50,2021-07-09
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200055541,1,202104,Barclaycard - Global Commercial Payments,277.50,2021-07-09
