Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2012-09-03,3400.00,Manchester Leisure,Manchester United Football Club Pub,,
2012-09-03,5215.70,Manchester Leisure,GREEN MONSTER ARTS,,
2012-09-03,1522.50,Manchester Leisure,W S Education,,
2012-09-03,1522.50,Manchester Leisure,W S Education,,
2012-09-03,701.68,Hospitality + Trading Services,Brake Bros Foodservice Ltd,,
2012-09-03,670.20,Hospitality + Trading Services,Brake Bros Foodservice Ltd,,
2012-09-03,607.97,Hospitality + Trading Services,Brake Bros Foodservice Ltd,,
2012-09-03,503.45,Hospitality + Trading Services,Brake Bros Foodservice Ltd,,
2012-09-03,550.00,Hospitality + Trading Services,Norton Hiab Services Ltd,,
2012-09-03,550.00,Hospitality + Trading Services,Norton Hiab Services Ltd,,
2012-09-03,3009.60,Hospitality + Trading Services,Instarmac Group Ltd,,
2012-09-03,748.80,Hospitality + Trading Services,Instarmac Group Ltd,,
2012-09-03,793.80,Hospitality + Trading Services,Hadfield Wood Recyclers,,
2012-09-03,579.00,Hospitality + Trading Services,Hadfield Wood Recyclers,,
2012-09-03,567.67,Hospitality + Trading Services,G.G. Rentals Ltd,,
2012-09-03,3989.61,Hospitality + Trading Services,Danish UK Property Management Ltd,,
2012-09-03,900.00,Hospitality + Trading Services,Pestproof Ltd,,
2012-09-03,847.00,Environment and Operations,Interaction Recruitment,,
2012-09-03,839.65,Adult Social Care,Sanctuary Social Care,,
2012-09-03,773.50,Adult Social Care,Bennett Staff Bureau,,
2012-09-03,723.33,Adult Social Care,Ashberry Recruitment Ltd,,
2012-09-03,600.21,Adult Social Care,Ashberry Recruitment Ltd,,
2012-09-03,582.06,Adult Social Care,Ashberry Recruitment Ltd,,
2012-09-03,569.43,Adult Social Care,Ashberry Recruitment Ltd,,
2012-09-03,561.74,Adult Social Care,Ashberry Recruitment Ltd,,
2012-09-03,533.91,Adult Social Care,Ashberry Recruitment Ltd,,
2012-09-03,2837.00,Adult Social Care,Funeral Prtnrs t/a Michael Kennedy,,
2012-09-03,1111.00,Adult Social Care,Funeral Prtnrs t/a Michael Kennedy,,
2012-09-03,959.00,Adult Social Care,Funeral Prtnrs t/a Michael Kennedy,,
2012-09-03,1693.44,Childrens Services,Absolute Social Care,,
2012-09-03,1164.60,Childrens Services,Reed Employment Plc,,
2012-09-03,1009.45,Childrens Services,SRA Cover Staff Ltd,,
2012-09-03,895.30,Childrens Services,Reed Employment Plc,,
2012-09-03,856.50,Childrens Services,Ashberry Recruitment Ltd,,
2012-09-03,825.06,Childrens Services,Ashberry Recruitment Ltd,,
2012-09-03,756.99,Childrens Services,Ashberry Recruitment Ltd,,
2012-09-03,742.43,Childrens Services,Ashberry Recruitment Ltd,,
2012-09-03,737.84,Childrens Services,Ashberry Recruitment Ltd,,
2012-09-03,720.09,Childrens Services,Bennett Staff Bureau,,
