Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2011-02-01,1497.59,Chief Executives,T-Mobile,,
2011-02-01,2720.00,Housing General Fund,Westholme Ltd,,
2011-02-01,3316.02,Housing General Fund,Manchester Working Ltd,,
2011-02-01,8701.61,Housing General Fund,Wessex Medical Lift Co Ltd,,
2011-02-01,10917.00,Housing General Fund,Redacted Personal Information,,
2011-02-01,13500.00,Housing General Fund,A & K Building Services Ltd,,
2011-02-01,1981.00,Housing General Fund,AJC Builders Ltd,,
2011-02-01,611.54,Hospitality + Trading Services,Brake Bros Foodservice Ltd,,
2011-02-01,897.04,Hospitality + Trading Services,Brake Bros Foodservice Ltd,,
2011-02-01,600.93,Hospitality + Trading Services,Brake Bros Foodservice Ltd,,
2011-02-01,732000.00,Hospitality + Trading Services,Cobbetts LLP,,
2011-02-01,21860.03,Housing General Fund,AST HAMPSONS,,
2011-02-01,539.48,Hospitality + Trading Services,Crosby'S,,
2011-02-01,832.5,Hospitality + Trading Services,Crosby'S,,
2011-02-01,904.42,Chief Executives,Bennett Staff Bureau,,
2011-02-01,6324.79,Childrens Services,Mr Blackcab,,
2011-02-01,4364.60,Childrens Services,Mr Blackcab,,
2011-02-01,9450.10,Chief Executives,Semester Recruitment Ltd,,
2011-02-01,723.75,Grtr Manchester Transport Unit,Computerland Uk Ltd,,
2011-02-01,1246.19,Adult Social Care,The Furnishing Service Ltd,,
2011-02-01,824.21,Adult Social Care,The Furnishing Service Ltd,,
2011-02-01,5024.65,Childrens Services,Mr Blackcab,,
2011-02-01,6975.55,Childrens Services,Mr Blackcab,,
2011-02-01,7803.50,Childrens Services,Mr Blackcab,,
2011-02-01,3962.33,Childrens Services,NHS Manchester Primary Care Trust,,
2011-02-01,12929.96,Childrens Services,Mr Blackcab,,
2011-02-01,743.75,Childrens Services,Manchester City Football Club Plc,,
2011-02-01,4190.00,Adult Social Care,Manchester Working Ltd,,
2011-02-01,2264.24,Chief Executives,Sellick Partnership (Legal) Ltd,,
2011-02-01,2253.75,Chief Executives,Sellick Partnership (Legal) Ltd,,
2011-02-01,904.8,Chief Executives,Sellick Partnership (Legal) Ltd,,
2011-02-01,522.64,Chief Executives,Enterprise Social Care Ltd,,
2011-02-01,33447.43,Environment and Operations,National Car Parks Manchester Ltd,,
2011-02-01,45537.00,Childrens Services,Bramall Construction Ltd,,
2011-02-01,3971.50,Chief Executives,The Management Centre,,
2011-02-01,1900.00,Chief Executives,KE Software (Uk) Ltd,,
2011-02-01,737.65,Chief Executives,Homecare Support,,
2011-02-01,2860.43,Chief Executives,Richard Fowler Associates Ltd,,
2011-02-01,737.17,Chief Executives,Blue Arrow Ltd,,
2011-02-01,500,Manchester Leisure,Manchester Sports & Leisure Trust,,
2011-02-01,3000.00,Chief Executives,Neesa Well Women Drop-In Project,,
2011-02-01,2550.00,Chief Executives,Carlisle City Council,,
2011-02-01,9109.83,Chief Executives,Carlisle City Council,,
2011-02-01,865.44,Hospitality + Trading Services,Tarmac Central Ltd,,
2011-02-01,1151.88,Chief Executives,Entrust Social Care,,
2011-02-01,2016.00,Childrens Services,Advanced Childcare,,
2011-02-01,2680.26,Chief Executives,Swiis Uk Limited,,
2011-02-01,5085.00,Chief Executives,Healthwork Ltd,,
2011-02-01,9325.00,Chief Executives,Healthwork Ltd,,
2011-02-01,810,Corporate Services,Floorbrite Quality Cleaning Service,,
2011-02-01,827.5,Chief Executives,Morgan Hunt Public Sector Ltd,,
2011-02-01,7875.61,Chief Executives,Hays Personnel,,
2011-02-01,1557.15,Chief Executives,Semester Recruitment Ltd,,
2011-02-02,2529.06,Childrens Services,Alison Wales Associates Ltd,,
2011-02-02,550,Childrens Services,REDACTED PERSONAL DATA,,
2011-02-02,3179.77,Childrens Services,Metropolitan Properties Co Ltd,,
2011-02-02,1399.00,Childrens Services,Eastlands UK Cars,,
2011-02-02,1271.26,Corporate Services,BT PLC,,
2011-02-02,1104.00,Childrens Services,Eastlands UK Cars,,
2011-02-02,813.2,Chief Executives,BT PLC,,
2011-02-02,1928.00,Chief Executives,Peel Hall Moatwatch,,
2011-02-02,2414.63,Chief Executives,Trinity & Sistrict Residents A'ssn,,
2011-02-02,1863.96,Chief Executives,Youth on Solid Ground,,
2011-02-02,600,Childrens Services,Redacted Personal Information,,
2011-02-02,1500.00,Chief Executives,Fallowfield Tennants and Residents,,
2011-02-02,35136.00,Hospitality + Trading Services,H M Revenues and Customs,,
2011-02-02,58049.00,Regeneration Finance,MQT (Trading as Urbis),,
2011-02-02,9275.00,Childrens Services,HMCS,,
2011-02-02,6675.00,Childrens Services,HMCS,,
2011-02-02,1900.00,Childrens Services,HMCS,,
2011-02-02,1400.00,Childrens Services,HMCS,,
2011-02-02,868.13,Manchester Leisure,Enterprise Manchester Partnership,,
2011-02-02,645.66,Manchester Leisure,Enterprise Manchester Partnership,,
2011-02-02,1099.43,Manchester Leisure,Enterprise Manchester Partnership,,
2011-02-02,894.23,Manchester Leisure,Enterprise Manchester Partnership,,
2011-02-02,529.78,Corporate Services,Newey & Eyre Ltd,,
2011-02-02,18186.90,Childrens Services,Harry Fairclough Construction Ltd,,
2011-02-02,101170.87,Chief Executives,GB Building Solutions Ltd,,
2011-02-02,4695.63,Childrens Services,National Car Parks Ltd Season Ticke,,
2011-02-02,827.5,Chief Executives,Morgan Hunt Public Sector Ltd,,
2011-02-02,960,Childrens Services,David'S Handy Rider,,
2011-02-02,3219.95,Childrens Services,Sport Force,,
2011-02-02,766.85,Childrens Services,Sport Force,,
2011-02-02,882,Childrens Services,Optimum Training Ltd,,
2011-02-02,3780.00,Regeneration Finance,Kpmg Llp,,
2011-02-02,29141.72,Hospitality + Trading Services,Winners Contract Hire Ltd,,
2011-02-02,1946.60,Learning Disabilities PB,Homelife Options Ltd,,
2011-02-02,3981.80,Learning Disabilities PB,Homelife Options Ltd,,
2011-02-02,1946.60,Learning Disabilities PB,Homelife Options Ltd,,
2011-02-02,3981.80,Learning Disabilities PB,Homelife Options Ltd,,
2011-02-02,6829.34,Regeneration Finance,The Big Life Company,,
2011-02-02,820.66,Chief Executives,Aptus Personnel Ltd t/a Jark,,
2011-02-02,1155.00,Childrens Services,Prism UK Medical Ltd t/a Carefree,,
2011-02-02,6781.93,Chief Executives,Reed Employment Plc,,
2011-02-02,3392.27,Regeneration Finance,Urban Strategies Inc,,
2011-02-02,1517.52,Chief Executives,Data Space Limited,,
2011-02-02,1078.80,Hospitality + Trading Services,House Of Ethnic Foods Ltd,,
2011-02-02,749.07,Grtr Manchester Urban Traffic,Peek Traffic Ltd,,
2011-02-02,1504.57,Grtr Manchester Urban Traffic,Peek Traffic Ltd,,
