,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3086829,63130.09,Other Establishments
INSERTED DETAIL,,Economic Growth,Economic Initiative,REDACTIVE PUBLISHING LTD,0,1988.00,Recruitment Advertising
INSERTED DETAIL,,Economic Growth,Economic Initiative,ROYAL TOWN PLANNING INST NORTHERN BRANCH,0,860,Employee Training Course Costs
INSERTED DETAIL,,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3083012,2021.85,Repairs - Door Entry System
INSERTED DETAIL,,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3086689,603.98,Repairs - Intruder Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082511,625,Asbestos Removal External Contractor
INSERTED DETAIL,,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082512,890,Asbestos Removal External Contractor
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3084399,1306.00,Repairs - Door Entry System
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARUP,3079603,1122.82,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Regulatory Services,AYCLIFFE FABRICATIONS LTD,3086526,594,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,BARR & WRAY LTD,3083744,7085.50,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,BEMROSE BOOTH LTD,3083908,1080.00,Stationery
INSERTED DETAIL,,Economic Growth,Regulatory Services,BGP CONSULTING LIMITED,3086678,938.9,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Regulatory Services,CIPFA,0,925,Memberships
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2472.04,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,2859.28,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,6974.53,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1295.10,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,DALE POWER SOLUTIONS PLC,3086232,940,Repairs - Electrical
INSERTED DETAIL,,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3086761,929,DBS Checks
INSERTED DETAIL,,Economic Growth,Regulatory Services,DURHAM COUNTY COUNCIL,3086093,2358.02,Repairs - Lifts
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3087054,2531.27,Cctv Monitoring Charge
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3084573,736.33,Repairs - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3081074,1243.67,Repairs - Emergency Lighting
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3087356,527.87,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ESSENTRA,3087329,925.5,Ict Hardware Purchase
INSERTED DETAIL,,Economic Growth,Regulatory Services,GEMS (SW) LIMITED,3083876,1250.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,GUARDIAN ELECTRICAL COMPLIANCE LIMITED,3084293,845,Cyclical - Electrical Installation Test
INSERTED DETAIL,,Economic Growth,Regulatory Services,HMCTS,3087303,2000.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,3085436,3240.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,INTERACTIVE PROJECTS & DESIGN LTD,3084875,1180.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,LIBERTY SERVICES,3084929,1630.00,Stationery
INSERTED DETAIL,,Economic Growth,Regulatory Services,LLOYDS BRITISH A DIVISION OF SPEEDY ASSET SERVICES LTD,3086176,680,Alterations & Improvements - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,METRIC GROUP LIMITED,3083504,1476.42,Equipment R&M
INSERTED DETAIL,,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3083693,910,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3084123,3650.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,MOGO UK,3086444,1506.40,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,NE SECURITY LTD,3072259,1303.92,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3086.58,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,4224.96,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2881.40,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,19407.11,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1168.42,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1053.57,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,13423.62,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,596.82,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,609.95,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,548.75,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1895.15,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,940.89,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1865.18,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1093.67,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN LTD,0,700,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NSL LIMITED,3087275,3321.66,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,OTIS PLC,3076506,3963.00,Repairs - Lifts
INSERTED DETAIL,,Economic Growth,Regulatory Services,OTIS PLC,3076465,1346.00,Repairs - Lifts
INSERTED DETAIL,,Economic Growth,Regulatory Services,PAY BY PHONE,3079576,898.42,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,SCHOTT REMOVALS TRANSPORT LTD,3086325,1463.00,Storage Costs
INSERTED DETAIL,,Economic Growth,Regulatory Services,SCHOTT REMOVALS TRANSPORT LTD,3087149,1170.40,Storage Costs
INSERTED DETAIL,,Economic Growth,Regulatory Services,SHEERS LTD,3087333,599.67,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,SHEERS LTD,3082969,3563.07,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,STEVE HORNER ENVIRONMENTAL SERVICES,3086588,880,Pest Control
INSERTED DETAIL,,Economic Growth,Regulatory Services,STEVE HORNER ENVIRONMENTAL SERVICES,3086739,680,Pest Control
INSERTED DETAIL,,Economic Growth,Regulatory Services,TESGL LIMITED,3085373,916.75,Cyclical - Electrical Installation Test
INSERTED DETAIL,,Economic Growth,Regulatory Services,THE BSS GROUP PLC,3084513,969.18,Other Consumables
INSERTED DETAIL,,Economic Growth,Regulatory Services,THE BSS GROUP PLC,3084826,740.9,Other Consumables
INSERTED DETAIL,,Economic Growth,Regulatory Services,UPNORTH ENGINEERING SERVICES LTD,3085625,1084.18,Equipment
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,3AM SOLUTIONS,3086210,625,Ict Software Purchase
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,ACCESS HIRE NATIONWIDE LTD,3083791,1306.43,Plant Hire
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,578.25,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,539.7,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,578.25,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3084313,2598.48,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3084313,2598.48,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3084313,2021.04,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AT WAGGOTT HAULAGE,3081946,7119.00,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BESPOKE CONCRETE PRODUCTS LIMITED,3083758,5298.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BIKE STOP DARLINGTON LTD,3085832,3400.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BUCHANAN COMPUTING LTD,3085224,3510.00,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,649.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,686.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,649.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,678.63,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,649.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,540.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,DE-POEL,0,564.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,EXTERION MEDIA (UK) LIMITED,3084559,1940.00,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,EXTERION MEDIA (UK) LIMITED,3084559,668,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,EXTERION MEDIA (UK) LIMITED,3085838,1236.00,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,EXTERION MEDIA (UK) LIMITED,3085838,5670.00,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,GROUNDFORCE VP PLC,3078136,8154.12,Equipment
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,GROUNDFORCE VP PLC,3084255,1273.51,Plant Hire
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,GROUNDWORK NORTH EAST,3085199,3510.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HANSON CONTRACTING,3085033,51998.97,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HARTLEPOOL BOROUGH COUNCIL,3085930,2500.00,Ground Maintenance
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3086074,820.12,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3086074,1025.15,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3086074,1008.75,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3086074,1025.15,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3086074,1025.15,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,HAYS SPECIALIST SERVICES,3086074,982.73,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,JEWSON LTD,3086256,1160.45,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,JH PARTNERS,3086856,780,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,K C PLANT HIRE,3084982,805,Equipment
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,KEYSOFT SOLUTIONS LIMITED,3086865,1885.00,Ict Software Purchase
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,KIELY BROS,3085291,72997.96,Carriageway Works
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,LOVE TO RIDE,3084563,8760.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MACLEAN ELECTRICAL,3082333,32727.45,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MACLEAN ELECTRICAL,3082333,35698.31,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MACLEAN ELECTRICAL,3082333,42189.57,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MACLEAN ELECTRICAL,3082333,6349.35,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MACLEAN ELECTRICAL,3082333,8612.52,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MACLEAN ELECTRICAL,3082333,43551.63,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MACS AUTOMATED BOLLARD SYSTEMS LTD,3086285,701,Cctv Monitoring Charge
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MALLATITE LIMITED,3080403,1166.00,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MARSHALLS STREET FURNITURE,3086440,529.08,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MECHPLANT NORTH EAST LTD,3084495,3965.00,Equipment
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MECHPLANT NORTH EAST LTD,3081935,604.2,Plant Hire
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,MECHPLANT NORTH EAST LTD,3081935,598,Plant Hire
