,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Economic Initiative,ARCHAEO-ENVIRONMENT LTD,3087921,9000.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3088104,12178.85,Other Establishments
INSERTED DETAIL,,Economic Growth,Economic Initiative,DRONEFLIGHT LTD,3077828,1280.00,Materials
INSERTED DETAIL,,Economic Growth,Economic Initiative,NE CHAMBER OF COMMERCE TRADE & INDTY,3088776,2356.00,Memberships
INSERTED DETAIL,,Economic Growth,Economic Initiative,TRACTIVITY LTD,3087949,6500.00,Ict Software Purchase
INSERTED DETAIL,,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081375,757.74,Cyclical - Intruder Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,AEL ELECTRICAL,3086803,3766.00,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Regulatory Services,AIRCON REFRIGERATION LTD,3081299,760,Cyclical - Air Handling
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARNET LTD,3088449,1980.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,CLEARWATER,3072243,530,Cyclical - Legionella Maint
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2393.79,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1105.54,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,2760.86,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,6936.84,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CSL DUALCOM LIMITED,3088153,540,Cctv Monitoring Charge
INSERTED DETAIL,,Economic Growth,Regulatory Services,CSS YORKSHIRE LIMITED,0,740.63,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Regulatory Services,CSS YORKSHIRE LIMITED,0,823.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Regulatory Services,CSS YORKSHIRE LIMITED,0,1081.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3088088,968,DBS Checks
INSERTED DETAIL,,Economic Growth,Regulatory Services,EASBY FLOORING LTD,3085504,4254.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3087444,2762.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3088156,733.33,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,FRANCIS CONSTRUCTION,3086134,624,Carriageway Works
INSERTED DETAIL,,Economic Growth,Regulatory Services,GUARDIAN ELECTRICAL COMPLIANCE LIMITED,3084491,4385.00,Cyclical - Electrical Installation Test
INSERTED DETAIL,,Economic Growth,Regulatory Services,INITIAL WASHROOM HYGIENE,0,1046.16,Hygiene Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,MISS PENNY BOTTOMLEY,3088118,550,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,NALEO,3085378,598,Employee Training Course Costs
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1045.83,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1537.44,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,512.78,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2408.85,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2490.11,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3282.79,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2159.43,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3866.01,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER,0,700,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,543.56,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1203.62,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1145.19,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,530.85,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,18997.65,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1917.86,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,593.5,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1680.66,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,952.19,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,12750.18,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,642.35,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,4173.82,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,2400.63,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1162.42,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,3412.22,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1081.62,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,3676.32,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1591.62,Electricity
