Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2017-01,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3091419,19215.54,Other Establishments
2017-01,Economic Growth,Economic Initiative,DRONEFLIGHT LTD,3089674,1400,Marketing & Advertising
2017-01,Economic Growth,Regulatory Services,AEL ELECTRICAL,3089370,5397,Agency Staff Costs - Non Teaching
2017-01,Economic Growth,Regulatory Services,AEL ELECTRICAL,3091054,5712,Agency Staff Costs - Non Teaching
2017-01,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082744,890,Cyclical - Asbestos Inspection
2017-01,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082741,775,Cyclical - Asbestos Inspection
2017-01,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082741,620,Cyclical - Asbestos Inspection
2017-01,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082745,775,Cyclical - Asbestos Inspection
2017-01,Economic Growth,Regulatory Services,ARNET LTD,3091880,1315,Repairs - Building Fabric
2017-01,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3088520,541,Cyclical - Maint Gates & Doors
2017-01,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3089259,644,Repairs - Door Entry System
2017-01,Economic Growth,Regulatory Services,BARR & WRAY LTD,3090146,595,Consultancy Fees
2017-01,Economic Growth,Regulatory Services,BEMROSE BOOTH LTD,3088050,1500,Stationery
2017-01,Economic Growth,Regulatory Services,CLEARWATER TECHNOLOGY LTD,3065125,530,Cyclical - Legionella Maint
2017-01,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1545.2,Gas
2017-01,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,4069.25,Gas
2017-01,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,912.57,Gas
2017-01,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,13956.01,Gas
2017-01,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,5072.2,Gas
2017-01,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1355.8,Gas
2017-01,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1557.66,Gas
2017-01,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1303.1,Gas
2017-01,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1072.64,Gas
2017-01,Economic Growth,Regulatory Services,CS CATERING EQUIPMENT LTD,3091503,562.8,Equipment
2017-01,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3091322,880,DBS Checks
2017-01,Economic Growth,Regulatory Services,EASBY FLOORING LTD,3090500,4057.13,Repairs - Building Fabric
2017-01,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3091426,567.71,Cyclical - Fire Alarms
2017-01,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3090779,898,Equipment
2017-01,Economic Growth,Regulatory Services,FLEURETS (LEISURE PROPERTY SPECIALISTS),3091106,3600,Professional Fees & Consultancy
2017-01,Economic Growth,Regulatory Services,HADRIAN AIR CONDITIONING & REFRIGE,3090163,2354,Cyclical - Air Conditioning
2017-01,Economic Growth,Regulatory Services,INITIAL WASHROOM HYGIENE,3082658,3895.85,Hygiene Services
2017-01,Economic Growth,Regulatory Services,JBA CONSULTING,3090505,18800,Consultancy Fees
2017-01,Economic Growth,Regulatory Services,JBA CONSULTING,3090505,18800,Consultancy Fees
