Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-08,Economic Growth,Economic Initiative,CORNERSTONE BARRISTERS,0,48150,Professional Fees & Consultancy
2016-08,Economic Growth,Economic Initiative,DARLINGTON RUGBY FOOTBALL CLUB LTD,3085743,3750,Hospitality & Room Hire
2016-08,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3085910,129515.22,Other Establishments
2016-08,Economic Growth,Economic Initiative,HAYMARKET MEDIA GROUP LTD,3086543,1415,Subscriptions
2016-08,Economic Growth,Economic Initiative,M T AUDIO SYSTEMS,3085391,2510,Events & Awards
2016-08,Economic Growth,Economic Initiative,TEES VALLEY RURAL COMMUNITY COUNCIL,3086342,10376.23,Professional Fees & Consultancy
2016-08,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082311,8281.35,Cyclical - Fire Alarms
2016-08,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082258,5000.73,Cyclical - Fire Alarms
2016-08,Economic Growth,Regulatory Services,AIRWAVE SOLUTIONS LTD,3084962,4165.76,Equipment
2016-08,Economic Growth,Regulatory Services,ALFRED BAGNALL & SONS (NORTH EAST )  LTD,3084275,800,Repairs - Building Fabric
2016-08,Economic Growth,Regulatory Services,ARNET LTD,3083643,716,Repairs - Building Fabric
2016-08,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3084401,2651.25,Repairs - Door Entry System
2016-08,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3084274,3020,Cyclical - Maint Gates & Doors
2016-08,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3084458,3665,Repairs - Door Entry System
2016-08,Economic Growth,Regulatory Services,BEMROSE BOOTH LTD,3083440,1500,Stationery
2016-08,Economic Growth,Regulatory Services,BRITISH GAS TRADING LIMITED,0,608.64,Gas
2016-08,Economic Growth,Regulatory Services,CARPETTIME LIMITED,3084872,1513.27,Repairs - Building Fabric
2016-08,Economic Growth,Regulatory Services,CLEARWATER TECHNOLOGY LTD,3080601,530,Cyclical - Legionella Maint
2016-08,Economic Growth,Regulatory Services,COLLIERS INTERNATIONAL,3085609,3175.47,Consultancy Fees
2016-08,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2472.04,Electricity
2016-08,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2546.14,Electricity
2016-08,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,6786.66,Gas
2016-08,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1278.73,Gas
2016-08,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,3064.73,Gas
2016-08,Economic Growth,Regulatory Services,COUNTY DURHAM & DARLINGTON FIRE & RESCUE SERVICE,3086187,6000,Contributions/Donations
2016-08,Economic Growth,Regulatory Services,CROSSLING LTD,3084291,1512.18,Repairs - Mechanical
2016-08,Economic Growth,Regulatory Services,CSL DUALCOM LIMITED,3084799,720,Equipment
2016-08,Economic Growth,Regulatory Services,CSL DUALCOM LIMITED,3085895,540,Cctv Monitoring Charge
2016-08,Economic Growth,Regulatory Services,CSL DUALCOM LIMITED,3085896,720,Cctv Monitoring Charge
2016-08,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3085721,572,DBS Checks
2016-08,Economic Growth,Regulatory Services,EASBY FLOORING LTD,3083959,1523,Repairs - Building Fabric
2016-08,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3084440,895,Cyclical - Fire Alarms
2016-08,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3084094,3948.48,Equipment
2016-08,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3085991,2646.11,Equipment
2016-08,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079927,700,Cyclical - Fire Alarms
2016-08,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3085627,8492,Equipment
2016-08,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3081696,733.33,Equipment
