Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-07,Economic Growth,Economic Initiative,COMMERCIAL PROPERTY MONTHLY,3084446,848,Marketing & Advertising
2016-07,Economic Growth,Economic Initiative,CUNDALL JOHNSTON & PARTNERS LLP,3075709,790,Professional Fees & Consultancy
2016-07,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3084729,3692.78,Other Establishments
2016-07,Economic Growth,Economic Initiative,WYG ENGINEERING LTD,3085368,11336.03,Consultancy Fees
2016-07,Economic Growth,Economic Initiative,XMA LIMITED,3084379,533.26,Ict Hardware Purchase
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082267,582.24,Cctv Monitoring Charge
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081351,771.38,Cyclical - Intruder Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082256,1071.57,Cctv Monitoring Charge
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081340,1205.63,Cyclical - Intruder Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082264,1531.76,Cyclical - Intruder Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082265,1047.46,Cyclical - Fire Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081353,1914.2,Cyclical - Intruder Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082266,1757.27,Cyclical - Fire Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081342,1105.74,Cyclical - Intruder Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082270,1266.09,Cyclical - Fire Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081374,1428.93,Cyclical - Intruder Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082255,843.33,Cyclical - Fire Fighting Equipment
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082271,789.42,Cyclical - Fire Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081377,996.3,Cyclical - Intruder Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081347,861.25,Cyclical - Intruder Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081350,641.94,Cyclical - Intruder Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082253,910.24,Cyclical - Fire Alarms
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082252,1386.25,Cyclical - Maint Gates & Doors
2016-07,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082261,830.81,Cyclical - Fire Alarms
