Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-12,Economic Growth,Economic Initiative,DARLINGTON RUGBY FOOTBALL CLUB LTD,3089287,3750,Hospitality & Room Hire
2016-12,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3090344,652.25,Other Establishments
2016-12,Economic Growth,Economic Initiative,DURHAM UNIVERSITY,0,1880,Professional Fees & Consultancy
2016-12,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3089017,875.71,Repairs - Door Entry System
2016-12,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3089555,597.61,Repairs - Intruder Alarms
2016-12,Economic Growth,Regulatory Services,AEL ELECTRICAL,3089370,6116.6,Agency Staff Costs - Non Teaching
2016-12,Economic Growth,Regulatory Services,AYCLIFFE FABRICATIONS LTD,3089159,1046,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2423.52,Electricity
2016-12,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,3680.88,Gas
2016-12,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,673.01,Gas
2016-12,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,12035.85,Gas
2016-12,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1058.58,Gas
2016-12,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,3535.17,Gas
2016-12,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1301.52,Gas
2016-12,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,838.96,Gas
2016-12,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,977.89,Gas
2016-12,Economic Growth,Regulatory Services,CROSSLING LTD,3089067,708.76,Repairs - Mechanical
2016-12,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,0,1232,DBS Checks
2016-12,Economic Growth,Regulatory Services,EASBY FLOORING LTD,3088934,2015.97,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3086762,12784,Security Services
2016-12,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3086775,1804,Security Services
2016-12,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3087445,1380.09,Equipment
2016-12,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3089127,779.48,Repairs - Fire Alarms
2016-12,Economic Growth,Regulatory Services,HILL BASTIN INTERIORS LTD,3088000,721.6,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,HMCTS,3090580,2000,Other Supplies & Services
2016-12,Economic Growth,Regulatory Services,HUTTON FIRE PROTECTION,3084373,672,Cyclical - Fire Fighting Equipment
2016-12,Economic Growth,Regulatory Services,LLOYDS BRITISH TESTING CO LTD,3088367,1890,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,METRIC GROUP LIMITED,3083504,1476.42,Equipment R&M
2016-12,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3088617,3601,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3087008,3273,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3086992,9599,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3089034,4528,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3088651,2637,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3087010,1659,Repairs - Building Fabric
2016-12,Economic Growth,Regulatory Services,MOGO UK,3090269,512.9,Equipment
2016-12,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3209.12,Water Charges
2016-12,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3133.64,Water Charges
2016-12,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1842.36,Water Charges
2016-12,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1485.97,Electricity
2016-12,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1415.71,Electricity
2016-12,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,21623.86,Electricity
