Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-05,Economic Growth,Economic Initiative,COUNTING SOLUTIONS LTD,3080378,3115,Routine Maintenance
2016-05,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3082297,7421.89,Other Establishments
2016-05,Economic Growth,Economic Initiative,DTZ CONSULTING & RESEARCH,3080282,2500,Professional Fees & Consultancy
2016-05,Economic Growth,Economic Initiative,J R BRADLEY,3079933,2000,Professional Fees & Consultancy
2016-05,Economic Growth,Economic Initiative,OPINION RESEARCH SERVICES,3066306,15900,Professional Fees & Consultancy
2016-05,Economic Growth,Economic Initiative,REED BUSINESS INFORMATION LTD,3081730,4500,Subscriptions
2016-05,Economic Growth,Economic Initiative,VALUATION OFFICE AGENCY,3078001,1400,Consultancy Fees
2016-05,Economic Growth,Economic Initiative,WYG ENGINEERING LTD,3075878,11235,Professional Fees & Consultancy
2016-05,Economic Growth,Economic Initiative,WYG ENGINEERING LTD,3075878,16319.93,Professional Fees & Consultancy
2016-05,Economic Growth,Regulatory Services,A F BROWN & SONS LTD,3077747,520,Security Services
2016-05,Economic Growth,Regulatory Services,AQUAJET DRAIN CLEANING,3082328,900,Repairs - Building Fabric
2016-05,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3080385,2992,Repairs - Door Entry System
2016-05,Economic Growth,Regulatory Services,BGP CONSULTING LIMITED,3082651,898.35,Repairs - Building Fabric
2016-05,Economic Growth,Regulatory Services,BRITISH PARKING ASSOCIATION,3079613,1946,Subscriptions
2016-05,Economic Growth,Regulatory Services,BT REDCARE,3082106,49594.41,Telephone Costs
2016-05,Economic Growth,Regulatory Services,CHUBB ELECTRONIC SECURITY LTD,3080928,837.09,Cyclical - Intruder Alarms
2016-05,Economic Growth,Regulatory Services,CLEARWATER TECHNOLOGY LTD,3075677,530,Cyclical - Legionella Maint
2016-05,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2433.07,Electricity
2016-05,Economic Growth,Regulatory Services,C-TECH SOLUTIONS LTD,3080810,526.12,Ict Hardware Purchase
2016-05,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3082483,836,DBS Checks
2016-05,Economic Growth,Regulatory Services,EASBY FLOORING LTD,3079519,3054.35,Alterations & Improvements - Decoration
2016-05,Economic Growth,Regulatory Services,ELDERS WALKER GLASS LTD,3080525,777.14,Repairs - Building Fabric
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079826,2150,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079827,1700,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079503,615,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080394,615,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080393,615,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079506,615,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079505,615,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080397,615,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080396,615,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080398,900,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080395,615,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079504,615,Cyclical - Fire Alarms
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3082562,8492,Cctv Monitoring Charge
2016-05,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3082644,700,Cctv Monitoring Charge
2016-05,Economic Growth,Regulatory Services,FLEURETS (LEISURE PROPERTY SPECIALISTS),3082684,2545,Professional Fees & Consultancy
2016-05,Economic Growth,Regulatory Services,FRANCIS CONSTRUCTION,3082001,560,Repairs - Building Fabric
2016-05,Economic Growth,Regulatory Services,FRANCIS CONSTRUCTION,3079508,3467.08,Repairs - Building Fabric
2016-05,Economic Growth,Regulatory Services,FRANCIS CONSTRUCTION,3079508,693.42,Repairs - Building Fabric
