Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-06,Economic Growth,Regulatory Services,LLOYDS BRITISH A DIVISION OF SPEEDY ASSET SERVICES LTD,3081561,680,Cyclical - Building Surveys
2016-06,Economic Growth,Regulatory Services,METRIC GROUP LIMITED,3078222,644.5,Equipment R&M
2016-06,Economic Growth,Regulatory Services,METRIC GROUP LIMITED,3068087,1476.42,Equipment R&M
2016-06,Economic Growth,Regulatory Services,MOGO UK,3082726,1006.9,Equipment
2016-06,Economic Growth,Regulatory Services,NE SECURITY LTD,3072259,1232.7,Security Services
2016-06,Economic Growth,Regulatory Services,NETWORK RAIL,3082671,2326,Rent Of Facilities
2016-06,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2827.94,Water Charges
2016-06,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3093.63,Water Charges
2016-06,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,658.94,Water Charges
2016-06,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,4939.85,Water Charges
2016-06,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2776.64,Water Charges
2016-06,Economic Growth,Regulatory Services,NPOWER,0,700,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,14344.26,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,20345.33,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1158.97,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,3579.4,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,681.44,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1108.31,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1245.07,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,529.97,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1826.09,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1008.88,Electricity
2016-06,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1256.04,Electricity
2016-06,Economic Growth,Regulatory Services,NSL LIMITED,3083412,3207.12,Security Services
2016-06,Economic Growth,Regulatory Services,OTIS PLC,3083333,541.01,Repairs - Lifts
2016-06,Economic Growth,Regulatory Services,OTIS PLC,3076325,1850,Repairs - Lifts
2016-06,Economic Growth,Regulatory Services,OTIS PLC,3083482,2819.54,Cyclical-Lift Maintenance
2016-06,Economic Growth,Regulatory Services,OTIS PLC,0,2764.26,Cyclical-Lift Maintenance
2016-06,Economic Growth,Regulatory Services,PAY BY PHONE,3079576,903.19,Ict Software Support & Maintenance
2016-06,Economic Growth,Regulatory Services,PRONTAPRINT,3082672,562.75,Printing
2016-06,Economic Growth,Regulatory Services,SHEERS LTD,3079352,1310,Alterations & Improvements - Mechanical
2016-06,Economic Growth,Regulatory Services,SHEERS LTD,3079404,1830,Alterations & Improvements - Mechanical
2016-06,Economic Growth,Regulatory Services,STM ENVIRONMENTAL LTD,3082702,1697.31,Ict Software Support & Maintenance
2016-06,Economic Growth,Regulatory Services,TEAM (EAA LTD),3083756,1587.72,Ict Software Support & Maintenance
2016-06,Economic Growth,Regulatory Services,THE CONCEPT GROUP,3082522,900,Repairs - Asbestos Removal
2016-06,Economic Growth,Regulatory Services,VEOLIA ENVIRONMENTAL SERVICES,3080615,1390,Other Supplies & Services
2016-06,Economic Growth,Regulatory Services,WPS UNITED KINGDOM LTD,3079379,698,Equipment R&M
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,554.92,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,554.92,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,635.72,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,741.76,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3081858,1333.8,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,1610.4,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,536.8,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,1610.4,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,671,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3083027,1711.05,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,1180.96,Materials
2016-06,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3082711,2013,Materials
