Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-04,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3080477,1139.17,Other Establishments
2016-04,Economic Growth,Economic Initiative,DRONEFLIGHT LTD,3077326,990,Materials
2016-04,Economic Growth,Economic Initiative,ENVIRONMENTAL RECORDS INFORMATION CENTRE,3078288,2032,Equipment
2016-04,Economic Growth,Economic Initiative,TEES VALLEY RURAL COMMUNITY COUNCIL,3079301,14879.2,Professional Fees & Consultancy
2016-04,Economic Growth,Regulatory Services,AIRCON REFRIGERATION LTD,3079545,4497,Cyclical - Air Conditioning
2016-04,Economic Growth,Regulatory Services,ARUP,3079603,14651.1,Consultancy Fees
2016-04,Economic Growth,Regulatory Services,CLEARWATER TECHNOLOGY LTD,3076458,780,Cyclical - Legionella Maint
2016-04,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2472.04,Electricity
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1344.99,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1586.65,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,3827.6,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,5313.8,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,937.81,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1530.01,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,15548.72,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1775.51,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1471.19,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1177.47,Gas
2016-04,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,504.28,Gas
2016-04,Economic Growth,Regulatory Services,CROSSLING LTD,3079769,507,Repairs - Mechanical
2016-04,Economic Growth,Regulatory Services,CROSSLING LTD,3079179,813.6,Repairs - Mechanical
2016-04,Economic Growth,Regulatory Services,DARLINGTON SCAFFOLDING LTD,3079677,595,Repairs - Building Fabric
2016-04,Economic Growth,Regulatory Services,DARLINGTON SCAFFOLDING LTD,3078759,606,Repairs - Building Fabric
2016-04,Economic Growth,Regulatory Services,DURHAM COUNTY COUNCIL,3076314,1680,Cyclical-Lift Maintenance
2016-04,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3078370,1722.38,Equipment
2016-04,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,0,3825,Equipment
2016-04,Economic Growth,Regulatory Services,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,3080583,10703.16,Ict Software Support & Maintenance
2016-04,Economic Growth,Regulatory Services,JAMES KEMP,3081805,750,Professional Fees & Consultancy
2016-04,Economic Growth,Regulatory Services,LABC,0,1908.86,Subscriptions
2016-04,Economic Growth,Regulatory Services,LAMBERT PROPERTY MANAGEMENT,0,818.1,Premises Insurance
2016-04,Economic Growth,Regulatory Services,LEYBOURNE URWIN LTD,3076848,6000,Alterations & Improvements - Mechanical
2016-04,Economic Growth,Regulatory Services,LEYBOURNE URWIN LTD,3079511,3847.61,Repairs - Mechanical
2016-04,Economic Growth,Regulatory Services,MAXIMUS GREEN LTD,3080201,7890,Repairs - Mechanical
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3420.33,Water Charges
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,737.18,Water Charges
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1333.5,Gas
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1333.5,Water Charges
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2493.1,Water Charges
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2493.1,Water Charges
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2493.1,Water Charges
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1736.42,Water Charges
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1333.5,Water Charges
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,594.96,Water Charges
2016-04,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1802.09,Water Charges
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1350.49,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1440.41,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,716.84,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1657.16,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,659.76,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,551.57,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,621.65,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,702.64,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,2015.31,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1827.92,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,616.77,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,776.9,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1987.71,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,608.68,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,994.43,Electricity
2016-04,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,827.88,Electricity
