Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2011-06-01,2691.98,Chief Executives,Rullion Engineering Personnel Limit,,
2011-06-01,2000.00,Chief Executives,Consult R Us Ltd,,
2011-06-01,797.68,Chief Executives,Taskmaster Resources Ltd,,
2011-06-01,782.14,Chief Executives,Bamford Contract Services Ltd,,
2011-06-01,8000.00,Housing General Fund,Redacted Personal Information,,
2011-06-01,840.00,Corporate Services,Redacted Personal Information,,
2011-06-01,598.49,Regeneration Finance,Bruntwood Estates Alpha,,
2011-06-01,12000.00,Chief Executives,New Local Goverment Network,,
2011-06-01,2575.00,Regeneration Finance,Vocational Training College,,
2011-06-01,7625.00,Childrens Services,HMCTS (Manchester County Court),,
2011-06-01,5525.00,Childrens Services,HMCTS (Manchester County Court),,
2011-06-01,4025.00,Childrens Services,HMCTS (Manchester County Court),,
2011-06-01,1100.00,Childrens Services,HMCTS (Manchester County Court),,
2011-06-01,705.00,Environment and Operations,Cheadle Medicolegal Services Ltd,,
2011-06-01,790.00,Manchester Leisure,Burnage Media Arts College,,
2011-06-01,500.00,Housing Revenue Account,Pitney Bowes Ltd - Postage by Phone,,
2011-06-01,1634.00,Manchester Leisure,Orion Secure Print Systems,,
2011-06-01,81832.64,Housing Revenue Account,Renaissance Miles Platting Ltd,,
2011-06-01,81832.64,Housing Revenue Account,Renaissance Miles Platting Ltd,,
2011-06-01,4998.99,Highways Services,AECOM Limited,,
2011-06-01,61618.09,Manchester Leisure,NBA Properties Inc.,,
2011-06-01,14175.00,Manchester Leisure,Sport Event Solutions Ltd,,
2011-06-01,10000.00,Manchester Leisure,Greater Manchester Community,,
2011-06-01,5387.00,Manchester Leisure,Sport Event Solutions Ltd,,
2011-06-01,4462.00,Manchester Leisure,Sport Event Solutions Ltd,,
2011-06-01,3850.00,Manchester Leisure,Sport Event Solutions Ltd,,
2011-06-01,3457.07,Corporate Services,Maryland Securities Ltd,,
2011-06-01,705.00,Environment and Operations,Technology Solutions Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,625.03,Childrens Services,Victoria Park Independence Proj Ltd,,
2011-06-01,1170.00,Childrens Services,Abacus Travel Services,,
2011-06-01,750.00,Childrens Services,Redacted Personal Information,,
2011-06-01,700.00,Manchester Leisure,Ashalls Coaches,,
2011-06-01,31730.00,Manchester Leisure,Ashalls Coaches,,
2011-06-02,3445.00,Chief Executives,Bluegroup International Ltd,,
2011-06-02,2444.82,Chief Executives,Blue Arrow Ltd,,
2011-06-02,1444.42,Chief Executives,Celsian,,
2011-06-02,1370.71,Chief Executives,Homecare Support,,
2011-06-02,1112.42,Chief Executives,Homecare Support,,
2011-06-02,1006.74,Chief Executives,Building Recruitment Company,,
2011-06-02,851.37,Chief Executives,Homecare Support,,
2011-06-02,827.50,Chief Executives,Morgan Hunt Public Sector Ltd,,
2011-06-02,827.50,Chief Executives,Morgan Hunt Public Sector Ltd,,
2011-06-02,827.50,Chief Executives,Morgan Hunt Public Sector Ltd,,
2011-06-02,744.75,Chief Executives,Morgan Hunt Public Sector Ltd,,
2011-06-02,699.50,Chief Executives,Homecare Support,,
2011-06-02,662.00,Chief Executives,Morgan Hunt Public Sector Ltd,,
2011-06-02,630.75,Chief Executives,Bamford Contract Services Ltd,,
2011-06-02,519.12,Chief Executives,247 Professional Health,,
2011-06-02,1120.00,Adult Social Care,Illingworth Ingham (M/cR),,
2011-06-02,2272.40,Hospitality + Trading Services,Rigby Taylor Ltd,,
2011-06-02,599.40,Hospitality + Trading Services,Granthams Graphic Technology,,
2011-06-02,598.00,Hospitality + Trading Services,Rigby Taylor Ltd,,
2011-06-02,12000.00,Housing General Fund,Redacted Personal Information,,
2011-06-02,2890.00,Housing General Fund,Redacted Personal Information,,
2011-06-02,2824.00,Housing General Fund,AJC Builders Ltd,,
2011-06-02,2060.00,Housing General Fund,AJC Builders Ltd,,
2011-06-02,1520.00,Housing General Fund,John Blow & Co Ltd,,
2011-06-02,721.80,Corporate Services,The Sunlight Service Group Ltd,,
2011-06-02,6338.86,Chief Executives,GBM Digital Technologies Ltd,,
2011-06-02,6019.30,Chief Executives,GBM Digital Technologies Ltd,,
2011-06-02,1300.00,Highways Services,Redacted Personal Information,,
2011-06-02,2063.60,Regeneration Finance,Davis Langdon,,
2011-06-02,1688.40,Regeneration Finance,Davis Langdon,,
2011-06-02,1539.96,Adult Social Care,Initial Medical Services,,
2011-06-02,5177.06,Corporate Services,PHS Group,,
2011-06-02,3170.96,Adult Social Care,Scottish & Southern Energy Plc,,
2011-06-02,2530.25,Adult Social Care,Scottish & Southern Energy Plc,,
2011-06-02,1513.04,Adult Social Care,Scottish & Southern Energy Plc,,
2011-06-02,1142.85,Adult Social Care,Scottish & Southern Energy Plc,,
2011-06-02,19181.34,Chief Executives,Scottish & Southern Energy Plc,,
2011-06-02,2101.08,Childrens Services,Scottish & Southern Energy Plc,,
2011-06-02,1870.91,Childrens Services,Scottish & Southern Energy Plc,,
2011-06-02,603.03,Childrens Services,Scottish & Southern Energy Plc,,
2011-06-02,12236.13,Corporate Services,Scottish & Southern Energy Plc,,
2011-06-02,8988.22,Corporate Services,Scottish & Southern Energy Plc,,
2011-06-02,7986.01,Corporate Services,Scottish & Southern Energy Plc,,
2011-06-02,5451.38,Corporate Services,Scottish & Southern Energy Plc,,
2011-06-02,3326.24,Corporate Services,Scottish & Southern Energy Plc,,
2011-06-02,4944.00,Environment and Operations,Scottish & Southern Energy Plc,,
2011-06-02,4572.35,Environment and Operations,Scottish & Southern Energy Plc,,
2011-06-02,3688.74,Environment and Operations,Scottish & Southern Energy Plc,,
2011-06-02,1984.55,Environment and Operations,Scottish & Southern Energy Plc,,
2011-06-02,1511.08,Environment and Operations,Scottish & Southern Energy Plc,,
2011-06-02,20898.44,Hospitality + Trading Services,Scottish & Southern Energy Plc,,
2011-06-02,10904.34,Hospitality + Trading Services,Scottish & Southern Energy Plc,,
2011-06-02,10109.12,Hospitality + Trading Services,Scottish & Southern Energy Plc,,
2011-06-02,9672.11,Hospitality + Trading Services,Scottish & Southern Energy Plc,,
2011-06-02,4184.12,Hospitality + Trading Services,Scottish & Southern Energy Plc,,
2011-06-02,2595.00,Hospitality + Trading Services,Scottish & Southern Energy Plc,,
2011-06-02,1553.32,Hospitality + Trading Services,Scottish & Southern Energy Plc,,
2011-06-02,1505.02,Hospitality + Trading Services,Scottish & Southern Energy Plc,,
2011-06-02,1262.95,Libraries and Theatres,Scottish & Southern Energy Plc,,
2011-06-02,14395.34,Manchester Leisure,Scottish & Southern Energy Plc,,
2011-06-02,5434.84,Manchester Leisure,Scottish & Southern Energy Plc,,
2011-06-02,3275.56,Manchester Leisure,Scottish & Southern Energy Plc,,
2011-06-02,692.94,Manchester Leisure,Scottish & Southern Energy Plc,,
2011-06-02,5219.00,Regeneration Finance,Scottish & Southern Energy Plc,,
2011-06-02,540.71,Regeneration Finance,St Modwen Corporate Services Ltd,,
2011-06-02,2195.45,Adult Social Care,JCM Seating Solutions Ltd,,
2011-06-02,1080.00,Adult Social Care,Invacare Limited,,
2011-06-02,802.05,Adult Social Care,Patterson Medical Ltd,,
2011-06-02,19883.52,Chief Executives,Central Mcr University Hospitals,,
2011-06-02,5529.50,Chief Executives,Central Mcr University Hospitals,,
2011-06-02,2518.60,Corporate Services,Pannone & Partners Solicitors,,
2011-06-02,22449.00,Chief Executives,Central Mcr University Hospitals,,
2011-06-02,9390.37,Chief Executives,Central Mcr University Hospitals,,
2011-06-02,9062.80,Chief Executives,Central Mcr University Hospitals,,
2011-06-02,1798.62,Chief Executives,Central Mcr University Hospitals,,
2011-06-02,1743.81,Chief Executives,Central Mcr University Hospitals,,
2011-06-02,631.51,Childrens Services,Calor Gas Ltd,,
2011-06-02,2163.00,Chief Executives,Shl (Uk) Ltd,,
2011-06-02,2693.30,Chief Executives,Blackley In Bloom,,
2011-06-02,1754.00,Chief Executives,AAK Sports Academy,,
2011-06-02,1200.00,Chief Executives,Self Help Services,,
2011-06-02,1036.71,Chief Executives,Friends of Clayton Park,,
2011-06-02,625.00,Chief Executives,Friends of Blackley Forest,,
2011-06-02,4104.00,Childrens Services,Manchester Young Lives,,
2011-06-02,3744.00,Childrens Services,Moston Methodist Church Playgroup,,
2011-06-02,2528.00,Childrens Services,Fruits of Life Playgroup,,
2011-06-02,2090.00,Childrens Services,Ladybarn Community Playgroup,,
2011-06-02,52625.00,Corporate Services,Birmingham City Council,,
2011-06-02,6076.26,Corporate Services,Tameside Metropolitan Borough,,
2011-06-02,4551.75,Corporate Services,CIPFA Business Ltd,,
2011-06-02,745.00,Environment and Operations,Environmental Protection UK,,
2011-06-02,3738.00,Hospitality + Trading Services,Association For Public,,
2011-06-02,5000.00,Manchester Leisure,Lakeland Arts Trust,,
2011-06-02,5000.00,Manchester Leisure,Lakeland Arts Trust,,
2011-06-02,1375.11,Manchester Leisure,Museums Association,,
2011-06-02,9900.00,Regeneration Finance,ALL FM 96.9 Ltd,,
2011-06-02,700.00,Corporate Services,Countrywide Grounds Maintenance Ltd,,
2011-06-02,2150.00,Manchester Leisure,Richard Campey Ltd,,
2011-06-02,5619.09,Hospitality + Trading Services,One Stop Hire Limited,,
2011-06-02,849.00,Hospitality + Trading Services,A1 Drainmasters Ltd,,
2011-06-02,849.00,Hospitality + Trading Services,A1 Drainmasters Ltd,,
2011-06-02,849.00,Hospitality + Trading Services,A1 Drainmasters Ltd,,
2011-06-02,897.00,Childrens Services,Greater Manchester Police Sports &,,
2011-06-02,672.00,Environment and Operations,Manchester Sports & Leisure Trust,,
2011-06-02,1081.00,Childrens Services,Cityserve Ltd,,
2011-06-02,2970.00,Highways Services,Exor Corporation Ltd,,
2011-06-02,2750.00,Regeneration Finance,Computeam Limited,,
2011-06-02,734.49,Chief Executives,BT PLC,,
2011-06-02,7353.00,Manchester Leisure,Complete Network Services Ltd,,
2011-06-02,769.84,Regeneration Finance,BT PLC,,
2011-06-02,8000.00,Childrens Services,Abney Garsden Mcdonald,,
2011-06-02,10085.24,Highways Services,Tranter Cleere & Co,,
2011-06-02,2955.66,Highways Services,Platt Halpern,,
2011-06-02,697.00,Highways Services,Smith Jones Solicitors,,
2011-06-02,585.00,Highways Services,Department For Work & Pensions,,
2011-06-02,566.00,Highways Services,Department For Work & Pensions,,
2011-06-02,1320.00,Housing Revenue Account,HMCTS (Manchester County Court),,
2011-06-02,1201.65,Libraries and Theatres,Bertram Trading Ltd t/a,,
2011-06-02,7320.23,Insurance Fund,Zurich Insurance,,
2011-06-02,7320.23,Insurance Fund,Zurich Insurance,,
2011-06-02,2807.01,Adult Social Care,Connect Support Ltd,,
2011-06-02,594.25,Adult Social Care,Connect Support Ltd,,
2011-06-02,614.00,Chief Executives,Priory Healthcare,,
