Body,Organistion Name,Transaction Date,Transaction number,Supplier Name,Net Amount,Merchant Category,Merchant Category Group,Expense Area,Expense Type,Expense Code
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-03-10,99013,123 REG R/T,51.96,Continuity/Subscription Mercht,Mail Order / Direct Selling,Communities & Service Support (obsolete)-Museums & Arts,Services,12424412
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-03-26,99783,3C_*CALDERDALE AND HUDDE,3.00,Auto Parking Lots/Garages,Travel,Children and Young People's Services-Schools and Children's Services - Non-School,Miscellaneous Expenses,68314800
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-03-26,99767,A ONE TOOL & FIXING LT,22.00,Glass/Paint/Wallpaper Store,Building Materials,Communities & Service Support (obsolete)-Sport & Leisure Management DSO,Repairs Alterations And Maintenance Of Buildings Fixed Plant And Grounds,924520P0
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-03-13,99226,A ONE TOOL & FIXING LT,56.60,Glass/Paint/Wallpaper Store,Building Materials,Adult Services and Wellbeing-Adult Health & Social Care,Equipment Furniture And Materials,88194020
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-02-20,98384,A1 NOWAZ SUPERSTOR 82439,26.61,Grocery Stores,General Retail And Wholesale,Communities & Service Support (obsolete)-Community Safety & Support,Miscellaneous Expenses,04714834
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-02-05,97781,ABRAM PULMAN & SONS LTD,196.00,Metal Service Centers,Miscellaneous Industrial/Commercial Supplies,Communities & Service Support (obsolete)-Safer Cleaner Greener,Equipment Furniture And Materials (Cont),90554155
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-03-12,99200,ALDI 15 779,80.78,Grocery Stores,General Retail And Wholesale,Children and Young People's Services-Childrens Care Services,Catering Clothing And Uniforms,72214200
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-03-12,99215,ALDI 15 779,11.63,Grocery Stores,General Retail And Wholesale,Children and Young People's Services-Children and Young People's Serv - Central Depts.,Miscellaneous Expenses,60G44826
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-03-04,98823,ALDI 15 779,70.38,Grocery Stores,General Retail And Wholesale,Children and Young People's Services-Childrens Care Services,Catering Clothing And Uniforms,72214200
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2019-03-07,98993,ALDI 15 779,19.12,Grocery Stores,General Retail And Wholesale,Children and Young People's Services-Childrens Care Services,Catering Clothing And Uniforms,72214200
