Body,Body Name,Transaction Date,Transaction number,Supplier Name,Net Amount,Merchant Category,Merchant Category Group,Expense Area,Expense Type,Expense Code
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-03-14,48807,123-REG.CO.UK,6.98,Electronic Commerce/Info. Servi,Miscellaneous,Communities & Service Support-Libraries Info & Tourism,Communications And Computers,08494541
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-03-17,48876,123-REG.CO.UK,28.96,Electronic Commerce/Info. Servi,Miscellaneous,Communities & Service Support-Museums & Arts,Services,12424412
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-01-06,47159,4 OURHOUSE CDSL BIRMINGHA,19.56,Electrical Parts/Equipment,Building Materials,Children and Young People-Childrens Care Services,Equipment Furniture And Materials,72204020
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-03-23,49047,A B COPYRIGHT LTD,53.94,Stationery Stores,Office Stationery Equipment And Supplies,Children and Young People-Children and Young People's Serv - Central Depts.,Equipment Furniture And Materials,60604018
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-03-23,49038,A ONE TOOL & FIXING LT,120.00,Glass/Paint/Wallpaper Store,Building Materials,Economy and Environment-Housing Services,Services,52164476
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-03-24,49066,A ONE TOOL & FIXING LT,112.50,Glass/Paint/Wallpaper Store,Building Materials,Economy and Environment-Housing Services,Services,52164476
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-03-24,49067,A ONE TOOL & FIXING LT,64.02,Glass/Paint/Wallpaper Store,Building Materials,Economy and Environment-Housing Services,Equipment Furniture And Materials,52164020
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-02-23,48188,A ONE TOOL & FIXING LT,300.00,Glass/Paint/Wallpaper Store,Building Materials,Economy and Environment-Housing Services,Equipment Furniture And Materials,52164020
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-03-25,49125,ABRAM PULMAN & SONS LTD,49.71,Metal Service Centers,Miscellaneous Industrial/Commercial Supplies,Communities & Service Support-Safer Cleaner Greener,Equipment Furniture And Materials,90274088
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-03-06,48591,ABRSM,86.50,Charitable/Soc Service Orgs,Clubs/Associations/Organisations,Children and Young People-Children and Young People's Serv - Central Depts.,Services,60404401
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,2015-03-16,48871,ACE MOTOR FACTORS,5.00,Automotive Parts Stores,Vehicles Servicing And Spares,Communities & Service Support-Recreation & Support,Equipment Furniture And Materials,06104020
