,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Economic Initiative,ARCHAEO-ENVIRONMENT LTD,3092538,1500.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Economic Initiative,BUREAU VAN DIJK ELECTRONIC PUBLISHING LTD,3091515,4000.00,Subscriptions
INSERTED DETAIL,,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3092431,25111.52,Other Establishments
INSERTED DETAIL,,Economic Growth,Economic Initiative,ROYAL TOWN PLANNING INST NORTHERN BRANCH,3091893,1310.00,Events & Awards
INSERTED DETAIL,,Economic Growth,Economic Initiative,TEES VALLEY RURAL COMMUNITY COUNCIL,3091955,13506.23,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Economic Initiative,THOMSON REUTERS,3092563,779,Newspapers And Periodicals
INSERTED DETAIL,,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3081349,509.16,Cyclical - Intruder Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3090661,1396.45,Repairs - Intruder Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,AEL ELECTRICAL,3092104,3108.00,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARNET LTD,3091254,1875.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3090889,715,Cyclical - Maint Gates & Doors
INSERTED DETAIL,,Economic Growth,Regulatory Services,BLUESKY INTERNATIONAL LIMITED,3087256,2952.00,Ict Consumables
INSERTED DETAIL,,Economic Growth,Regulatory Services,BUNZL CLEANING & HYGIENE SUPPLIES,3091409,520.6,Cleaning Materials & Consumables
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2691.76,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2547.00,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1616.24,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,3731.47,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,916.56,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,14244.06,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,4680.92,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1505.14,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1377.50,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1338.33,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1085.54,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,DAMP SHIELD,3092053,3383.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3092451,1012.00,DBS Checks
INSERTED DETAIL,,Economic Growth,Regulatory Services,DURHAM COUNTY COUNCIL,3088754,2908.77,Repairs - Lifts
INSERTED DETAIL,,Economic Growth,Regulatory Services,DURHAM COUNTY COUNCIL,3084452,31603.63,Repairs - Lifts
INSERTED DETAIL,,Economic Growth,Regulatory Services,DURHAM COUNTY COUNCIL,3089069,930.9,Repairs - Lifts
INSERTED DETAIL,,Economic Growth,Regulatory Services,DURHAM COUNTY COUNCIL,3089061,930.9,Repairs - Lifts
INSERTED DETAIL,,Economic Growth,Regulatory Services,EATON ELECTRICAL SYSTEMS LTD,3090453,662,Repairs - Emergency Lighting
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3091741,700,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3091741,8492.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,FLEURETS (LEISURE PROPERTY SPECIALISTS),3090543,2131.25,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,HADRIAN AIR CONDITIONING & REFRIGE,3091265,2395.00,Cyclical - Air Conditioning
INSERTED DETAIL,,Economic Growth,Regulatory Services,HMCTS,3093032,2000.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,LEYBOURNE URWIN LTD,3090243,1200.00,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,LEYBOURNE URWIN LTD,3091465,8893.00,Alterations & Improvements - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,MILLS GLASS LTD,3091429,1568.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3091061,10092.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3090410,3172.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,MOGO UK,3092245,1200.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,NALEO,3091900,598,Employee Training Course Costs
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3497.90,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1412.95,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1363.60,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,641.27,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1204.99,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2159.43,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3819.64,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER,0,700,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NSL LIMITED,3083412,3241.89,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,PATROL,3091653,1355.60,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,PAY BY PHONE,3079576,942.72,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,PROMINENT FLUID CONTROLS (UK) LTD,3091180,749.76,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,ROVIN ENVIRONMENTAL (NORTH EAST) LTD,3091546,1169.00,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,ROYAL INST OF CHARTERED SURVEYORS BOOKS,3092565,512,Memberships
INSERTED DETAIL,,Economic Growth,Regulatory Services,SCHOTT REMOVALS TRANSPORT LTD,3092686,1170.40,Storage Costs
INSERTED DETAIL,,Economic Growth,Regulatory Services,T P S BOILER SPARES,3092094,974.22,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,THE TRADING STANDARDS INSTITUTE,3091723,540,Employee Training Course Costs
INSERTED DETAIL,,Economic Growth,Regulatory Services,TT ELECMECH LIMITED,3091449,5200.00,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,ACCESS HIRE NATIONWIDE LTD,3083791,1306.43,Plant Hire
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AT WAGGOTT HAULAGE,3081946,6637.50,Direct Charges - Contractors
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BAKER MALLETT LLP,3091318,500,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BAKER MALLETT LLP,3091696,2117.75,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BIKE STOP DARLINGTON LTD,3085832,3400.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BIKE STOP DARLINGTON LTD,3085832,2209.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BIKE STOP DARLINGTON LTD,3091350,1850.00,Routine Maintenance
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BLUMILK,3090835,2275.00,Marketing & Advertising
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,BRADFORD METROPOLITAN DISTRICT COUNCIL,3091961,672,Materials
