,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Economic Initiative,BOLTON CHRISTMAS TREES,3088930,1995.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3089134,2951.25,Other Establishments
INSERTED DETAIL,,Economic Growth,Economic Initiative,J R BRADLEY,3089011,1000.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Economic Initiative,VALUATION OFFICE AGENCY,3089432,1969.00,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Regulatory Services,AIRCON REFRIGERATION LTD,3088248,727.5,Cyclical - Air Conditioning
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARNET LTD,3088449,900,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARNET LTD,3086631,2800.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2623.93,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3089168,1276.00,DBS Checks
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3086762,19176.00,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3089112,8492.00,Cctv Monitoring Charge
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3088681,1122.99,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,HAYLES & HOWE LTD,3084058,3681.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,IDOX SOFTWARE LTD,3088994,2010.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,IDOX SOFTWARE LTD,3088935,5000.00,Ict Software Purchase
INSERTED DETAIL,,Economic Growth,Regulatory Services,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,3079576,974.75,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,INITIAL WASHROOM HYGIENE,3082658,3790.63,Hygiene Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NE SECURITY LTD,3088271,914.4,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,NE SECURITY LTD,3072259,1014.16,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NE SECURITY LTD,3072259,1014.16,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3908.50,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1079.40,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1169.68,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,628.4,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3309.15,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER,0,700,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,823.22,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1264.17,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1376.75,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,680.42,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,2671.75,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,600.21,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1035.31,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,2107.25,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,10003.94,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,635.27,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,892.39,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,20317.85,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1032.61,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NSL LIMITED,3083412,3202.14,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NWG PIPELINE SOLUTIONS,3087332,3162.92,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,OFFICE OF COMMUNICATIONS,3089120,885,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,PATROL,3088973,1224.80,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,ROVIN ENVIRONMENTAL (NORTH EAST) LTD,3088886,764,Repairs - Asbestos Removal
INSERTED DETAIL,,Economic Growth,Regulatory Services,SANTANDER ASSET FINANCE PLC,0,1325.00,Leasing Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,SCHOTT REMOVALS TRANSPORT LTD,3089656,1463.00,Storage Costs
INSERTED DETAIL,,Economic Growth,Regulatory Services,SPRINGS ROOFING LTD,3088374,2678.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,T M WARD (DARLINGTON) LTD,3079561,3650.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,T P S BOILER SPARES,3088010,1236.79,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,THE ENERGY SOLUTIONS GROUP,3089066,608,Alterations & Improvements - Electrical
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,ACCESS HIRE NATIONWIDE LTD,3083791,1306.43,Plant Hire
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3088032,562.83,Materials
INSERTED DETAIL,,Economic Growth,Transport & Capital Projects,AGGREGATE INDUSTRIES UK LTD,3088042,2454.12,Materials
