,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Economic Initiative,BYTES SOFTWARE SERVICES,3083283,533.1,Ict Software Purchase
INSERTED DETAIL,,Economic Growth,Economic Initiative,DARLINGTON RUGBY FOOTBALL CLUB LTD,3083347,3750.00,Hospitality & Room Hire
INSERTED DETAIL,,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3083768,8112.62,Other Establishments
INSERTED DETAIL,,Economic Growth,Economic Initiative,DWF LLP,3080330,4170.50,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Economic Initiative,LOVELL JOHNS,3082981,750,Subscriptions
INSERTED DETAIL,,Economic Growth,Economic Initiative,WYG ENGINEERING LTD,0,26998.75,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3080956,525,Ict Consumables
INSERTED DETAIL,,Economic Growth,Regulatory Services,ALLIANCE & LEICESTER COMMERCIAL FINANCE,0,1875.00,Leasing Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082753,890,Cyclical - Asbestos Inspection
INSERTED DETAIL,,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082743,620,Cyclical - Asbestos Inspection
INSERTED DETAIL,,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082752,3990.00,Cyclical - Asbestos Inspection
INSERTED DETAIL,,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082747,2850.00,Cyclical - Asbestos Inspection
INSERTED DETAIL,,Economic Growth,Regulatory Services,APEC ENVIRONMENTAL,3082749,1150.00,Cyclical - Asbestos Inspection
INSERTED DETAIL,,Economic Growth,Regulatory Services,AQUAJET DRAIN CLEANING,3084206,800,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3080057,605,Repairs - Door Entry System
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3079875,877.5,Repairs - Door Entry System
INSERTED DETAIL,,Economic Growth,Regulatory Services,BEMROSE BOOTH LTD,3079879,1080.00,Stationery
INSERTED DETAIL,,Economic Growth,Regulatory Services,BEMROSE BOOTH LTD,3079879,1500.00,Stationery
INSERTED DETAIL,,Economic Growth,Regulatory Services,BRUEL & KJAER (UK) LTD,3082469,571.32,Equipment R&M
INSERTED DETAIL,,Economic Growth,Regulatory Services,CLEARWATER TECHNOLOGY LTD,3076460,530,Cyclical - Legionella Maint
INSERTED DETAIL,,Economic Growth,Regulatory Services,COLLIERS INTERNATIONAL,3083354,8882.19,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,COLLIERS INTERNATIONAL,3083259,632.98,Other Supplies & Services
