Payment Date,Amount,Benificiary Name,Organisational Unit
2018-02-21,8287.36,COUNTY DURHAM COMMUNITY FOUNDATION,Balance Sheet
2018-03-28,14367.33,DARLINGTON CREDIT UNION LIMITED,Balance Sheet
2018-03-19,1206.90,DWF LLP,Balance Sheet
2018-01-16,6233.33,HALFORDS,Balance Sheet
2018-03-11,12532.28,KIDDIVOUCHERS LTD,Balance Sheet
2018-02-01,2187.04,MIDDLESBROUGH BOROUGH COUNCIL,Balance Sheet
2018-03-28,3772.46,NHS PENSIONS,Balance Sheet
2018-03-28,25305.92,PRUDENTIAL LOCAL GOVERNMENT,Balance Sheet
2018-03-28,1790.86,STANDARD LIFE,Balance Sheet
2018-03-28,1550.06,THE DARLINGTON LABOUR GROUP,Balance Sheet
2018-03-28,6533.58,UNISON L04007,Balance Sheet
2018-03-28,552.66,UNITE,Balance Sheet
2018-03-12,645.77,EDIT LEARNING LTD,CHILDREN'S SERVICES
2018-03-15,661.98,INSIGHT UK - SHEFFIELD,CHILDREN'S SERVICES
2018-03-12,3285.74,AKW MEDI-CARE LTD,COMMISSIONING
2018-03-12,1650.25,AKW MEDI-CARE LTD,COMMISSIONING
2018-03-12,844.01,DURHAM COUNTY COUNCIL,COMMISSIONING
2018-03-12,3724.00,HES GROUP UK LTD,COMMISSIONING
2018-03-26,3667.00,HES GROUP UK LTD,COMMISSIONING
2018-03-26,4265.00,HES GROUP UK LTD,COMMISSIONING
2018-03-26,3725.00,HES GROUP UK LTD,COMMISSIONING
2018-03-16,2161.00,HES GROUP UK LTD,COMMISSIONING
2018-03-16,4365.00,HES GROUP UK LTD,COMMISSIONING
2018-03-16,1815.00,HES GROUP UK LTD,COMMISSIONING
2018-03-16,7168.50,M & R DEVELOPMENTS & CONTRACTORS LTD,COMMISSIONING
2018-03-12,9922.50,M & R DEVELOPMENTS & CONTRACTORS LTD,COMMISSIONING
2018-03-16,6830.00,MDS BUILDING & ROOFING CONTRACTOR,COMMISSIONING
2018-03-12,1989.00,PEART FENCING,COMMISSIONING
2018-03-12,4985.00,PEART FENCING,COMMISSIONING
2018-03-12,3660.36,SUNTER LTD,COMMISSIONING
2018-03-26,3970.20,SUNTER LTD,COMMISSIONING
2018-03-23,4577.07,SUNTER LTD,COMMISSIONING
2018-03-16,3160.84,SUNTER LTD,COMMISSIONING
2018-03-16,1472.00,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-02-23,2356.33,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-02-23,2055.92,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-02-26,1395.00,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-02-28,1920.92,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-03-08,2435.00,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-02-23,1122.00,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-02-23,2360.92,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-02-28,4215.00,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-02-28,5182.75,ALLIED EXPLORATION & GEOTECHNICS LTD,ECONOMIC GROWTH
2018-02-20,1250.00,BARRETT ENVIRONMENTAL,ECONOMIC GROWTH
2018-02-13,4000.00,BARRETT ENVIRONMENTAL,ECONOMIC GROWTH
2018-02-01,27077.00,BLOOM PROCUREMENT SERVICES LTD,ECONOMIC GROWTH
2017-10-31,1300.00,JH PARTNERS,ECONOMIC GROWTH
2018-03-13,17570.00,UNIVERSITY OF DURHAM,ECONOMIC GROWTH
2018-02-01,3000.00,CONNECT PROPERTY NORTH EAST LTD,ECONOMIC GROWTH
2018-03-21,24030.00,WILLMOTT DIXON CONSTRUCTION LTD,ECONOMIC GROWTH
2017-11-16,6475.00,GROUND IMPROVEMENTS,ECONOMIC GROWTH
2018-02-28,10597.00,ELECTRONIC SECURITY SOLUTIONS LTD,ECONOMIC GROWTH
2018-02-08,500,WESTWOOD TIMBER & FENCING,ECONOMIC GROWTH
2018-02-27,2168.60,ARRIVA NORTH EAST LIMITED,ECONOMIC GROWTH
2018-01-23,2031.30,BT TELEPHONE PAYMENT CENTRE,ECONOMIC GROWTH
2018-03-08,95798.68,BT TELEPHONE PAYMENT CENTRE,ECONOMIC GROWTH
2018-02-08,3060.00,CA TRAFFIC,ECONOMIC GROWTH
2018-03-05,741.61,NORTHERN POWERGRID (NORTHEAST) LTD,ECONOMIC GROWTH
2018-03-07,533.61,NORTHERN POWERGRID (NORTHEAST) LTD,ECONOMIC GROWTH
2018-02-02,1139.67,NORTHERN POWERGRID LIMITED,ECONOMIC GROWTH
2018-02-28,13664.53,RAILSCAPE LTD,ECONOMIC GROWTH
2018-02-08,529.68,VIRGIN MEDIA BUSINESS,ECONOMIC GROWTH
2018-02-20,1534.68,WM SMITH & SONS (BARNARD CASTLE) LTD,ECONOMIC GROWTH
2018-02-06,2658.00,WS ATKINS (SERVICES) LTD,ECONOMIC GROWTH
2018-02-06,1000.00,WS ATKINS (SERVICES) LTD,ECONOMIC GROWTH
2018-03-09,8000.00,WS ATKINS (SERVICES) LTD,ECONOMIC GROWTH
2018-03-09,9500.00,WS ATKINS (SERVICES) LTD,ECONOMIC GROWTH
2018-03-09,3500.00,WS ATKINS (SERVICES) LTD,ECONOMIC GROWTH
2018-03-09,7050.00,WS ATKINS (SERVICES) LTD,ECONOMIC GROWTH
2018-03-09,1150.00,WS ATKINS (SERVICES) LTD,ECONOMIC GROWTH
2018-03-15,7294.65,WICKSTEED LEISURE LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-28,795,AYCLIFFE FABRICATIONS LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-18,620.57,B & Q PLC,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-11,629.75,B & Q PLC,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-22,3150.00,DTA CONSULTING ENGINEERS LLP,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-23,1565.00,GOLDSHIELD SECURUS LIMITED,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-23,1565.00,GOLDSHIELD SECURUS LIMITED,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-23,1565.00,GOLDSHIELD SECURUS LIMITED,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-28,56300.23,HODGSON AND SAYERS,NEIGHBOURHOOD SERVICES & RESOURCES
2018-01-31,2914.43,JDP CONTRACTING SERVICES LIMITED,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-15,567.16,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-15,1449.24,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-28,996.71,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-28,558.91,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-28,2559.11,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-28,583.1,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-28,3127.42,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-28,2076.04,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-28,567.2,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-16,593.2,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-16,559.39,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-16,4300.45,MASTERDOR  LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-12,899,NORTHUMBRIAN WATER,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-15,1325.00,PEART FENCING,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-07,1084.36,POLAR WINDOWS N E,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-09,945,PROTEN SERVICES,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-08,980,ROVIN ENVIRONMENTAL (NORTH EAST) LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-08,980,ROVIN ENVIRONMENTAL (NORTH EAST) LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-08,980,ROVIN ENVIRONMENTAL (NORTH EAST) LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-01-19,1578.00,ROVIN ENVIRONMENTAL (NORTH EAST) LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-01-31,1164.00,SCHOTT REMOVALS TRANSPORT LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-28,562,SCHOTT REMOVALS TRANSPORT LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-28,836,SCHOTT REMOVALS TRANSPORT LTD,NEIGHBOURHOOD SERVICES & RESOURCES
2018-02-28,52180.49,SOVEREIGN GROUP LIMITED,NEIGHBOURHOOD SERVICES & RESOURCES
2017-04-02,1995.12,STEEL UNIQUE FABRICATIONS,NEIGHBOURHOOD SERVICES & RESOURCES
2017-04-02,1500.00,STEEL UNIQUE FABRICATIONS,NEIGHBOURHOOD SERVICES & RESOURCES
2018-01-31,2043.83,TEAMS ROOFING LIMITED,NEIGHBOURHOOD SERVICES & RESOURCES
2017-11-30,4344.86,TEAMS ROOFING LIMITED,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-02,660,WESTWOOD TIMBER & FENCING,NEIGHBOURHOOD SERVICES & RESOURCES
2018-03-15,900,ABILITY SMART,Children and Adults Services
2018-03-27,1780.76,ADULT PLACEMENT SERVICES T/A AVALON,Children and Adults Services
2017-09-29,953.51,AKARI CARE LTD,Children and Adults Services
2018-03-12,5176.00,ALEXANDRA PARK (AUTISM CARE) UK LTD,Children and Adults Services
2018-01-22,7157.25,ALZHEIMERS SOCIETY,Children and Adults Services
2018-03-12,2754.84,ANNE CHARLTON LODGE,Children and Adults Services
2018-03-12,2016.00,ASCOT CARE (NORTH EAST) LTD,Children and Adults Services
2018-03-12,4896.00,ASCOT CARE (NORTH EAST) LTD,Children and Adults Services
2018-03-12,37296.00,ASCOT CARE (NORTH EAST) LTD,Children and Adults Services
2018-03-23,1848.00,ASCOT CARE AGENCY LTD,Children and Adults Services
