,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3080477,1139.17,Other Establishments
INSERTED DETAIL,,Economic Growth,Economic Initiative,DRONEFLIGHT LTD,3077326,990,Materials
INSERTED DETAIL,,Economic Growth,Economic Initiative,ENVIRONMENTAL RECORDS INFORMATION CENTRE,3078288,2032.00,Equipment
INSERTED DETAIL,,Economic Growth,Economic Initiative,TEES VALLEY RURAL COMMUNITY COUNCIL,3079301,14879.20,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,AIRCON REFRIGERATION LTD,3079545,4497.00,Cyclical - Air Conditioning
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARUP,3079603,14651.10,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Regulatory Services,CLEARWATER TECHNOLOGY LTD,3076458,780,Cyclical - Legionella Maint
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2472.04,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1344.99,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1586.65,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,3827.60,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,5313.80,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,937.81,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1530.01,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,15548.72,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1775.51,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1471.19,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1177.47,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,504.28,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CROSSLING LTD,3079769,507,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,CROSSLING LTD,3079179,813.6,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,DARLINGTON SCAFFOLDING LTD,3079677,595,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,DARLINGTON SCAFFOLDING LTD,3078759,606,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,DURHAM COUNTY COUNCIL,3076314,1680.00,Cyclical-Lift Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3078370,1722.38,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,0,3825.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,3080583,10703.16,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,JAMES KEMP,3081805,750,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,LABC,0,1908.86,Subscriptions
INSERTED DETAIL,,Economic Growth,Regulatory Services,LAMBERT PROPERTY MANAGEMENT,0,818.1,Premises Insurance
INSERTED DETAIL,,Economic Growth,Regulatory Services,LEYBOURNE URWIN LTD,3076848,6000.00,Alterations & Improvements - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,LEYBOURNE URWIN LTD,3079511,3847.61,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,MAXIMUS GREEN LTD,3080201,7890.00,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3420.33,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,737.18,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1333.50,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1333.50,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2493.10,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2493.10,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2493.10,Water Charges
