,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Economic Initiative,COUNTING SOLUTIONS LTD,3080378,3115.00,Routine Maintenance
INSERTED DETAIL,,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3082297,7421.89,Other Establishments
INSERTED DETAIL,,Economic Growth,Economic Initiative,DTZ CONSULTING & RESEARCH,3080282,2500.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Economic Initiative,J R BRADLEY,3079933,2000.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Economic Initiative,OPINION RESEARCH SERVICES,3066306,15900.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Economic Initiative,REED BUSINESS INFORMATION LTD,3081730,4500.00,Subscriptions
INSERTED DETAIL,,Economic Growth,Economic Initiative,VALUATION OFFICE AGENCY,3078001,1400.00,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Economic Initiative,WYG ENGINEERING LTD,3075878,11235.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Economic Initiative,WYG ENGINEERING LTD,3075878,16319.93,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,A F BROWN & SONS LTD,3077747,520,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,AQUAJET DRAIN CLEANING,3082328,900,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3080385,2992.00,Repairs - Door Entry System
INSERTED DETAIL,,Economic Growth,Regulatory Services,BGP CONSULTING LIMITED,3082651,898.35,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,BRITISH PARKING ASSOCIATION,3079613,1946.00,Subscriptions
INSERTED DETAIL,,Economic Growth,Regulatory Services,BT REDCARE,3082106,49594.41,Telephone Costs
INSERTED DETAIL,,Economic Growth,Regulatory Services,CHUBB ELECTRONIC SECURITY LTD,3080928,837.09,Cyclical - Intruder Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,CLEARWATER TECHNOLOGY LTD,3075677,530,Cyclical - Legionella Maint
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2433.07,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,C-TECH SOLUTIONS LTD,3080810,526.12,Ict Hardware Purchase
INSERTED DETAIL,,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3082483,836,DBS Checks
INSERTED DETAIL,,Economic Growth,Regulatory Services,EASBY FLOORING LTD,3079519,3054.35,Alterations & Improvements - Decoration
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELDERS WALKER GLASS LTD,3080525,777.14,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079826,2150.00,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079827,1700.00,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079503,615,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080394,615,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080393,615,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079506,615,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079505,615,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080397,615,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080396,615,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080398,900,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3080395,615,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079504,615,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3082562,8492.00,Cctv Monitoring Charge
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3082644,700,Cctv Monitoring Charge
INSERTED DETAIL,,Economic Growth,Regulatory Services,FLEURETS (LEISURE PROPERTY SPECIALISTS),3082684,2545.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,FRANCIS CONSTRUCTION,3082001,560,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,FRANCIS CONSTRUCTION,3079508,3467.08,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,FRANCIS CONSTRUCTION,3079508,693.42,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,GUARDIAN ELECTRICAL COMPLIANCE LIMITED,3079128,6583.50,Cyclical - Electrical Installation Test
INSERTED DETAIL,,Economic Growth,Regulatory Services,GUARDIAN ELECTRICAL COMPLIANCE LIMITED,3081057,900,Cyclical - Electrical Installation Test
INSERTED DETAIL,,Economic Growth,Regulatory Services,INITIAL WASHROOM HYGIENE,3066619,4011.11,Hygiene Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,LIBERTY SERVICES,3077146,1630.00,Stationery
INSERTED DETAIL,,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3080418,682,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3077135,4726.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3077321,6246.80,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,MOGO UK,3080623,1548.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,NE SECURITY LTD,3072259,986.16,Security Services
