Payment Date,Amount,Benificiary Name,Organisational Unit
2018-02-27,14024.33,DARLINGTON CREDIT UNION LIMITED,Balance Sheet
2018-02-01,13962.33,DARLINGTON CREDIT UNION LIMITED,Balance Sheet
2018-02-11,12374.28,KIDDIVOUCHERS LTD,Balance Sheet
2018-02-01,3772.46,NHS PENSIONS,Balance Sheet
2018-02-27,3772.46,NHS PENSIONS,Balance Sheet
2018-02-27,24790.34,PRUDENTIAL LOCAL GOVERNMENT,Balance Sheet
2018-02-01,24793.75,PRUDENTIAL LOCAL GOVERNMENT,Balance Sheet
2018-02-01,1790.86,STANDARD LIFE,Balance Sheet
2018-02-27,1790.86,STANDARD LIFE,Balance Sheet
2018-02-27,1550.06,THE DARLINGTON LABOUR GROUP,Balance Sheet
2018-02-01,1550.06,THE DARLINGTON LABOUR GROUP,Balance Sheet
2018-02-27,6602.01,UNISON L04007,Balance Sheet
2018-02-01,6617.15,UNISON L04007,Balance Sheet
2018-02-27,552.66,UNITE,Balance Sheet
2018-02-01,564.47,UNITE,Balance Sheet
2018-01-24,9200.00,LIQUID LOGIC,COMMISSIONING
2018-02-12,9176.00,MDS BUILDING & ROOFING CONTRACTOR,COMMISSIONING
2018-01-15,5527.68,THYSSENKRUPP ENCASA LIMITED,COMMISSIONING
2018-02-01,91200.00,NORTH EAST TRUCK & VAN LTD,ECONOMIC GROWTH
2018-01-22,10000.00,AECOM LIMITED,ECONOMIC GROWTH
2017-11-08,7570.00,BARRETT ENVIRONMENTAL,ECONOMIC GROWTH
2018-01-24,1920.00,UNIVERSITY OF DURHAM,ECONOMIC GROWTH
2018-01-23,1900.00,BOND DICKINSON,ECONOMIC GROWTH
2018-01-29,2323.50,ARRIVA NORTH EAST LIMITED,ECONOMIC GROWTH
2018-01-31,1066.00,CA TRAFFIC,ECONOMIC GROWTH
2017-12-31,41336.84,ESH CONSTRUCTION LIMITED,ECONOMIC GROWTH
2018-01-16,2144.98,NORTHERN POWERGRID (NORTHEAST) LTD,ECONOMIC GROWTH
