Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2015-10-01,71603.00,CABINET OFFICE,TREASURER TO THE QUEEN,,
2015-10-01,25355.70,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-01,40289.44,CABINET OFFICE,TRUSTMARQUE SOLUTIONS LTD,,
2015-10-01,49705.60,CABINET OFFICE,SOFTWARE BOX LTD,,
2015-10-01,33442.00,CABINET OFFICE,BROWNE JACOBSON LLP,,
2015-10-01,162500.00,CABINET OFFICE,THE CHEQUERS ESTATE,,
2015-10-01,406688.75,CABINET OFFICE,ROYAL MAIL GROUP LTD,,
2015-10-02,52935.72,Crown Commercial Service,Government Legal Department,,
2015-10-02,62066.80,Crown Commercial Service,Government Legal Department,,
2015-10-02,112069.44,Crown Commercial Service,Salesforce.com,,
2015-10-02,127784.30,Crown Commercial Service,Government Legal Department,,
2015-10-02,109455.76,CABINET OFFICE,HM TREASURY,,
2015-10-02,25000.00,CABINET OFFICE,WILTSHIRE COUNCIL,,
2015-10-02,50000.00,CABINET OFFICE,SHEFFIELD CITY COUNCIL,,
2015-10-02,50000.00,CABINET OFFICE,NEWCASTLE CITY COUNCIL,,
2015-10-02,50000.00,CABINET OFFICE,LONDON BOROUGH OF BARNET,,
2015-10-02,50000.00,CABINET OFFICE,CHESHIRE WEST & CHESTER COUNCIL,,
2015-10-02,170001.78,CABINET OFFICE,VOLUNTARY ACTION LEICESTER,,
2015-10-02,37206.00,CABINET OFFICE,HALAROSE LTD,,
2015-10-02,31271.60,CABINET OFFICE,DWP,,
2015-10-02,47433.00,CABINET OFFICE,MICROSOFT LTD PSS,,
2015-10-02,26292.00,CABINET OFFICE,GELDARDS LLP,,
2015-10-02,52800.00,CABINET OFFICE,KORN FERRY INTERNATIONAL LTD,,
2015-10-02,25219.20,CABINET OFFICE,CBGA ROBSON LLP,,
2015-10-02,33512.40,CABINET OFFICE,FCO SERVICES,,
2015-10-05,30000.00,Crown Commercial Service,KPMG,,
2015-10-05,40000.00,Crown Commercial Service,Pricewaterhouse Coopers LLP,,
2015-10-05,41838.19,Crown Commercial Service,Cofely,,
2015-10-05,50000.00,Crown Commercial Service,TechMarketView LLP,,
2015-10-05,67053.94,Crown Commercial Service,Cofely,,
2015-10-05,27458.97,CABINET OFFICE,BOUYGUES E&S FM UK LTD,,
2015-10-05,25000.00,CABINET OFFICE,SOUTH TYNESIDE BOROUGH COUNCIL,,
2015-10-05,50000.00,CABINET OFFICE,BEDFORD BOROUGH COUNCIL,,
2015-10-05,1028516.95,CABINET OFFICE,MINISTRY OF DEFENCE,,
2015-10-05,30746.21,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-05,32382.56,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-05,214500.00,CABINET OFFICE,ORDNANCE SURVEY,,
2015-10-05,125484.69,CABINET OFFICE,SHARED SERVICES CONNECTED LTD,,
2015-10-06,50000.00,Crown Commercial Service,MOTT MACDONALD LTD,,
2015-10-06,568379.62,CABINET OFFICE,BOUYGUES E&S FM UK LTD,,
2015-10-06,30805.56,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-06,3024438.49,CABINET OFFICE,MYCSP LTD,,
2015-10-07,66189.00,CABINET OFFICE,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,,
2015-10-07,26397.00,CABINET OFFICE,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,,
2015-10-07,31250.00,CABINET OFFICE,LAW COMMISSION,,
2015-10-07,30994830.00,CABINET OFFICE,NCS TRUST CIC,,
2015-10-07,89950.00,CABINET OFFICE,THE BEHAVIOURAL INSIGHTS TEAM,,
2015-10-07,62097.00,CABINET OFFICE,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,,
2015-10-07,77889.94,CABINET OFFICE,SKYSCAPE CLOUD SERVICES LTD,,
2015-10-08,50000.00,CABINET OFFICE,SANDWELL MBC,,
2015-10-08,50000.00,CABINET OFFICE,SOUTHAMPTON CITY COUNCIL,,
2015-10-08,300000.00,CABINET OFFICE,UK COMMUNITY FOUNDATIONS,,
2015-10-08,30025.60,CABINET OFFICE,BOLTON METROPOLITAN BOROUGH COUNCIL,,
2015-10-08,39425.00,CABINET OFFICE,BRISTOL CITY COUNCIL,,
2015-10-08,42500.00,CABINET OFFICE,LONDON BOROUGH OF LAMBETH,,
2015-10-08,75939.20,CABINET OFFICE,BIRMINGHAM CITY COUNCIL,,
2015-10-08,112280.78,CABINET OFFICE,CLOUD TECHNOLOGY SOLUTIONS LTD,,
2015-10-08,273786.09,CABINET OFFICE,CLOUD TECHNOLOGY SOLUTIONS LTD,,
2015-10-08,49440.00,CABINET OFFICE,DE VERE VENUES GROUP LTD,,
2015-10-08,556223.87,CABINET OFFICE,FOOD STANDARDS AGENCY,,
2015-10-08,51232.63,CABINET OFFICE,BRITISH TELECOMMUNICATIONS PLC,,
2015-10-08,226057.31,CABINET OFFICE,LEVEL 3,,
2015-10-09,41263.00,CABINET OFFICE,KPMG LLP,,
2015-10-09,36442.57,CABINET OFFICE,TNS UK LTD,,
2015-10-09,53103.04,CABINET OFFICE,BOUYGUES E&S FM UK LTD,,
2015-10-09,25328.00,CABINET OFFICE,FIELD FISHER WATERHOUSE LLP,,
2015-10-09,27733.50,Crown Commercial Service,Telos Partners LLP,,
2015-10-09,38333.32,Crown Commercial Service,CABINET OFFICE VOTES CASH ACCO,,
2015-10-09,50000.00,CABINET OFFICE,LONDON BOROUGH OF BEXLEY,,
2015-10-09,377482.00,Crown Commercial Service,Mckinsey&co,,
2015-10-09,110556.28,CABINET OFFICE,NATIONAL ARCHIVES,,
2015-10-09,45985.90,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-09,46551.02,CABINET OFFICE,PARITY SOLUTIONS LTD,,
2015-10-09,49593.89,CABINET OFFICE,ADAPT SERVICES LTD,,
2015-10-09,136250.78,CABINET OFFICE,MISCO,,
2015-10-09,150657.14,CABINET OFFICE,THOUGHTWORKS LTD,,
2015-10-09,25529.14,CABINET OFFICE,BT,,
2015-10-12,109954.97,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-12,50378.95,CABINET OFFICE,MITIE BUSINESS SERVICES LTD,,
,,,,,
2015-10-12,25000.00,CABINET OFFICE,BRITISH YOUTH COUNCIL.,,
2015-10-12,38046.86,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-12,173602.78,CABINET OFFICE,E SYNERGY SOLUTIONS LTD,,
2015-10-13,28174.12,CABINET OFFICE,LEXIS NEXIS BUTTERWORTHS,,
2015-10-13,91055.00,CABINET OFFICE,ORDNANCE SURVEY,,
2015-10-13,28350.00,CABINET OFFICE,E SYNERGY SOLUTIONS LTD,,
2015-10-13,41650.00,Crown Commercial Service,BravoSolution UK Ltd,,
2015-10-13,43064.01,Crown Commercial Service,IBM UNITED KINGDOM LTD,,
2015-10-13,43064.01,Crown Commercial Service,IBM UNITED KINGDOM LTD,,
2015-10-13,43064.01,Crown Commercial Service,IBM UNITED KINGDOM LTD,,
2015-10-13,43064.01,Crown Commercial Service,IBM UNITED KINGDOM LTD,,
2015-10-13,43064.01,Crown Commercial Service,IBM UNITED KINGDOM LTD,,
2015-10-13,43064.01,Crown Commercial Service,IBM UNITED KINGDOM LTD,,
2015-10-13,238180.43,CABINET OFFICE,MINISTRY OF DEFENCE,,
2015-10-14,36000.00,CABINET OFFICE,KPMG,,
2015-10-14,34870.00,CABINET OFFICE,GREEN PARK INTERIM AND EXECUTIVE LTD,,
2015-10-14,50000.00,CABINET OFFICE,LONDON BOROUGH OF CROYDON,,
2015-10-14,107157.18,CABINET OFFICE,RKCR Y&R,,
2015-10-14,25737.40,CABINET OFFICE,KAINOS SOFTWARE LTD,,
2015-10-15,31980.00,CABINET OFFICE,METHODS CONSULTING LTD,,
2015-10-15,363979.10,CABINET OFFICE,LOCALITY,,
2015-10-15,41586.02,CABINET OFFICE,MERCER LTD,,
2015-10-15,101008.61,CABINET OFFICE,CLOUD TECHNOLOGY SOLUTIONS LTD,,
2015-10-15,40593.00,CABINET OFFICE,DIGIDENTITY BV,,
2015-10-15,42946.05,CABINET OFFICE,M4C,,
2015-10-16,34800.00,CABINET OFFICE,E SYNERGY SOLUTIONS LTD,,
2015-10-16,50000.00,CABINET OFFICE,CAMBRIDGESHIRE COUNTY COUNCIL,,
2015-10-16,50000.00,CABINET OFFICE,SOUTHEND ON SEA BOROUGH COUNCIL,,
2015-10-16,30000.00,CABINET OFFICE,SOCIAL ENTERPRISE UK,,
2015-10-16,64098.80,CABINET OFFICE,SUREVINE LTD,,
2015-10-16,25000.00,CABINET OFFICE,LOCAL DEMOCRACY & BOUNDARY COMMISSION FOR WALES,,
2015-10-16,42810.00,CABINET OFFICE,FCO SERVICES,,
2015-10-19,34809.12,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-19,36645.02,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-19,31806.00,CABINET OFFICE,UNBOXED CONSULTING LTD,,
2015-10-19,27726.47,CABINET OFFICE,NRG GROUP UK LTD,,
2015-10-19,33684.81,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-19,41725.87,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-19,50095.02,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-19,50537.64,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-19,110569.99,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-19,937377.42,CABINET OFFICE,FUJITSU SERVICES,,
2015-10-20,27300.00,CABINET OFFICE,METHODS DIGITAL LTD,,
2015-10-20,29565.60,CABINET OFFICE,METHODS DIGITAL LTD,,
2015-10-20,46942.50,CABINET OFFICE,METHODS DIGITAL LTD,,
2015-10-20,27908.04,CABINET OFFICE,TALENT INTERNATIONAL UK LTD,,
2015-10-20,125000.00,CABINET OFFICE,LOCALGIVING.COM,,
2015-10-20,82500.00,CABINET OFFICE,LONDON BOROUGH OF SOUTHWARK,,
2015-10-20,82500.00,CABINET OFFICE,LONDON BOROUGH OF LAMBETH,,
2015-10-20,132750.17,CABINET OFFICE,BRIDGES VENTURES LTD,,
2015-10-20,117578.93,CABINET OFFICE,GOVERNMENT LEGAL DEPARTMENT,,
2015-10-20,674471.24,CABINET OFFICE,THE TREASURY SOLICITOR,,
2015-10-20,41906.83,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-21,112800.00,CABINET OFFICE,CROWN COMMERCIAL SERVICE,,
2015-10-21,117300.00,CABINET OFFICE,XMA LTD,,
2015-10-21,78000.00,CABINET OFFICE,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,,
2015-10-21,25820.00,CABINET OFFICE,FCO SERVICES,,
2015-10-21,41838.19,Crown Commercial Service,Cofely,,
2015-10-21,53275.00,Crown Commercial Service,Government Legal Department,,
2015-10-21,67053.94,Crown Commercial Service,Cofely,,
2015-10-21,83845.84,Crown Commercial Service,Government Legal Department,,
2015-10-21,240000.00,Crown Commercial Service,Procserve Shared Services Ltd,,
2015-10-21,172701.05,CABINET OFFICE,RISUAL LTD,,
2015-10-22,40000.00,CABINET OFFICE,ITS ALL ABOUT ME SCHEME LLP,,
2015-10-22,113250.00,CABINET OFFICE,STEP UP TO SERVE,,
2015-10-22,58163.50,CABINET OFFICE,RKCR Y&R,,
2015-10-22,118462.90,CABINET OFFICE,VODAFONE LTD,,
2015-10-22,36828.00,CABINET OFFICE,GREEN PARK INTERIM AND EXECUTIVE LTD,,
2015-10-22,47000.00,CABINET OFFICE,SAVILLS UK LTD,,
2015-10-22,25000.00,CABINET OFFICE,OXFORD SAID BUSINESS SCHOOL LTD,,
2015-10-22,25855.76,CABINET OFFICE,BT,,
2015-10-23,25807.76,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-23,46125.00,CABINET OFFICE,EQUAL EXPERTS UK LTD,,
2015-10-23,85019.20,CABINET OFFICE,LONDON BOROUGH OF HACKNEY,,
2015-10-23,25018.70,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-23,26113.07,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-23,38237.54,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-23,42090.53,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-23,60620.91,CABINET OFFICE,ADAPT SERVICES LTD,,
2015-10-23,69612.48,CABINET OFFICE,ADAPT SERVICES LTD,,
2015-10-23,54694.30,Crown Commercial Service,Food Standards Agenc,,
2015-10-23,80220.00,CABINET OFFICE,EXPERIAN LTD,,
2015-10-23,161782.20,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-23,76042.88,CABINET OFFICE,SKYSCAPE CLOUD SERVICES LTD,,
2015-10-26,31203.02,CABINET OFFICE,ACCOR TA EDENRED,,
2015-10-26,144953.54,CABINET OFFICE,HM TREASURY,,
2015-10-26,100000.00,CABINET OFFICE,RKCR Y&R,,
2015-10-26,29520.00,CABINET OFFICE,XPRESS SOFTWARE SOLUTIONS LTD,,
2015-10-26,27070.00,CABINET OFFICE,NORTH HIGHLAND LTD,,
2015-10-26,63923.90,CABINET OFFICE,SLAUGHTER & MAY,,
2015-10-27,100000.00,CABINET OFFICE,BOUYGUES ENERGIES & SERVICES FM UK LTD,,
2015-10-27,42201.12,CABINET OFFICE,DEPARTMENT FOR TRANSPORT,,
2015-10-27,116725.00,CABINET OFFICE,RKCR Y&R,,
2015-10-27,28457.72,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-27,65065.93,CABINET OFFICE,CAPITA BUSINESS SERVICES LTD,,
2015-10-27,72623.96,Crown Commercial Service,Government Legal Department,,
2015-10-27,123694.57,CABINET OFFICE,LEVEL 3,,
2015-10-28,33927.50,CABINET OFFICE,METHODS DIGITAL LTD,,
2015-10-28,34541.67,CABINET OFFICE,MERCATOR IT SOLUTIONS LTD,,
2015-10-28,125113.32,CABINET OFFICE,DELOITTE MCS LTD,,
2015-10-28,169721.88,CABINET OFFICE,ZUHLKE ENGINEERING LTD,,
2015-10-28,127500.00,CABINET OFFICE,BOUYGUES E&S FM UK LTD,,
2015-10-28,25000.00,CABINET OFFICE,BRISTOL CITY COUNCIL,,
2015-10-28,168548.40,CABINET OFFICE,MINISTRY OF DEFENCE,,
2015-10-28,60311.50,CABINET OFFICE,CARRENZA LTD,,
2015-10-28,66517.82,CABINET OFFICE,SKYSCAPE CLOUD SERVICES LTD,,
2015-10-28,26262.00,CABINET OFFICE,CLOUD SHERPAS,,
2015-10-28,164724.00,CABINET OFFICE,E SYNERGY SOLUTIONS LTD,,
2015-10-28,2806776.91,CABINET OFFICE,FUJITSU SERVICES,,
2015-10-28,26091.72,CABINET OFFICE,GREEN PARK INTERIM AND EXECUTIVE LTD,,
2015-10-28,69481.75,CABINET OFFICE,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,,
2015-10-29,238552.26,CABINET OFFICE,ORC INTERNATIONAL LIMITED,,
2015-10-29,61725.40,CABINET OFFICE,GREEN PARK INTERIM AND EXECUTIVE LTD,,
2015-10-29,53172.51,CABINET OFFICE,DEPARTMENT FOR WORK & PENSIONS,,
2015-10-29,135877.00,CABINET OFFICE,UNIVERSITY OF CAMBRIDGE,,
2015-10-29,32760.00,CABINET OFFICE,MERCATOR IT SOLUTIONS LTD,,
2015-10-29,123893.67,CABINET OFFICE,LEVEL 3,,
2015-10-29,124073.61,CABINET OFFICE,CANON UK LTD,,
2015-10-29,160924.85,CABINET OFFICE,LEVEL 3,,
