Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2019-08-21,255,71.00,IDC WRISTBANDS,396990,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,ADVERTISING & MARKETING.EVENTS & PROMOTIONS
2019-08-21,256,579.82,PC WORLD,315035,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,ICT.HARDWARE
2019-08-21,257,579.81,PC WORLD,315035,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,ICT.HARDWARE
2019-08-22,7007870,640.00,EVENTS AND PR,398707,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,ADVERTISING & MARKETING.EVENTS & PROMOTIONS
2019-08-22,7007871,38.67,NHC NHS FOUNDATION TRUST,317869,Law & Governance,Central Services,102,Supplies and Services,504,Members' Allowances,5029,Revenue,PUBLIC HEALTH.SPECIALIST SERVICES
2019-08-22,7007872,48.33,DAYS HOTEL COVENTRY,398706,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,HUMAN RESOURCES.ACCOMMODATION
2019-08-22,7007873,45.95,CUBIQUITY MEDIA,398699,Law & Governance,Central Services,102,Supplies and Services,504,Equipment,5023,Revenue,NULL
2019-08-22,7007874,0.01,CHEAP-ROPE.CO.UK,398698,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,BUILDING MATERIALS.GENERAL MATERIALS
2019-08-22,7007874,76.63,CHEAP-ROPE.CO.UK,398698,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,BUILDING MATERIALS.GENERAL MATERIALS
2019-08-22,7007875,27.98,CARTRIDGEX.CO.UK,398691,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,OFFICE & REPROGRAPHICS EQUIPMENT.PRINTERS
2019-08-22,7007876,47.59,BAY SWEETS & GIFTS,398690,Corporate Strategy,Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,CATERING.FOOD & BEVERAGES
2019-08-22,7007877,40.00,BARRIERS 2 GO,398689,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,BUILDING MATERIALS.SIGNAGE
2019-08-22,7007878,45.00,FAMILY GATEWAY,396410,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,FACILITIES MANAGEMENT.ROOM HIRE
2019-08-22,7007879,11.67,DANCE NORTH LIMITED T/A DANCE CITY,308342,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
2019-08-22,7007880,415.83,COMPUTER ORBIT LTD,330115,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,NULL
2019-08-22,7007881,107.45,JASPERS NEWCASTLE LTD,383465,Business & Economic Development,Planning Services,110,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,CATERING.FOOD & BEVERAGES
