Payment Date,Amount,Benificiary Name,Organisational Unit
2015-05-05,738.16,GM PACKAGING (UK) LTD,Children's & Education Services
2015-05-05,138.87,ASDA HOME SHOPPING CAR,Children's & Education Services
2015-05-05,41.95,BOOKERECOMM,Cultural & Related Services
2015-05-05,22.47,BOOKERECOMM,Cultural & Related Services
2015-05-05,92.96,BOOKERECOMM,Cultural & Related Services
2015-05-05,106.07,BOOKERECOMM,Cultural & Related Services
2015-05-05,18.23,OAKENCLOUGH BUILDING L,Cultural & Related Services
2015-05-05,39.17,POUNDLAND LTD,Children's & Education Services
2015-05-05,18.33,POUNDLAND LTD,Cultural & Related Services
2015-05-05,135.00,IMPERIAL HOTEL,Children's & Education Services
2015-05-05,8.25,AMAZON SVCS EU-UK,Children's & Education Services
2015-05-05,219.32,AMAZON SVCS EU-UK,Cultural & Related Services
2015-05-05,59.99,AMAZON SVCS EU-UK,Cultural & Related Services
2015-05-05,12.06,AMAZON SVCS EU-UK,Cultural & Related Services
2015-05-05,64.89,AMAZON SVCS EU-UK,Cultural & Related Services
2015-05-05,39.43,WICKES LTD,Cultural & Related Services
2015-05-05,26.25,SR GLADSTON & SON LTD,Cultural & Related Services
2015-05-05,109.22,TRAINLINE.COM LTD,Children's & Education Services
2015-05-05,34.63,TRAINLINE.COM LTD,Children's & Education Services
2015-05-05,9.17,POST OFFICE LTD,Cultural & Related Services
2015-05-05,510.17,BRITISH FOSSILS,Cultural & Related Services
2015-05-05,0.78,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,0.80,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,0.80,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,0.88,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,0.94,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,1.10,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,1.10,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,1.31,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,1.48,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,1.50,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,1.58,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,1.62,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,1.71,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,1.71,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,2.08,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,2.50,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,2.58,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,2.64,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,2.64,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,2.82,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,2.96,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,3.00,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,3.12,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
2015-05-05,3.20,REDBRIDGE PRODUCE & FLOWERS,Children's & Education Services
