Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
29-Mar-2016,212,-37.50,OUTFIT,376150,Housing Revenue Account,Adult Social Care,101,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,06.EQUIPMENT
29-Mar-2016,7001321,27.70,UK AQUATIC PLANT SOCIETY,388997,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Equipment,5023,Revenue,18.TRAINING
29-Mar-2016,7001322,210.00,JOHN NIXON LTD,014520,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,01.BUILDING SUPPLIES
29-Mar-2016,7001323,44.02,CREATIVITY INTERNATIONAL LTD,388769,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,06.EQUIPMENT
29-Mar-2016,7001324,500.00,GOOGLE GENERAL PAYMENTS,388551,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,00.NON INFLUENCIBLE
29-Mar-2016,7001324,500.00,GOOGLE GENERAL PAYMENTS,388551,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,00.NON INFLUENCIBLE
29-Mar-2016,7001325,40.32,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,0.34,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,0.37,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,13.03,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,13.54,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,55.03,CLICK TRAVEL LIMITED,388377,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,295.86,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,123.42,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,173.95,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,63.97,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,164.34,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,269.12,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,269.12,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,59.78,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001325,108.32,CLICK TRAVEL LIMITED,388377,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,18.TRAVEL
29-Mar-2016,7001326,-100.00,TRAVIS PERKINS TRADING CO LTD,323511,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,BUILD GEN
29-Mar-2016,7001326,8.51,TRAVIS PERKINS TRADING CO LTD,323511,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,BUILD GEN
29-Mar-2016,7001326,61.20,TRAVIS PERKINS TRADING CO LTD,323511,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,BUILD GEN
29-Mar-2016,7001326,100.00,TRAVIS PERKINS TRADING CO LTD,323511,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,BUILD GEN
