Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
28-Feb-2017,219,-41.16,PLANGLOW LTD,333423,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.CROCKERY
28-Feb-2017,7003124,39.47,ROMWE,394749,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,CLOTH ADULT
28-Feb-2017,7003125,20.99,PARTMASTER,394748,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,01.ELECTRICAL
28-Feb-2017,7003126,59.99,HOME AND MEDICAL,394747,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,PUB HEALTH EQUI
28-Feb-2017,7003127,150.40,EASY SPACE,394746,"Environment, Housing & Leisure",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,15.SOFTWARE
28-Feb-2017,7003128,30.00,BARNOWL TRUST,394745,Commissioning & Investment,Capital,Capital,Supplies and Services,504,Equipment,5023,Revenue,16.EVENTS & PROMOTIONS
28-Feb-2017,7003129,17.45,LITTLE CRAFTY BUGS,394744,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,06.ART & CRAFT
28-Feb-2017,7003130,90.00,TROJAN ELECTRICAL SUPPLIES,020856,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,BUILD PLUMB
28-Feb-2017,7003131,125.67,MCDONALDS RESTAURANTS LTD,304796,Corporate Strategy,Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,16.EVENTS & PROMOTIONS
28-Feb-2017,7003131,4.07,MCDONALDS RESTAURANTS LTD,304796,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,16.EVENTS & PROMOTIONS
28-Feb-2017,7003132,22.50,LOCKWISE LTD,012706,Housing Revenue Account,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,02.BUILDING SERVICES
28-Feb-2017,7003133,5.71,HOME BARGAINS,381011,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,10.BLINDS CARPETS CURTAIN
28-Feb-2017,7003133,7.85,HOME BARGAINS,381011,Housing Revenue Account,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,10.BLINDS CARPETS CURTAIN
28-Feb-2017,7003134,5.00,POUNDLAND LTD,383123,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,05.CLEANING MATERIALS
28-Feb-2017,7003135,30.00,TT2 LTD,377653,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.NON INFLUENCIBLE
28-Feb-2017,7003135,30.00,TT2 LTD,377653,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,00.NON INFLUENCIBLE
28-Feb-2017,7003135,30.00,TT2 LTD,377653,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,00.NON INFLUENCIBLE
28-Feb-2017,7003136,26.32,AMAZON SVCS EU-UK,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,EDUC SUPP
28-Feb-2017,7003136,53.27,AMAZON SVCS EU-UK,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,EDUC SUPP
28-Feb-2017,7003136,14.99,AMAZON SVCS EU-UK,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUC SUPP
28-Feb-2017,7003136,8.72,AMAZON SVCS EU-UK,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUC SUPP
28-Feb-2017,7003136,4.49,AMAZON SVCS EU-UK,375398,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,EDUC SUPP
28-Feb-2017,7003136,16.99,AMAZON SVCS EU-UK,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUC SUPP
28-Feb-2017,7003136,24.31,AMAZON SVCS EU-UK,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,EDUC SUPP
28-Feb-2017,7003136,4.97,AMAZON SVCS EU-UK,375398,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUC SUPP
28-Feb-2017,7003136,6.24,AMAZON SVCS EU-UK,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,EDUC SUPP
28-Feb-2017,7003136,46.99,AMAZON SVCS EU-UK,375398,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,EDUC SUPP
28-Feb-2017,7003136,24.99,AMAZON SVCS EU-UK,375398,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,EDUC SUPP
28-Feb-2017,7003136,6.43,AMAZON SVCS EU-UK,375398,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,EDUC SUPP
