Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2015-01-30,118,32.28,FINDEL EDUCATION LTD,001601,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.EQUIPMENT
2015-01-30,7015958,120.00,RBF-PRODUCTS,391932,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,02.BUILDING SERVICES
2015-01-30,7015959,10.08,CHARFLEETBI,391924,Housing Revenue Account,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,20.PRINTING
2015-01-30,7015960,4.45,WASHINGTON SOUTH MWSA,391923,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,15.CONSUMABLES
2015-01-30,7015960,6.80,WASHINGTON SOUTH MWSA,391923,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,15.CONSUMABLES
2015-01-30,7015961,7.19,THE WALLS END,391922,"Children, Young People & Learning",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,16.EVENTS & PROMOTIONS
2015-01-30,7015962,5.42,PRODUCT SUPPORT AG,391921,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,15.SOFTWARE
2015-01-30,7015963,16.67,PARENTPAY,391920,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,09.FINANCIAL SERVICES
2015-01-30,7015964,18.50,WHITECROSS DENTAL,391919,Adult Social Care,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.DOCTORS/MEDICAL FEES
2015-01-30,7015965,110.00,LONDON EMBLEM LTD,391918,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,16.ARCHITECTS
2015-01-30,7015966,72.06,JOHNSTONES GARAGE,391917,"Children, Young People & Learning",Children's & Education Services,103,Transport,503,Direct Transport Costs,5016,Revenue,NULL
2015-01-30,7015967,20.83,WHITESTILES SERVICE STATION,391916,"Children, Young People & Learning",Children's & Education Services,103,Transport,503,Direct Transport Costs,5016,Revenue,28.FUEL
