Payment Date,Transaction Number,Amount,Supplier Name,Supplier ID,Organisational Unit,Service Label,Service Code,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
29/08/2014,7015050,1.49,ITUNES,385880,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,15.SOFTWARE
29/08/2014,7015050,2.48,ITUNES,385880,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,15.SOFTWARE
29/08/2014,7015119,32.90,ASDA STORES LIMITED,306530,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015127,64.06,B & Q (205037),205037,"Children, Young People & Learning",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015127,98.97,B & Q (205037),205037,"Children, Young People & Learning",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015127,104.95,B & Q (205037),205037,"Children, Young People & Learning",Children's & Education Services,103,Premises-Related Expenditure,502,"Repairs, alterations and maintenance of buildings",5005,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015127,69.97,B & Q (205037),205037,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015199,13.65,AMAZON SVCS EU-UK,375398,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.STATIONERY
29/08/2014,7015199,31.38,AMAZON SVCS EU-UK,375398,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.STATIONERY
29/08/2014,7015056,297.00,MY DISTANCE LEARNING,391393,"Children, Young People & Learning",Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,06.TUITION
29/08/2014,7015056,297.00,MY DISTANCE LEARNING,391393,"Children, Young People & Learning",Children's & Education Services,103,Employees,501,Indirect Employee Expenses,5002,Revenue,06.TUITION
29/08/2014,7015063,409.00,GO PROJECTORS,391387,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,18.EQUIPMENT
29/08/2014,7015106,4.96,B&M RETAIL LTD,388117,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,10.HOUSEHOLD
29/08/2014,7015125,0.67,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,1.17,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,2.83,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,5.75,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,6.95,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,7.77,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,11.33,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,13.32,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,20.57,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,20.65,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,21.50,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,32.78,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,35.56,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,43.01,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015125,121.03,SAINSBURY'S SUPERMARKET LIMITED,334326,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015127,20.78,B & Q (205037),205037,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.BUILDING SUPPLIES
29/08/2014,7015161,1.67,ICELAND FROZEN FOODS PLC,308154,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015161,31.39,ICELAND FROZEN FOODS PLC,308154,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
29/08/2014,7015174,53.00,POST OFFICE COUNTERS LIMITED,269949,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Communications & Computing,5028,Revenue,18.POSTAGE
29/08/2014,7015194,5.70,HOME BARGAINS,381011,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.TOOLS & EQUIPMENT
29/08/2014,7015194,6.90,HOME BARGAINS,381011,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.TOOLS & EQUIPMENT
29/08/2014,7015194,14.77,HOME BARGAINS,381011,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,01.TOOLS & EQUIPMENT
29/08/2014,7015199,32.32,AMAZON SVCS EU-UK,375398,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,06.STATIONERY
