,,Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,,Capital/Revenue
,,2019-05-29,7007299,15.42,WILKO RETAIL LIMITED,280813,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007299,59.58,WILKO RETAIL LIMITED,280813,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007299,17.71,WILKO RETAIL LIMITED,280813,Commissioning & Asset Management,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007299,23.75,WILKO RETAIL LIMITED,280813,"Environment, Housing & Leisure",Housing Services,108,Third Party Payments,505,Private Contractors,5042,,Revenue
,,2019-05-29,7007299,10.00,WILKO RETAIL LIMITED,280813,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007299,57.96,WILKO RETAIL LIMITED,280813,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Equipment,5023,,Revenue
,,2019-05-29,7007299,45.29,WILKO RETAIL LIMITED,280813,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,,Revenue
,,2019-05-29,7007299,32.50,WILKO RETAIL LIMITED,280813,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,,Revenue
,,2019-05-29,7007299,253.33,WILKO RETAIL LIMITED,280813,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
,,2019-05-29,7007300,5.42,G STRAUGHAN T/A PARTY CAPITAL,370822,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,,Revenue
