Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
ANGELA SHAW EDUCATION CONSULTANTS LTD,2014-07-28,1200,Professional Services,Consultancy
KATHERINE MILNER MATHEMATICS CONSULTANCY,2014-07-01,1500,Children and Young People,Education & Careers
MINSTHORPE ACADEMY TRUST,2014-07-21,1000,Children and Young People,Education & Careers
BUDDI LIMITED,2014-07-16,540,Property & Asset Management,Security
CHUBB SYSTEMS LTD,2014-07-22,510,Property & Asset Management,Security
WAKEFIELD DISTRICT HOUSING INVOICE PAYMENTS,2014-09-25,6252.19,Adult Services,to be classified
YORKSHIRE HOUSING LTD,2014-07-03,2067,Adult Services,to be classified
EDDISONS,2014-08-11,750,Property & Asset Management,Property Management
EXTERION MEDIA,2014-08-20,880,Business Services,Advertising Services
JOHNSTON PUBLISHING,2014-07-17,833.69,Business Services,Advertising Services
JOHNSTON PUBLISHING,2014-08-15,503,Business Services,Advertising Services
JOHNSTON PUBLISHING,2014-09-30,2258,Business Services,Advertising Services
JOHNSTON PUBLISHING,2014-09-25,503,Business Services,Advertising Services
TMP (UK) LTD,2014-07-09,800,Business Services,Advertising Services
TMP (UK) LTD,2014-07-01,1190.2,Business Services,Advertising Services
TMP (UK) LTD,2014-07-02,868.43,Business Services,Advertising Services
TMP (UK) LTD,2014-08-28,2075.58,Business Services,Advertising Services
TMP (UK) LTD,2014-07-18,1770,Business Services,Advertising Services
TMP (UK) LTD,2014-07-29,526.32,Business Services,Advertising Services
WAKEFIELD COLLEGE,2014-08-20,2000,Children and Young People,Education & Careers
TOGETHER,2014-07-29,11239.91,Adult Services,to be classified
ADOPTION MATTERS NORTHWEST,2014-07-31,750,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2014-07-31,1194.42,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2014-09-18,750,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2014-07-31,750,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2014-07-04,750,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2014-07-04,750,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2014-07-04,1194.42,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2014-09-18,4500,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2014-09-18,750,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2014-09-18,1194.42,Children and Young People,Looked After Children
CABRINI CHILDREN'S SOCIETY,2014-09-18,18000,Children and Young People,Childcare & Early Years
DARLINGTON BOROUGH COUNCIL,2014-07-23,18000,n/a,n/a
FAMILIES FOR CHILDREN ADOPTION,2014-09-02,18000,Children and Young People,Looked After Children
