Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
ACCESS HIRE NATIONWIDE LTD,2018-08-09,1222.00,Transport,Vehicle and Plant Hire
LEGRAND ELECTRIC LIMITED T/A LEGRAND ASSISTED LIVING & HEALTHCARE,2018-10-01,723.50,Adult Services,Sub Category To Be Classified
LIVE-LINK (CALL SYSTEMS) LTD,2018-10-01,740.00,Property & Regeneration,Security
TUNSTALL HEALTHCARE (UK) LTD,2018-08-09,816.00,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2018-07-12,845.00,Adult Services,Sub Category To Be Classified
CAIR (UK) LTD,2018-07-03,1075.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
TUNSTALL HEALTHCARE (UK) LTD,2018-07-03,1500.00,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2018-09-06,1750.00,Adult Services,Sub Category To Be Classified
LEGRAND ELECTRIC LIMITED T/A LEGRAND ASSISTED LIVING & HEALTHCARE,2018-09-06,2052.36,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2018-08-01,2525.65,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2018-10-01,3696.25,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2018-09-11,6306.00,Adult Services,Sub Category To Be Classified
ALLCARE MOBILITY LIMITED,2018-09-21,510.00,Transport,Mobility Vehicles
ALLCARE MOBILITY LIMITED,2018-08-09,510.00,Transport,Mobility Vehicles
ALLCARE MOBILITY LIMITED,2018-09-27,510.00,Transport,Mobility Vehicles
ALLCARE MOBILITY LIMITED,2018-07-27,510.00,Transport,Mobility Vehicles
HANDICARE ACCESSIBILITY LTD,2018-08-07,510.00,Adult Services,Sub Category To Be Classified
ALLCARE MOBILITY LIMITED,2018-08-20,515.00,Transport,Mobility Vehicles
POLLOCK LIFTS LIMITED,2018-08-28,520.00,Adult Services,Sub Category To Be Classified
CAULTON CONSTRUCTION,2018-07-06,550.00,Property & Regeneration,Construction
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-09-13,560.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2018-07-09,565.00,Adult Services,Sub Category To Be Classified
IDEAL HYGIENE,2018-08-28,600.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2018-09-03,605.00,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-07-02,616.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
POLLOCK LIFTS LIMITED,2018-07-27,625.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2018-07-23,626.00,Adult Services,Sub Category To Be Classified
IDEAL HYGIENE,2018-07-02,640.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
POLLOCK LIFTS LIMITED,2018-07-23,650.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS LIMITED,2018-09-14,650.00,Adult Services,Sub Category To Be Classified
CAULTON CONSTRUCTION,2018-09-28,650.00,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2018-07-27,670.00,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2018-07-23,680.00,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2018-08-10,680.00,Property & Regeneration,Construction
HANDICARE ACCESSIBILITY LTD,2018-09-19,680.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2018-08-01,685.00,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-07-04,688.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-07-11,690.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
ALLCARE MOBILITY LIMITED,2018-08-10,695.00,Transport,Mobility Vehicles
ATKINSONS FENCING LTD,2018-09-14,696.10,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2018-08-21,700.00,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-07-03,731.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2018-07-10,760.00,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-07-20,761.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-07-18,791.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2018-09-27,812.50,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-08-01,818.40,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2018-07-26,821.00,Adult Services,Sub Category To Be Classified
CAULTON CONSTRUCTION,2018-08-03,850.00,Property & Regeneration,Construction
HANDICARE ACCESSIBILITY LTD,2018-07-27,870.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2018-07-13,900.00,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-07-05,978.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2018-09-27,1035.00,Adult Services,Sub Category To Be Classified
CHILTERN INVADEX (UK) LTD,2018-08-21,1111.38,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-07-20,1140.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2018-09-27,1300.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
CHILTERN INVADEX (UK) LTD,2018-07-03,1312.80,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-07-26,1348.70,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2018-08-28,1500.00,Adult Services,Sub Category To Be Classified
