Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
LIZ GODMAN EDUCATION CONSULTANCY LTD,2016-02-29,1620.00,Children and Young People,Education & Careers
TYNETEC LTD,2016-02-29,3691.00,ICT,Systems & Software
TYNETEC LTD,2016-02-17,3466.23,ICT,Systems & Software
YORKSHIRE HOUSING LTD,2016-01-14,2190.50,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-01-21,1045.62,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-03-08,679.30,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-02-04,922.50,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-02-04,1380.00,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-03-01,632.50,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-03-15,535.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-03-31,700.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-01-25,3092.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-03-04,1460.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-03-04,636.50,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-02-04,1375.95,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-01-15,625.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-02-25,625.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-03-03,1834.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2016-03-03,995.00,Adult Services,Sub Category To Be Classified
A STIRLING & K GREENWAY,2016-03-01,620.00,Property & Asset Management,Building Services - Misc
HANDICARE ACCESSIBILITY LTD,2016-01-06,2407.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-02-22,1872.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-03,670.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-03,624.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-03,715.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-23,730.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-02-15,2160.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-02-25,575.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-13,2291.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-04,2530.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-04,690.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-12,594.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-12,2130.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-22,680.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-22,853.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-22,885.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-12,1920.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-02-12,860.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-02-16,560.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-02-16,2115.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-15,1840.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-31,890.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-02,2170.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-28,850.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-31,960.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-22,1900.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-14,1850.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-15,915.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-18,1850.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-03-10,2160.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-27,2275.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-01-14,952.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-01-15,835.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-03-14,3054.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-01-12,910.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-02-29,650.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-02-05,2315.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-03-03,725.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-02-18,3074.00,Adult Services,Sub Category To Be Classified
IDEAL HYGIENE,2016-03-10,2400.00,Property & Asset Management,Building Services - Plumbing
WESSEX LIFT CO. LIMITED,2016-02-01,568.22,Adult Services,Sub Category To Be Classified
WESSEX LIFT CO. LIMITED,2016-02-18,3265.81,Adult Services,Sub Category To Be Classified
WESSEX LIFT CO. LIMITED,2016-03-09,2401.22,Adult Services,Sub Category To Be Classified
WESSEX LIFT CO. LIMITED,2016-03-09,1949.31,Adult Services,Sub Category To Be Classified
WESSEX LIFT CO. LIMITED,2016-02-25,2037.57,Adult Services,Sub Category To Be Classified
WESSEX LIFT CO. LIMITED,2016-01-21,1156.65,Adult Services,Sub Category To Be Classified
WESSEX LIFT CO. LIMITED,2016-01-21,2936.01,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-01-07,765.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-02-01,3536.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-01-25,4879.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-03-11,714.00,Property & Asset Management,Building Services - Metal
CAULTON CONSTRUCTION,2016-02-05,700.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2016-01-15,2500.00,Property & Asset Management,Construction
WAKEFIELD DISTRICT HOUSING INVOICE PAYMENTS,2016-02-03,97673.81,Adult Services,Sub Category To Be Classified
CHEVIN HOUSING ASSOCIATION,2016-02-29,2200.00,Adult Services,Sub Category To Be Classified
CHEVIN HOUSING ASSOCIATION,2016-02-29,1600.00,Adult Services,Sub Category To Be Classified
CHEVIN HOUSING ASSOCIATION,2016-02-29,2200.00,Adult Services,Sub Category To Be Classified
CHEVIN HOUSING ASSOCIATION,2016-02-29,2400.00,Adult Services,Sub Category To Be Classified
ADOPTION MATTERS NORTHWEST,2016-02-25,585.10,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2016-01-13,615.00,Children and Young People,Looked After Children
CHRYSALIS ASSOCIATES LTD,2016-01-05,2000.00,Business Services,Occupational Health - Counselling & Advice
U-IN-MIND,2016-01-28,2469.20,Business Services,Occupational Health - Physiotherapists
INTEGRATE FAMILIES,2016-01-22,1200.00,Adult Services,Sub Category To Be Classified
THE CHILD PSYCHOLOGY SERVICE,2016-01-08,1831.10,Adult Services,Sub Category To Be Classified
THE CHILD PSYCHOLOGY SERVICE,2016-03-04,873.30,Adult Services,Sub Category To Be Classified
PLAY THERAPY CENTRAL,2016-01-19,605.00,Children and Young People,Education & Careers
DETAILS REDACTED,2016-01-13,2040.00,Business Services,Training
LEEDS CITY COUNCIL,2016-02-22,2791.00,n/a,N/A
LEEDS CITY COUNCIL,2016-02-22,3774.00,n/a,N/A
LEEDS CITY COUNCIL,2016-02-22,2617.00,n/a,N/A
POLICE AND CRIME COMISSIONER FOR WEST YORKSHIRE,2016-02-04,14750.00,n/a,N/A
POLICE AND CRIME COMISSIONER FOR WEST YORKSHIRE,2016-01-14,14750.00,n/a,N/A
OUTWOOD PARK MEDICAL CENTRE,2016-01-06,1056.96,Public Health,Doctors
GASPED,2016-03-03,17499.99,Public Health,Substance Misuse
WAKEFIELD DISTRICT CITIZENS ADVICE BUREAU,2016-01-14,13200.00,Business Services,Financial Advice
YORKSHIRE MESMAC,2016-01-14,39202.25,Public Health,Sexual Health
PARK VIEW SURGERY,2016-02-08,632.60,Public Health,Doctors
CHURCH STREET SURGERY,2016-02-08,975.26,Public Health,Doctors
PROSPECT SURGERY,2016-01-06,546.35,Public Health,Doctors
PROSPECT SURGERY,2016-02-08,2340.62,Public Health,Doctors
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2016-03-03,800.00,Public Health,Health Authorities and Hospitals
PINFOLD SURGERY,2016-01-06,781.23,Public Health,Doctors
WARRENGATE MEDICAL CENTRE,2016-01-06,663.79,Public Health,Doctors
THE WHITE ROSE SURGERY,2016-01-19,2113.92,Public Health,Doctors
THE WHITE ROSE SURGERY,2016-01-19,897.60,Public Health,Doctors
TURNING POINT SERVICES LTD,2016-01-15,338112.25,Public Health,Substance Misuse
TURNING POINT SERVICES LTD,2016-02-02,338112.25,Public Health,Substance Misuse
TURNING POINT SERVICES LTD,2016-03-01,338112.25,Public Health,Substance Misuse
THE GRANGE MEDICAL CENTRE,2016-01-06,546.35,Public Health,Doctors
RIVERSIDE MEDICAL CENTRE,2016-01-06,1485.87,Public Health,Doctors
RIVERSIDE MEDICAL CENTRE,2016-02-08,1739.65,Public Health,Doctors
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-02-12,109934.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-02-08,4407.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-02-08,5516.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-02-08,18171.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-01-14,18171.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-01-14,109934.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-01-14,10384.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-01-14,6248.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-01-14,4407.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-03-09,18171.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-01-07,5516.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-02-22,29832.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-03-07,4407.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-03-08,29832.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-01-19,29832.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-03-08,5516.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-01-22,4689.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-03-09,109934.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-01-07,8133.00,Public Health,Health Authorities and Hospitals
THE MID YORKSHIRE HOSPITALS NHS TRUST,2016-03-03,2452.00,Public Health,Health Authorities and Hospitals
ST THOMAS ROAD SURGERY,2016-01-06,546.35,Public Health,Doctors
SOUTH WEST YORKS PARTNERSHIP NHS FOUNDATION TRUST,2016-03-03,22753.00,Public Health,Health Authorities and Hospitals
SOUTH WEST YORKS PARTNERSHIP NHS FOUNDATION TRUST,2016-01-07,65651.00,Public Health,Health Authorities and Hospitals
SOUTH WEST YORKS PARTNERSHIP NHS FOUNDATION TRUST,2016-01-14,35617.00,Public Health,Health Authorities and Hospitals
SOUTH WEST YORKS PARTNERSHIP NHS FOUNDATION TRUST,2016-01-14,71667.00,Public Health,Health Authorities and Hospitals
SOUTH WEST YORKS PARTNERSHIP NHS FOUNDATION TRUST,2016-01-14,2047.00,Public Health,Health Authorities and Hospitals
SOUTH WEST YORKS PARTNERSHIP NHS FOUNDATION TRUST,2016-03-09,35617.00,Public Health,Health Authorities and Hospitals
