Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
ALERT -IT CARE ALARMS,2015-10-02,2702.10,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2015-10-23,1113.50,Adult Services,Sub Category To Be Classified
C MITCHELL & SONS,2015-10-05,810.00,Property & Asset Management,Building Services - Roofing
CAULTON CONSTRUCTION,2015-11-23,730.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2015-12-23,580.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2015-11-19,833.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2015-10-16,503.00,Property & Asset Management,Construction
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-10-19,1141.60,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-11-10,1111.50,Property & Asset Management,Building Services - Metal
HANDICARE ACCESSIBILITY LTD,2015-10-06,1070.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-12-09,1900.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-02,1658.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-06,933.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-11-17,675.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-11-17,2400.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-11-17,713.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-11-17,530.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-12-01,980.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-11-23,2050.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-05,2020.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-05,1005.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-02,1715.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-05,848.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-05,1000.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-12,560.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-12,2630.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-19,560.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-10-15,680.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-11-10,737.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-11-09,844.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-11-11,2034.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2015-11-11,700.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2015-11-06,690.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2015-10-15,650.00,Adult Services,Sub Category To Be Classified
