Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
LIZ GODMAN EDUCATION CONSULTANCY LTD,2015-05-06,1220.00,Children and Young People,Education & Careers
LIZ GODMAN EDUCATION CONSULTANCY LTD,2015-06-08,1820.00,Children and Young People,Education & Careers
LIZ GODMAN EDUCATION CONSULTANCY LTD,2015-05-06,1840.00,Children and Young People,Education & Careers
MARTIN SHEVILL CONSULTANCY LTD,2015-06-05,528.00,Children and Young People,Education & Careers
MARTIN SHEVILL CONSULTANCY LTD,2015-06-05,598.00,Children and Young People,Education & Careers
BACK CARE SOLUTIONS LTD,2015-04-20,505.00,Property & Asset Management,Furniture
C MITCHELL & SONS,2015-05-21,515.00,Property & Asset Management,Building Services - Roofing
C MITCHELL & SONS,2015-04-13,595.00,Property & Asset Management,Building Services - Roofing
CAIR (UK) LTD,2015-04-21,1631.25,Property & Asset Management,Building Services - Electrical
CAULTON CONSTRUCTION,2015-04-09,680.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2015-06-12,745.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2015-06-24,750.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2015-04-30,790.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2015-06-11,1400.00,Property & Asset Management,Construction
CHUBB FIRE & SECURITY LIMITED,2015-06-11,560.00,Property & Asset Management,Fire Systems / Services / Equipment
CLAIRMONT,2015-04-08,1440.00,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-05-15,561.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-06-30,561.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-06-11,609.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-06-04,714.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-05-21,842.20,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-06-09,952.40,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-05-14,1114.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-06-26,1427.75,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-06-04,1595.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2015-05-08,1614.80,Property & Asset Management,Building Services - Metal
HANDICARE ACCESSIBILITY LTD,2015-06-11,554.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-04-16,563.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-06-30,565.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-06-09,570.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-04-23,570.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-06-09,623.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-05-15,636.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-04-16,664.20,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-06-11,665.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-05-21,692.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-05-29,715.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-04-14,740.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-06-11,755.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-06-30,805.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-05-15,965.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-05-12,1300.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2015-04-17,1300.00,Adult Services,Sub Category To Be Classified
