Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
LEEDS COMMERCIAL LTD,2018-02-01,892.41,Transport,Vehicle and Plant Hire
LEEDS COMMERCIAL LTD,2018-02-01,1135.6,Transport,Vehicle and Plant Hire
ACCESS HIRE NATIONWIDE LTD,2018-01-31,4176,Transport,Vehicle and Plant Hire
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-02-09,560.4,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-03-20,573,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-03-12,621.8,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-03-08,672,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-01-11,1396,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2018-02-21,7752,Property & Regeneration,PFM - Non Contract - Miscellaneous
CAULTON CONSTRUCTION,2018-01-04,660,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2018-01-04,850,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2018-02-26,920,Property & Regeneration,Construction
SAFESPACES CORNHOLME LTD,2018-03-02,650,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2018-01-19,560,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2018-03-08,610,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2018-01-10,635,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2018-01-15,635,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2018-01-19,709,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2018-02-07,785,Adult Services,Sub Category To Be Classified
