Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
LIZ GODMAN EDUCATION CONSULTANCY LTD,2016-04-06,1860.00,Children and Young People,Education & Careers
ALERT -IT CARE ALARMS,2016-06-15,1281.62,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-06-15,1026.06,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-06-24,630.50,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-06-03,1600.42,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-04-25,522.34,Adult Services,Sub Category To Be Classified
C MITCHELL & SONS,2016-04-27,580.00,Property & Asset Management,Building Services - Roofing
C MITCHELL & SONS,2016-06-27,910.00,Property & Asset Management,Building Services - Roofing
CAULTON CONSTRUCTION,2016-05-09,825.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2016-05-09,800.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2016-06-27,790.00,Property & Asset Management,Construction
CAULTON CONSTRUCTION,2016-04-29,720.00,Property & Asset Management,Construction
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-06-01,1044.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-06-10,593.24,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-05-09,936.00,Property & Asset Management,Building Services - Metal
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-04-26,510.00,Property & Asset Management,Building Services - Metal
FLOOR DECOR T/A D BAGG LTD,2016-05-04,650.00,Property & Asset Management,Building Services - Flooring
HANDICARE ACCESSIBILITY LTD,2016-04-08,670.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-05-09,660.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-05-11,983.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-05-11,870.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-04-29,2600.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-04-29,680.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-04-14,560.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-06-06,2095.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-04-14,1100.50,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-06-15,1900.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-06-15,1000.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-06-17,2340.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-06-17,2045.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-04-07,1815.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-04-21,1960.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-05-16,2600.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-04-27,1660.00,Adult Services,Sub Category To Be Classified
IDEAL HYGIENE,2016-04-26,750.00,Property & Asset Management,Building Services - Plumbing
IDEAL HYGIENE,2016-04-27,750.00,Property & Asset Management,Building Services - Plumbing
NORTHERN INSTALLATION SERVICES LTD,2016-05-24,650.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-04-18,650.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-06-07,700.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-06-07,650.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2016-06-08,650.00,Adult Services,Sub Category To Be Classified
