Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
NAVIGATE RESOURCING LIMITED,2015-02-23,10642.50,Business Services,Agency
NAVIGATE RESOURCING LIMITED,2015-02-23,6750.00,Business Services,Agency
NAVIGATE RESOURCING LIMITED,2015-02-23,9000.00,Business Services,Agency
NAVIGATE RESOURCING LIMITED,2015-02-23,4200.00,Business Services,Agency
NAVIGATE RESOURCING LIMITED,2015-02-23,10000.00,Business Services,Agency
LIZ GODMAN EDUCATION CONSULTANCY LTD,2015-03-10,1600.00,Children and Young People,Education & Careers
LIZ GODMAN EDUCATION CONSULTANCY LTD,2015-03-10,1600.00,Children and Young People,Education & Careers
LIZ GODMAN EDUCATION CONSULTANCY LTD,2015-01-19,2520.00,Children and Young People,Education & Careers
MARTIN SHEVILL CONSULTANCY LTD,2015-03-06,632.00,Children and Young People,Education & Careers
MARTIN SHEVILL CONSULTANCY LTD,2015-03-09,866.00,Children and Young People,Education & Careers
NETWORK COMMUNICATION SYSTEMS LTD,2015-01-20,1066.02,ICT,Telecommunications
JUST CHECKING LTD,2015-02-04,8928.00,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2015-03-31,2839.31,Adult Services,Sub Category To Be Classified
LIVE-LINK (CALL SYSTEMS) LTD,2015-01-30,1054.50,Property & Asset Management,Security
CLAIRMONT,2015-03-05,2260.00,Adult Services,Sub Category To Be Classified
JOHNSTON PUBLISHING,2015-01-05,1500.00,Business Services,Advertising Services
JOHNSTON PUBLISHING,2015-02-10,672.28,Business Services,Advertising Services
RIDINGS FM,2015-03-23,1500.00,Business Services,Advertising - Radio & TV
VALUATION OFFICE AGENCY,2015-03-25,503.24,Professional Services,Government Agencies
TMP (UK) LTD,2015-02-23,800.62,Business Services,Advertising Services
TMP (UK) LTD,2015-02-27,3244.62,Business Services,Advertising Services
TMP (UK) LTD,2015-03-23,521.95,Business Services,Advertising Services
TMP (UK) LTD,2015-03-30,528.75,Business Services,Advertising Services
CARTER JONAS,2015-02-11,7073.00,Property & Asset Management,Property Management
FEATHERSTONE ROVERS RUGBY LEAGUE FOOTBALL CLUB LTD,2015-03-13,1000.00,"Economic Growth, Culture & Sport",Sport
TRINITY MIRROR PUBLISHING LIMITED,2015-02-11,1000.00,Business Services,Publications
PRIMESIGHT LTD,2015-03-16,9675.06,Business Services,Advertising - Outdoor
PRIMESIGHT LTD,2015-01-20,3150.83,Business Services,Advertising - Outdoor
TMP (UK) LTD,2015-01-28,665.00,Business Services,Advertising Services
NORTHERN LIGHT MEDIA,2015-03-20,2400.00,ICT,ICT - Software
THE SOURCE GROUP,2015-02-11,1431.00,Business Services,Advertising - Outdoor
EXTERION MEDIA,2015-01-26,2527.00,Business Services,Advertising Services
EXTERION MEDIA,2015-01-26,1580.00,Business Services,Advertising Services
SUTTON MEDIA LTD T/A PUBLIC INFORMATION PILLARS,2015-01-14,2096.64,Business Services,Advertising Services
RIDINGS FM,2015-03-12,2996.00,Business Services,Advertising - Radio & TV
TMP (UK) LTD,2015-01-23,705.96,Business Services,Advertising Services
TMP (UK) LTD,2015-02-23,571.05,Business Services,Advertising Services
TMP (UK) LTD,2015-02-17,942.30,Business Services,Advertising Services
COMMBUS COMPANY LTD,2015-03-03,950.00,Transport,Passenger Transport
TOGETHER,2015-01-23,14529.90,Adult Services,Sub Category To Be Classified
BRADFORD MDC,2015-03-30,27000.00,n/a,N/A
YORK COUNCIL,2015-02-19,9000.00,n/a,N/A
ADOPTION MATTERS NORTHWEST,2015-02-19,2150.00,Children and Young People,Looked After Children
ADOPTION MATTERS NORTHWEST,2015-02-19,3583.26,Children and Young People,Looked After Children
PARENTS AND CHILDREN TOGETHER,2015-01-20,5001.00,Children and Young People,Looked After Children
ST FRANCIS CHILDRENS SOCIETY,2015-01-28,18000.00,Children and Young People,Looked After Children
FAMILIES FOR CHILDREN ADOPTION,2015-01-23,750.00,Children and Young People,Looked After Children
FAMILIES FOR CHILDREN ADOPTION,2015-03-31,750.00,Children and Young People,Looked After Children
FAMILIES FOR CHILDREN ADOPTION,2015-03-09,750.00,Children and Young People,Looked After Children
CITY OF BRADFORD MDC,2015-01-20,18000.00,n/a,N/A
NUGENT CARE,2015-01-15,10442.00,Children and Young People,Looked After Children
ISLE OF WIGHT COUNCIL,2015-03-13,6569.00,n/a,N/A
BARNARDOS SOUTH EAST AND ANGLIA,2015-01-07,9000.00,Adult Services,Sub Category To Be Classified
SOUTH TYNESIDE COUNCIL,2015-01-28,27000.00,n/a,N/A
MATRIX SCM LTD,2015-03-25,1128.30,Business Services,Agency
MATRIX SCM LTD,2015-04-01,526.54,Business Services,Agency
MATRIX SCM LTD,2015-03-25,551.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,528.84,Business Services,Agency
MATRIX SCM LTD,2015-03-04,966.31,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-25,993.53,Business Services,Agency
MATRIX SCM LTD,2015-03-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-14,748.55,Business Services,Agency
MATRIX SCM LTD,2015-03-04,900.50,Business Services,Agency
MATRIX SCM LTD,2015-03-11,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-18,918.39,Business Services,Agency
MATRIX SCM LTD,2015-03-25,984.94,Business Services,Agency
MATRIX SCM LTD,2015-03-18,986.73,Business Services,Agency
MATRIX SCM LTD,2015-02-04,744.09,Business Services,Agency
MATRIX SCM LTD,2015-02-11,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-04-01,918.39,Business Services,Agency
MATRIX SCM LTD,2015-02-25,744.09,Business Services,Agency
MATRIX SCM LTD,2015-03-11,625.57,Business Services,Agency
MATRIX SCM LTD,2015-02-18,925.48,Business Services,Agency
MATRIX SCM LTD,2015-01-28,744.09,Business Services,Agency
MATRIX SCM LTD,2015-02-18,843.82,Business Services,Agency
MATRIX SCM LTD,2015-02-11,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-07,585.23,Business Services,Agency
MATRIX SCM LTD,2015-03-11,871.04,Business Services,Agency
MATRIX SCM LTD,2015-02-11,744.09,Business Services,Agency
MATRIX SCM LTD,2015-04-01,1000.34,Business Services,Agency
MATRIX SCM LTD,2015-04-01,612.45,Business Services,Agency
MATRIX SCM LTD,2015-01-28,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-18,744.09,Business Services,Agency
MATRIX SCM LTD,2015-03-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-07,816.60,Business Services,Agency
MATRIX SCM LTD,2015-02-11,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-14,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-14,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-25,979.94,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-04-01,984.95,Business Services,Agency
MATRIX SCM LTD,2015-01-14,612.46,Business Services,Agency
MATRIX SCM LTD,2015-03-25,984.95,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-11,816.60,Business Services,Agency
MATRIX SCM LTD,2015-01-14,802.99,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-18,984.95,Business Services,Agency
MATRIX SCM LTD,2015-02-04,816.60,Business Services,Agency
MATRIX SCM LTD,2015-03-25,984.94,Business Services,Agency
MATRIX SCM LTD,2015-03-11,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-11,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-25,925.48,Business Services,Agency
MATRIX SCM LTD,2015-01-21,816.60,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-25,816.60,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-28,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-14,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-04-01,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-04,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-11,816.60,Business Services,Agency
MATRIX SCM LTD,2015-02-11,1143.24,Business Services,Agency
MATRIX SCM LTD,2015-02-18,952.70,Business Services,Agency
MATRIX SCM LTD,2015-02-25,959.41,Business Services,Agency
MATRIX SCM LTD,2015-03-04,959.41,Business Services,Agency
MATRIX SCM LTD,2015-04-01,959.41,Business Services,Agency
MATRIX SCM LTD,2015-04-01,687.15,Business Services,Agency
MATRIX SCM LTD,2015-03-18,959.41,Business Services,Agency
MATRIX SCM LTD,2015-03-11,959.41,Business Services,Agency
MATRIX SCM LTD,2015-02-25,959.41,Business Services,Agency
MATRIX SCM LTD,2015-01-14,816.60,Business Services,Agency
MATRIX SCM LTD,2015-02-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-04,612.45,Business Services,Agency
MATRIX SCM LTD,2015-02-11,598.84,Business Services,Agency
MATRIX SCM LTD,2015-01-07,653.28,Business Services,Agency
MATRIX SCM LTD,2015-02-25,939.09,Business Services,Agency
MATRIX SCM LTD,2015-03-25,816.60,Business Services,Agency
MATRIX SCM LTD,2015-04-01,802.99,Business Services,Agency
MATRIX SCM LTD,2015-01-28,816.60,Business Services,Agency
MATRIX SCM LTD,2015-03-18,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-18,984.94,Business Services,Agency
MATRIX SCM LTD,2015-02-25,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-03-11,984.94,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.14,Business Services,Agency
MATRIX SCM LTD,2015-01-28,898.26,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.16,Business Services,Agency
MATRIX SCM LTD,2015-03-25,517.18,Business Services,Agency
MATRIX SCM LTD,2015-03-25,933.30,Business Services,Agency
MATRIX SCM LTD,2015-02-18,612.45,Business Services,Agency
MATRIX SCM LTD,2015-03-18,984.94,Business Services,Agency
MATRIX SCM LTD,2015-01-28,1007.16,Business Services,Agency
MATRIX SCM LTD,2015-01-21,1007.14,Business Services,Agency
