Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
COLAS LTD,2014-10-06,1034.40,Highways,Surfacing
COLAS LTD,2014-11-26,1548.48,Highways,Surfacing
COMPASS MINERALS UK LTD,2014-10-03,2969.42,Highways,Materials
COMPASS MINERALS UK LTD,2014-10-06,1961.55,Highways,Materials
AGGREGATE INDUSTRIES UK LTD,2014-11-19,676.20,Highways,Materials
MARSHALLS PLC,2014-10-09,2540.00,Highways,Materials
MARSHALLS PLC,2014-10-29,2536.96,Highways,Materials
MARSHALLS PLC,2014-11-19,1984.16,Highways,Materials
MARSHALLS PLC,2014-12-17,1458.24,Highways,Materials
DURO UK LTD,2014-10-14,700.00,Property & Asset Management,Building Services - Misc
SAINT GOBAIN UK/JEWSON LIMITED,2014-10-15,1052.24,Property & Asset Management,Building Services - Glazing
SAINT GOBAIN UK/JEWSON LIMITED,2014-10-22,1528.86,Property & Asset Management,Building Services - Glazing
SAINT GOBAIN UK/JEWSON LIMITED,2014-11-04,5581.10,Property & Asset Management,Building Services - Glazing
SAINT GOBAIN UK/JEWSON LIMITED,2014-11-04,1745.24,Property & Asset Management,Building Services - Glazing
SAINT GOBAIN UK/JEWSON LIMITED,2014-11-12,2926.20,Property & Asset Management,Building Services - Glazing
SAINT GOBAIN UK/JEWSON LIMITED,2014-11-20,2551.36,Property & Asset Management,Building Services - Glazing
SAINT GOBAIN UK/JEWSON LIMITED,2014-11-26,7813.54,Property & Asset Management,Building Services - Glazing
SAINT GOBAIN UK/JEWSON LIMITED,2014-12-04,949.90,Property & Asset Management,Building Services - Glazing
SAINT GOBAIN UK/JEWSON LIMITED,2014-12-23,1810.10,Property & Asset Management,Building Services - Glazing
EDMUNDSON ELECTRICAL LTD,2014-12-02,750.80,Property & Asset Management,Building Services - Electrical
EDMUNDSON ELECTRICAL LTD,2014-12-16,550.00,Property & Asset Management,Building Services - Electrical
BILBECK (MERCHANTS) LTD,2014-10-07,957.94,Property & Asset Management,Building Services - Plumbing
BILBECK (MERCHANTS) LTD,2014-10-22,565.80,Property & Asset Management,Building Services - Plumbing
BILBECK (MERCHANTS) LTD,2014-10-23,526.73,Property & Asset Management,Building Services - Plumbing
BILBECK (MERCHANTS) LTD,2014-10-28,835.10,Property & Asset Management,Building Services - Plumbing
BILBECK (MERCHANTS) LTD,2014-11-07,877.31,Property & Asset Management,Building Services - Plumbing
BILBECK (MERCHANTS) LTD,2014-11-26,948.76,Property & Asset Management,Building Services - Plumbing
ELECTRIC WATER HEATING CO,2014-10-28,670.00,Property & Asset Management,Building Services - Heating
ICOPAL LTD,2014-10-23,2734.20,Property & Asset Management,Building Services - Roofing
ICOPAL LTD,2014-12-08,4101.30,Property & Asset Management,Building Services - Roofing
ALVIN MORRIS,2014-10-15,571.84,Property & Asset Management,Building Services - Flooring
ALVIN MORRIS,2014-11-19,992.88,Property & Asset Management,Building Services - Flooring
DULUX DECORATOR CENTRES/ICI CONTRACT DIRECT,2014-11-04,574.48,Property & Asset Management,Building Services - Painting
DULUX DECORATOR CENTRES/ICI CONTRACT DIRECT,2014-11-19,553.06,Property & Asset Management,Building Services - Painting
BSS GROUP,2014-10-06,714.51,Property & Asset Management,Building Services - Plumbing
BSS GROUP,2014-10-06,573.54,Property & Asset Management,Building Services - Plumbing
BSS GROUP,2014-10-14,571.55,Property & Asset Management,Building Services - Plumbing
BSS GROUP,2014-10-17,1183.08,Property & Asset Management,Building Services - Plumbing
BSS GROUP,2014-10-21,2176.79,Property & Asset Management,Building Services - Plumbing
BSS GROUP,2014-11-03,1088.39,Property & Asset Management,Building Services - Plumbing
BSS GROUP,2014-11-04,835.79,Property & Asset Management,Building Services - Plumbing
BSS GROUP,2014-12-17,1948.46,Property & Asset Management,Building Services - Plumbing
BSS GROUP,2014-12-23,1744.07,Property & Asset Management,Building Services - Plumbing
ELECTRICAL WHOLESALE (HUDDERSFIELD),2014-12-16,620.00,Property & Asset Management,Building Services - Electrical
COLTON BATHROOM SUPPLIES,2014-10-06,852.79,Property & Asset Management,Building Services - Plumbing
ASD METAL SERVICES,2014-10-07,700.00,Property & Asset Management,Building Services - Metal
ASD METAL SERVICES,2014-12-22,542.00,Property & Asset Management,Building Services - Metal
HOWARTH TIMBER & BUILDING SUPPLIES,2014-11-07,1097.09,Property & Asset Management,Building Services - Timber
MEYER TIMBER.COM,2014-10-30,913.50,Property & Asset Management,Building Services - Timber
MEYER TIMBER.COM,2014-11-12,670.00,Property & Asset Management,Building Services - Timber
MEYER TIMBER.COM,2014-12-09,502.50,Property & Asset Management,Building Services - Timber
FIRST FIX INDUSTRIAL SUPPLIES LTD,2014-11-03,961.93,Property & Asset Management,Building Services - Misc
FIRST FIX INDUSTRIAL SUPPLIES LTD,2014-12-23,880.70,Property & Asset Management,Building Services - Misc
R S COMPONENTS LTD,2014-10-08,619.74,Property & Asset Management,Building Services - Electrical
SMITH BROS (CAERCONAN) WHOLESALE LTD,2014-10-14,841.26,Property & Asset Management,Building Services - Electrical
SMITH BROS (CAERCONAN) WHOLESALE LTD,2014-10-21,652.59,Property & Asset Management,Building Services - Electrical
SMITH BROS (CAERCONAN) WHOLESALE LTD,2014-10-27,768.34,Property & Asset Management,Building Services - Electrical
SMITH BROS (CAERCONAN) WHOLESALE LTD,2014-12-17,659.92,Property & Asset Management,Building Services - Electrical
SMITH BROS (CAERCONAN) WHOLESALE LTD,2014-12-23,993.79,Property & Asset Management,Building Services - Electrical
POINTER LIMITED (POINTER FIRE),2014-11-04,1725.23,Property & Asset Management,Security
POINTER LIMITED (POINTER FIRE),2014-12-10,812.60,Property & Asset Management,Security
JOHN MONAGHAN LTD,2014-12-16,1057.60,Property & Asset Management,Building Services - Architectural Ironmongery
H-TE WESTERN AUTOMATION,2014-10-14,509.86,Property & Asset Management,Security
SIROFLEX LTD,2014-10-06,799.72,Property & Asset Management,Building Services - Adhesive & Abrasives
SIROFLEX LTD,2014-11-26,925.72,Property & Asset Management,Building Services - Adhesive & Abrasives
PTS PLUMBING TRADE SUPPLIES (WAKEFIELD),2014-12-18,516.70,Property & Asset Management,Building Services - Plumbing
BUNZL UK T/A NATIONAL SAFETY SUPPLIES,2014-10-16,1051.77,Business Services,Clothing & PPE
BUNZL UK T/A NATIONAL SAFETY SUPPLIES,2014-12-02,582.90,Business Services,Clothing & PPE
