Organisational Unit,Payment Date,Amount,Benificiary Name
Resources and Housing,2018-03-09,2074.00,A & D-S W Supplies
Resources and Housing,2018-04-18,17524.73,A & P Crontractors Ltd
Resources and Housing,2018-04-04,199.76,A Andrews & Sons (Marbles & Tiles)
Children and Families,2018-04-20,663.00,REDACTED PERSONAL DATA
Resources and Housing,2018-04-05,350.00,REDACTED PERSONAL DATA
Children and Families,2018-04-18,795.60,A Clarkson
Children and Families,2018-04-20,663.00,A Clarkson
Children and Families,2018-04-24,280.00,REDACTED PERSONAL DATA
Children and Families,2018-04-18,7956.00,REDACTED PERSONAL DATA
Children and Families,2018-04-20,13790.40,REDACTED PERSONAL DATA
City Development,2018-04-23,194242.72,A E Yates Ltd
Children and Families,2018-04-20,1326.00,A Foley
Children and Families,2018-04-20,4862.00,REDACTED PERSONAL DATA
Children and Families,2018-04-20,2431.00,REDACTED PERSONAL DATA
Children and Families,2018-04-20,2939.30,A Hodgson
Children and Families,2018-04-20,3634.60,REDACTED PERSONAL DATA
Children and Families,2018-04-20,2652.00,REDACTED PERSONAL DATA
Resources and Housing,2018-03-16,340.00,A I Media Data Ltd
Resources and Housing,2018-03-26,6960.00,A I Media Data Ltd
City Development,2018-04-26,80.00,REDACTED COMMERCIAL CONFIDENTIALITY
Resources and Housing,2018-04-04,1213.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-04,2198.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,128.51,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,205.07,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,145.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,110.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,444.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,110.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,116.45,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,105.63,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,135.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,104.52,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,132.17,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,86.59,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-09,61.18,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,33.59,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,366.53,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,27.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,837.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,159.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,48.85,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,351.09,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,85.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,43.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,110.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,110.65,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,134.99,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,12.95,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,35.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,207.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,137.95,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,341.38,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,107.70,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,567.45,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,52.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,269.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-13,1120.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-17,475.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-17,304.45,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,750.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,675.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,895.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,345.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,78.59,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,39.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,72.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,2150.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,38.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,110.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,196.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,310.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,50.17,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,43.95,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,76.94,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,950.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,1190.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,101.76,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,593.89,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,86.92,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,1138.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,165.75,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,386.21,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,114.99,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,197.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,62.01,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,13.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,26.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,508.52,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,33.59,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,237.80,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,125.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,94.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,24.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,24.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,185.21,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-23,1344.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2018-04-27,671.00,A J H  Pump Supply & Repair Ltd
Communities and Environment,2018-04-04,70.32,A J Promotions
Communities and Environment,2018-04-06,1497.14,A J Promotions
Communities and Environment,2018-04-11,2077.51,A J Promotions
Communities and Environment,2018-04-25,620.00,A J Promotions
Communities and Environment,2018-04-25,23.52,A J Promotions
Communities and Environment,2018-04-27,23.52,A J Promotions
Children and Families,2018-04-18,2386.00,A K Walsh
Children and Families,2018-04-20,3978.00,A K Walsh
Children and Families,2018-04-19,700.00,REDACTED PERSONAL DATA
Children and Families,2018-04-13,1400.00,A Little Something Extra Ltd
Children and Families,2018-04-18,875.00,A Little Something Extra Ltd
Children and Families,2018-04-27,945.00,A Little Something Extra Ltd
Children and Families,2018-04-27,420.00,A Little Something Extra Ltd
Communities and Environment,2018-04-11,567.80,A Mohammed
Communities and Environment,2018-04-11,158.25,A Mohammed
Communities and Environment,2018-04-12,56.50,A Musalam
Communities and Environment,2018-04-11,441.75,A Namaki
Communities and Environment,2018-04-11,50.00,A Namaki
Children and Families,2018-04-20,663.00,REDACTED PERSONAL DATA
City Development,2018-04-30,100.00,A Quiet Word Ltd
Resources and Housing,2018-04-26,30.00,REDACTED PERSONAL DATA
Resources and Housing,2018-04-25,46.25,A Star Couriers Ltd
Children and Families,2018-04-20,11271.00,REDACTED PERSONAL DATA
Children and Families,2018-04-20,1560.60,REDACTED PERSONAL DATA
Children and Families,2018-04-20,663.00,REDACTED PERSONAL DATA
Children and Families,2018-04-13,65.00,A Wilderness Way Ltd
Children and Families,2018-03-27,8.84,A2b Office Technol
City Development,2018-04-13,3650.00,Aardman Animations Ltd
Social Services Pooled Budgets,2018-04-05,1323.00,Aat (Gb) Ltd
Social Services Pooled Budgets,2018-04-05,793.00,Aat (Gb) Ltd
Social Services Pooled Budgets,2018-04-20,229.00,Aat (Gb) Ltd
City Development,2018-04-12,2177.34,Aaztec Associates Ltd
Adults and Health,2018-04-05,51.00,Ab Cars (Garforth) Ltd
Adults and Health,2018-04-05,357.00,Ab Cars (Garforth) Ltd
Communities and Environment,2018-03-16,14.50,Abacus Express
Children and Families,2018-04-09,15.59,Abacus Express Limited
Adults and Health,2018-04-04,1556.00,Abbendon Nursing Home
Adults and Health,2018-04-04,1732.00,Abbey Grange Nursing Home
City Development,2018-04-24,27150.00,Abc Blast Cleaning Ltd
Children and Families,2018-04-18,7160.40,Abc Daycare And Ozone Out Of School
Children and Families,2018-04-20,19567.00,Abc Daycare And Ozone Out Of School
Communities and Environment,2018-04-25,1250.00,Abc Food Safety Ltd
Children and Families,2018-04-18,3978.00,Abc Nursery At Lufc
Children and Families,2018-04-20,26962.00,Abc Nursery At Lufc
Children and Families,2018-04-18,3182.40,Abc@D'S Childcare Services
Children and Families,2018-04-20,22542.00,Abc@D'S Childcare Services
Communities and Environment,2018-04-05,83.00,REDACTED PERSONAL DATA
Communities and Environment,2018-04-11,45.00,Abdul Wadood Kazizadha
Communities and Environment,2018-04-11,92.00,Abdulahad Denha
Children and Families,2018-04-10,20.00,REDACTED PERSONAL DATA
Strategic Accounts,2018-04-03,363.00,Aberford And District Parish Council
Strategic Accounts,2018-04-03,16550.00,Aberford And District Parish Council
Adults and Health,2018-04-04,66177.79,Aberford Hall
Adults and Health,2018-04-04,3413.23,Aberford Hall
Adults and Health,2018-04-04,2235.21,Aberford Hall
Resources and Housing,2018-04-04,250.45,Abi Garage Doors Ltd
Resources and Housing,2018-04-04,69.00,Abi Garage Doors Ltd
Resources and Housing,2018-04-04,48.00,Abi Garage Doors Ltd
Resources and Housing,2018-04-10,2754.95,Abi Garage Doors Ltd
Resources and Housing,2018-04-17,15.00,Abi Garage Doors Ltd
Resources and Housing,2018-04-17,15.00,Abi Garage Doors Ltd
Resources and Housing,2018-04-23,25.00,Abi Garage Doors Ltd
Children and Families,2018-04-12,41.67,REDACTED PERSONAL DATA
Children and Families,2018-04-12,4.30,REDACTED PERSONAL DATA
Children and Families,2018-04-12,15.75,REDACTED PERSONAL DATA
Children and Families,2018-04-09,99.00,Academic Appointments Ltd
Children and Families,2018-04-20,1410.00,Academic Appointments Ltd
Children and Families,2018-04-27,564.00,Academic Appointments Ltd
Adults and Health,2018-04-09,6180.00,Accenture (Uk) Ltd
Communities and Environment,2018-04-27,1310.86,Access Hire Nationwide Ltd
Resources and Housing,2018-02-28,393.06,Access Locksmiths
Communities and Environment,2018-03-26,577.40,Access Locksmiths
Communities and Environment,2018-03-28,67.35,Access Locksmiths
Strategic Landlord,2018-04-04,163.12,Access Locksmiths (Leeds) Limited
Strategic Landlord,2018-04-04,100.80,Access Locksmiths (Leeds) Limited
Strategic Landlord,2018-04-04,274.20,Access Locksmiths (Leeds) Limited
Strategic Landlord,2018-04-04,228.00,Access Locksmiths (Leeds) Limited
Strategic Landlord,2018-04-04,37.50,Access Locksmiths (Leeds) Limited
Resources and Housing,2018-04-04,78.61,Access Locksmiths (Leeds) Limited
Resources and Housing,2018-04-04,125.62,Access Locksmiths (Leeds) Limited
Resources and Housing,2018-04-04,10.00,Access Locksmiths (Leeds) Limited
Resources and Housing,2018-04-04,24.75,Access Locksmiths (Leeds) Limited
Resources and Housing,2018-04-04,54.86,Access Locksmiths (Leeds) Limited
Resources and Housing,2018-04-04,81.90,Access Locksmiths (Leeds) Limited
Resources and Housing,2018-04-04,10.00,Access Locksmiths (Leeds) Limited
Resources and Housing,2018-04-04,20.86,Access Locksmiths (Leeds) Limited
