Organisational Unit,Payment Date,Amount,Benificiary Name
Central & Corporate,2014-11-07,190.00,A & A Electrical Distributors Ltd
Central & Corporate,2014-11-14,64.10,A & A Electrical Distributors Ltd
Central & Corporate,2014-11-17,42.00,REDACTED PERSONAL DATA
Environment & Housing,2014-11-07,15716.00,A & P Crontractors Ltd
Childrens Services,2014-11-27,1100.00,A Ahmadi
Central & Corporate,2014-11-21,3.40,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2014-11-19,718.00,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2014-11-12,510.00,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2014-11-26,60.78,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2014-11-10,80.00,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2014-11-12,510.00,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2014-11-28,643.80,A Andrews & Sons (Marbles & Tiles)
Adult Social Care,2014-11-10,400.00,REDACTED PERSONAL DATA
City Development,2014-11-28,100.00,REDACTED PERSONAL DATA
City Development,2014-11-21,248.19,REDACTED PERSONAL DATA
City Development,2014-11-28,248.19,REDACTED PERSONAL DATA
City Development,2014-11-07,248.19,REDACTED PERSONAL DATA
City Development,2014-11-14,248.19,REDACTED PERSONAL DATA
City Development,2014-11-13,39.60,REDACTED PERSONAL DATA
Adult Social Care,2014-11-21,443.24,A D G Engineering Ltd
City Development,2014-11-13,36.90,REDACTED PERSONAL DATA
Childrens Services,2014-11-04,387.50,A G Webb
Central & Corporate,2014-11-28,36.68,A J H  Pump Supply & Repair Ltd
Central & Corporate,2014-11-28,35.27,A J H  Pump Supply & Repair Ltd
Central & Corporate,2014-11-28,202.81,A J H  Pump Supply & Repair Ltd
Central & Corporate,2014-11-28,139.15,A J H  Pump Supply & Repair Ltd
Central & Corporate,2014-11-28,458.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2014-11-28,284.66,A J H  Pump Supply & Repair Ltd
Central & Corporate,2014-11-28,103.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2014-11-28,125.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2014-11-28,33.22,A J H  Pump Supply & Repair Ltd
