Organisational Unit,Payment Date,Amount,Benificiary Name
Central & Corporate,2015-04-21,32.41,A & A Electrical Distributors Ltd
Central & Corporate,2015-04-15,46.16,A & A Electrical Distributors Ltd
Central & Corporate,2015-04-14,133.00,A & A Electrical Distributors Ltd
Environment & Housing,2015-04-24,31381.34,A & P Crontractors Ltd
Environment & Housing,2015-04-23,150.00,REDACTED PERSONAL DATA
Central & Corporate,2015-04-02,696.16,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2015-04-02,33.32,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2015-04-08,57.63,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2015-04-08,169.32,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2015-04-01,3.23,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2015-04-22,49.62,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2015-04-17,20.72,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2015-04-21,175.80,A Andrews & Sons (Marbles & Tiles)
Central & Corporate,2015-04-20,110.00,A Andrews & Sons (Marbles & Tiles)
City Development,2015-04-07,248.19,REDACTED PERSONAL DATA
City Development,2015-04-17,248.19,REDACTED PERSONAL DATA
City Development,2015-04-24,248.19,REDACTED PERSONAL DATA
City Development,2015-04-02,248.19,REDACTED PERSONAL DATA
City Development,2015-04-17,84.50,A C Entertainment Technologies Ltd
Childrens Services,2015-04-24,1513.20,A Clarkson
Childrens Services,2015-04-27,592.80,A Clarkson
Environment & Housing,2015-04-02,1524.65,REDACTED COMMERCIAL CONFIDENTIALITY
Childrens Services,2015-04-27,6960.72,A E Speight
Childrens Services,2015-04-28,16361.28,A E Speight
City Development,2015-04-08,63830.86,A E Yates Ltd
Childrens Services,2015-04-23,170.00,REDACTED PERSONAL DATA
Childrens Services,2015-04-29,908.96,A Foley
Central & Corporate,2015-04-01,1200.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-01,726.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-01,12.50,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-01,39.80,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-01,36.40,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-01,33.87,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-01,14.89,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-01,55.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,31.55,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,364.43,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,12.95,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,25.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,100.80,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,129.10,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,62.45,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,163.86,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,115.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,151.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-30,25.65,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-29,4.81,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-28,58.64,A J H  Pump Supply & Repair Ltd
Central & Corporate,2015-04-28,815.00,A J H  Pump Supply & Repair Ltd
