Organisational Unit,Payment Date,Amount,Benificiary Name
Central & Corporate,2013-06-20,1240,A J H  Pump Supply & Repair Ltd
Central & Corporate,2013-06-20,2100,A J H  Pump Supply & Repair Ltd
Central & Corporate,2013-06-18,1752,A J H  Pump Supply & Repair Ltd
City Development,2013-06-28,1100,A J Promotions
Environment & Housing,2013-06-06,786.84,A J Promotions
Childrens Services,2013-06-07,13000,A Lowrie Care Service Limited
Childrens Services,2013-06-07,13000,A Lowrie Care Service Limited
Childrens Services,2013-06-17,13000,A Lowrie Care Service Limited
Childrens Services,2013-06-07,14000,A Lowrie Care Service Limited
Childrens Services,2013-06-07,14000,A Lowrie Care Service Limited
Childrens Services,2013-06-17,14000,A Lowrie Care Service Limited
Environment & Housing,2013-06-25,500,A Macdonald Properties
Central & Corporate,2013-06-05,605.5,A Namaki
West - North West,2013-06-13,4700,REDACTED PERSONAL DATA
Adult Social Care,2013-06-05,1161.42,REDACTED PERSONAL DATA
Central & Corporate,2013-06-05,434.75,A Sheikholeslami
Central & Corporate,2013-06-05,2685.76,A Sheikholeslami
Adult Social Care,2013-06-05,1384.16,REDACTED PERSONAL DATA
Adult Social Care,2013-06-05,4142.89,REDACTED PERSONAL DATA
Adult Social Care,2013-06-05,1142.2,Abbey Lea Residential Care Home
Childrens Services,2013-06-27,600,Abbey Taxis (Boston) Ltd
Adult Social Care,2013-06-05,1193.52,Abbeydale Care Home
Adult Social Care,2013-06-05,1050.36,Abbeydale Residential Home
Environment & Housing,2013-06-17,1100,Aberford And District Parish Council
Adult Social Care,2013-06-05,12840.33,Aberford Hall
Adult Social Care,2013-06-05,2034.6,Aberford Hall
Social Services Pooled Budgets,2013-06-05,2061.84,REDACTED PERSONAL DATA
Environment & Housing,2013-06-12,2632,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-27,2890,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-03,2890,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-19,2890,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-19,4150,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-12,4150,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-24,4150,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-27,4150,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-28,4150,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-03,4150,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-19,4150,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-03,4200,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-28,4420,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-24,4460.2,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-27,4460.2,Able Bathing & Building Contractors Ltd
Environment & Housing,2013-06-12,4460.2,Able Bathing & Building Contractors Ltd
