Payment Date,Amount,Benificiary Name,Organisational Unit
2012-07-11,670.40,A Andrews & Sons (Marbles & Tiles),East - North East
2012-07-11,1431.90,A D D Loop Cutting Services Ltd,City Development
2012-07-27,952.00,A D G Engineering Ltd,Adult Social Care
2012-07-11,1585.00,A D Simpson Construction Ltd,East - North East
2012-07-10,3754.37,A D Simpson Construction Ltd,East - North East
2012-07-06,898.70,REDACTED PERSONAL DATA,Childrens Services
2012-07-26,4486.62,REDACTED PERSONAL DATA,Childrens Services
2012-07-23,51903.81,A E Yates Ltd,City Development
2012-07-19,500.00,REDACTED PERSONAL DATA,Childrens Services
2012-07-26,721.50,REDACTED PERSONAL DATA,Childrens Services
2012-07-04,429.98,REDACTED PERSONAL DATA,Adult Social Care
2012-07-26,810.30,REDACTED PERSONAL DATA,Childrens Services
2012-07-12,449.00,A J H  Pump Supply & Repair Ltd,Central & Corporate Functions
2012-07-12,1415.00,A J H  Pump Supply & Repair Ltd,Central & Corporate Functions
2012-07-19,545.48,A J Promotions,City Development
2012-07-06,792.00,A J Promotions,City Development
2012-07-23,1365.58,A J Promotions,City Development
2012-07-27,778.91,A J Promotions,City Development
2012-07-06,833.54,A J Promotions,City Development
2012-07-26,943.50,REDACTED PERSONAL DATA,Childrens Services
2012-07-19,13000.00,A Lowrie Care Service Limited,Childrens Services
2012-07-26,14000.00,A Lowrie Care Service Limited,Childrens Services
2012-07-11,1449.60,A Nicholls,City Development
2012-07-12,1295.00,A Photographic Memory Ltd,City Development
2012-07-04,1026.92,REDACTED PERSONAL DATA,Adult Social Care
2012-07-26,1443.00,REDACTED PERSONAL DATA,Childrens Services
2012-07-02,500.00,REDACTED PERSONAL DATA,Childrens Services
2012-07-04,1384.16,REDACTED PERSONAL DATA,Adult Social Care
2012-07-04,1171.00,REDACTED PERSONAL DATA,Adult Social Care
2012-07-18,459.00,Aat (Gb) Ltd,Social Services Pooled Budgets
2012-07-18,589.00,Aat (Gb) Ltd,Social Services Pooled Budgets
2012-07-13,4500.00,Abbey Grange C Of E Academy Trust,Central & Corporate Functions
2012-07-04,1151.92,Abbey Lea Residential Care Home,Adult Social Care
2012-07-13,520.00,Abbey Taxis (Boston) Ltd,Childrens Services
2012-07-04,1147.40,Abbeydale Care Home,Adult Social Care
2012-07-04,1059.56,Abbeydale Residential Home,Adult Social Care
2012-07-26,12210.00,Abc Daycare,Childrens Services
2012-07-19,449.25,Abc Inflatables Limited,City Development
2012-07-19,1826.25,Abc Inflatables Limited,City Development
2012-07-06,640.82,Abc Nursery At Lufc,Childrens Services
2012-07-26,3396.60,Abc Nursery At Lufc,Childrens Services
2012-07-24,450.00,Abc Promotional Gifts Ltd,Aire Valley Homes Leeds
2012-07-24,514.80,Abc Promotional Gifts Ltd,West - North West
2012-07-20,425.40,Abc Promotional Gifts Ltd,West - North West
2012-07-23,543.70,Abc Promotional Gifts Ltd,West - North West
2012-07-03,833.00,Abc Promotional Gifts Ltd,West - North West
2012-07-03,1070.00,Abc Promotional Gifts Ltd,West - North West
2012-07-23,2032.19,Abc Promotional Gifts Ltd,West - North West
2012-07-04,13606.76,Aberford Hall,Adult Social Care
2012-07-04,8204.09,Aberford Hall,Adult Social Care
2012-07-04,1144.87,REDACTED PERSONAL DATA,Adult Social Care
2012-07-04,2714.33,REDACTED PERSONAL DATA,Adult Social Care
2012-07-09,476.29,Able Bathing & Building Contractors Ltd,Environment & Neighbourhoods
2012-07-30,939.20,Able Bathing & Building Contractors Ltd,Environment & Neighbourhoods
2012-07-02,1500.00,Able Bathing & Building Contractors Ltd,Environment & Neighbourhoods
2012-07-30,1515.00,Able Bathing & Building Contractors Ltd,Environment & Neighbourhoods
2012-07-13,2371.91,Able Bathing & Building Contractors Ltd,Environment & Neighbourhoods
