Organisational Unit,Payment Date,Amount,Benificiary Name
Communities and Environment,2017-09-19,80.00,(Aq) Limited
Resources and Housing,2017-10-02,22.16,A Andrews & Sons (Marbles & Tiles)
Resources and Housing,2017-10-25,816.70,A Andrews & Sons (Marbles & Tiles)
Resources and Housing,2017-10-25,239.78,A Andrews & Sons (Marbles & Tiles)
Resources and Housing,2017-10-27,6.00,A Andrews & Sons (Marbles & Tiles)
Resources and Housing,2017-10-05,250.00,REDACTED PERSONAL DATA
City Development,2017-10-13,104.49,A C Entertainment Technologies Ltd
Communities and Environment,2017-10-19,1941.95,REDACTED COMMERCIAL CONFIDENTIALITY
Resources and Housing,2017-10-05,250.00,REDACTED PERSONAL DATA
Children and Families,2017-10-27,296.99,A E Speight
City Development,2017-10-16,138847.93,A E Yates Ltd
Children and Families,2017-10-27,111.37,A Green
Children and Families,2017-10-27,95.46,A Hayes
City Development,2017-10-19,600.00,REDACTED COMMERCIAL CONFIDENTIALITY
Resources and Housing,2017-10-02,895.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-02,2319.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-02,1777.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-02,780.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-02,1074.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-02,185.56,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-02,57.45,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-02,377.85,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-02,78.40,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-04,6268.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-04,863.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-04,3660.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-05,750.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,133.15,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,499.32,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,107.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,108.47,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,129.90,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,107.85,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,623.35,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,144.75,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,215.77,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,339.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,468.57,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,347.04,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,187.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,700.92,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,150.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,195.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,123.52,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,2323.82,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,145.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,1496.02,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,123.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,28.90,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,120.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,109.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,52.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,16.20,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,225.57,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,442.64,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,269.70,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,542.35,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,192.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,457.97,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,219.90,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,67.12,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,7.95,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,660.76,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,108.95,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-06,149.28,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-13,1210.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-13,19.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-13,10.31,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-19,89.85,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-19,472.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-25,25.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,99.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,164.80,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,231.96,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,114.80,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,157.49,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,155.38,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,16.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,450.39,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,69.56,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,424.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,132.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,29.75,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,233.49,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,175.99,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,23.45,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,17.04,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,41.35,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,119.62,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,120.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,33.74,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,1583.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,151.53,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,180.95,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,168.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,15.22,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-26,393.82,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-30,155.10,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-30,98.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,290.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,371.89,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,55.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,39.50,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,24.45,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,212.73,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,405.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,146.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,85.93,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,108.75,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,95.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,35.25,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,212.64,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,530.00,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,211.71,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,103.10,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,137.37,A J H  Pump Supply & Repair Ltd
Resources and Housing,2017-10-31,86.00,A J H  Pump Supply & Repair Ltd
Communities and Environment,2017-10-17,218.88,A J Promotions
Communities and Environment,2017-10-17,43.80,A J Promotions
Communities and Environment,2017-10-27,875.52,A J Promotions
Communities and Environment,2017-10-04,302.25,A Namaki
Communities and Environment,2017-10-06,705.00,A Newton
City Development,2017-10-06,2350.00,A Quiet Word Ltd
City Development,2017-10-19,90.00,REDACTED PERSONAL DATA
Resources and Housing,2017-10-09,35.00,A Star Couriers Ltd
Children and Families,2017-10-27,95.46,A Walding
Communities and Environment,2017-10-27,4608.70,A&C Weber Uk Ltd
Communities and Environment,2017-10-27,4640.00,A&C Weber Uk Ltd
Communities and Environment,2017-10-27,4210.80,A&C Weber Uk Ltd
Communities and Environment,2017-10-27,2004.80,A&C Weber Uk Ltd
Communities and Environment,2017-10-27,9951.70,A&C Weber Uk Ltd
Communities and Environment,2017-10-27,1017.60,A&C Weber Uk Ltd
Communities and Environment,2017-10-30,2035.20,A&C Weber Uk Ltd
Communities and Environment,2017-10-30,508.80,A&C Weber Uk Ltd
Communities and Environment,2017-10-30,12633.00,A&C Weber Uk Ltd
Communities and Environment,2017-10-30,1017.60,A&C Weber Uk Ltd
Communities and Environment,2017-10-30,127.20,A&C Weber Uk Ltd
Resources and Housing,2017-10-04,1057.50,A1 Bridge Flue Systems
