Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2011-04-06,5340.00,Central & Corporate Functions,A & A Electrical Distributors Ltd,,
2011-04-13,760.00,City Development,A A Crouch,,
2011-04-07,3536.00,Environment & Neighbourhoods,A Appleyard,,
2011-04-07,1664.00,Environment & Neighbourhoods,A Appleyard,,
2011-04-12,760.00,Central & Corporate Functions,A Bush (Engineering Services) Ltd,,
2011-04-12,880.00,Central & Corporate Functions,A Bush (Engineering Services) Ltd,,
2011-04-27,3270.00,Central & Corporate Functions,A Bush (Engineering Services) Ltd,,
2011-04-28,630.00,Central & Corporate Functions,A Bush (Engineering Services) Ltd,,
2011-04-28,450.00,Adult Social Care,A D G Engineering Ltd,,
2011-04-28,9090.00,Adult Social Care,A D G Engineering Ltd,,
2011-04-28,1132.50,Adult Social Care,A D G Engineering Ltd,,
2011-04-08,1070.55,East - North East,A D Simpson Construction Ltd,,
2011-04-08,684.00,East - North East,A D Simpson Construction Ltd,,
2011-04-08,1694.35,East - North East,A D Simpson Construction Ltd,,
2011-04-08,578.10,East - North East,A D Simpson Construction Ltd,,
2011-04-27,709.08,East - North East,A D Simpson Construction Ltd,,
2011-04-07,986.05,East - North East,A D Simpson Construction Ltd,,
2011-04-27,705.99,East - North East,A D Simpson Construction Ltd,,
2011-04-07,712.60,East - North East,A D Simpson Construction Ltd,,
2011-04-07,3345.62,East - North East,A D Simpson Construction Ltd,,
2011-04-07,1353.85,East - North East,A D Simpson Construction Ltd,,
2011-04-07,452.90,East - North East,A D Simpson Construction Ltd,,
2011-04-08,1768.70,East - North East,A D Simpson Construction Ltd,,
2011-04-27,2950.55,East - North East,A D Simpson Construction Ltd,,
2011-04-08,437.95,East - North East,A D Simpson Construction Ltd,,
2011-04-27,1042.81,East - North East,A D Simpson Construction Ltd,,
2011-04-27,862.10,East - North East,A D Simpson Construction Ltd,,
2011-04-11,920.00,East - North East,A D Simpson Construction Ltd,,
2011-04-11,920.00,East - North East,A D Simpson Construction Ltd,,
2011-04-11,920.00,East - North East,A D Simpson Construction Ltd,,
2011-04-11,920.00,East - North East,A D Simpson Construction Ltd,,
2011-04-11,920.00,East - North East,A D Simpson Construction Ltd,,
2011-04-11,920.00,East - North East,A D Simpson Construction Ltd,,
2011-04-11,920.00,East - North East,A D Simpson Construction Ltd,,
2011-04-07,418.40,East - North East,A D Simpson Construction Ltd,,
2011-04-07,848.45,East - North East,A D Simpson Construction Ltd,,
2011-04-07,619.13,East - North East,A D Simpson Construction Ltd,,
2011-04-07,498.50,East - North East,A D Simpson Construction Ltd,,
2011-04-27,3107.04,East - North East,A D Simpson Construction Ltd,,
2011-04-27,1306.15,East - North East,A D Simpson Construction Ltd,,
2011-04-20,1929.35,East - North East,A D Simpson Construction Ltd,,
2011-04-20,695.35,East - North East,A D Simpson Construction Ltd,,
2011-04-15,1334.46,East - North East,A D Simpson Construction Ltd,,
2011-04-15,924.00,East - North East,A D Simpson Construction Ltd,,
2011-04-15,1082.00,East - North East,A D Simpson Construction Ltd,,
2011-04-28,1472.88,East - North East,A D Simpson Construction Ltd,,
2011-04-28,1529.80,East - North East,A D Simpson Construction Ltd,,
2011-04-28,1483.39,East - North East,A D Simpson Construction Ltd,,
2011-04-28,1305.50,East - North East,A D Simpson Construction Ltd,,
2011-04-28,1884.51,East - North East,A D Simpson Construction Ltd,,
2011-04-15,17369.28,Childrens Services,A E Speight,,
2011-04-28,500.00,City Development,A G Jones,,
2011-04-15,4630.00,Central & Corporate Functions,A J H  Pump Supply & Repair Ltd,,
2011-04-21,853.00,Central & Corporate Functions,A J H  Pump Supply & Repair Ltd,,
2011-04-21,5989.62,Central & Corporate Functions,A J H  Pump Supply & Repair Ltd,,
2011-04-08,700.00,Childrens Services,A J Matthews,,
2011-04-28,13000.00,Childrens Services,A Lowrie Care Service Limited,,
2011-04-05,446.15,Central & Corporate Functions,A Mohammed,,
2011-04-28,456.00,City Development,A Newton,,
2011-04-01,563.00,City Development,A Newton,,
2011-04-07,462.00,City Development,A Y Creative Services,,
2011-04-18,624.00,City Development,A Y Creative Services,,
2011-04-18,624.00,City Development,A Y Creative Services,,
2011-04-21,1318.75,City Development,A Y Creative Services,,
2011-04-28,1520.00,Environment & Neighbourhoods,A Zoom Taxis,,
2011-04-01,1525.00,Environment & Neighbourhoods,A Zoom Taxis,,
2011-04-13,696.50,Central & Corporate Functions,Aalco Leeds,,
2011-04-01,971.00,Adult Social Care,Ab Co Ltd,,
2011-04-13,1189.60,Adult Social Care,Abbey Lea Residential Care Home,,
2011-04-13,1174.20,Adult Social Care,Abbeydale Care Home,,
2011-04-14,3502.96,Childrens Services,Abc Daycare,,
2011-04-15,6180.48,Childrens Services,Abc Nursery At Lufc,,
2011-04-20,488.00,East - North East,Abc Promotional Gifts Ltd,,
2011-04-04,9000.00,Strategic Accounts,Aberford And District Parish Council,,
2011-04-06,3061.26,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2011-04-28,3600.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2011-04-28,3600.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2011-04-28,3600.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
