Organisational Unit,Payment Date,Amount,Benificiary Name
East - North East,2011-08-03,707.20,A Andrews & Sons (Marbles & Tiles)
East - North East,2011-08-23,707.20,A Andrews & Sons (Marbles & Tiles)
Childrens Services,2011-08-01,12200.00,A C Construction Ltd
City Development,2011-08-17,602.00,A D D Loop Cutting Services Ltd
City Development,2011-08-31,1525.52,A D D Loop Cutting Services Ltd
East - North East,2011-08-19,1205.82,A D Simpson Construction Ltd
City Development,2011-08-24,186865.05,A E Yates Ltd
Central & Corporate Functions,2011-08-31,2508.00,A J HPump Supply & Repair Ltd
City Development,2011-08-16,450.00,A J Paraskos
City Development,2011-08-19,450.00,A J Paraskos
City Development,2011-08-19,450.00,A J Paraskos
City Development,2011-08-19,450.00,A J Paraskos
City Development,2011-08-24,680.40,A J Promotions
City Development,2011-08-26,1074.95,A J Promotions
Childrens Services,2011-08-12,13000.00,A Lowrie Care Service Limited
Childrens Services,2011-08-12,14000.00,A Lowrie Care Service Limited
Central & Corporate Functions,2011-08-02,675.25,A Mohammed
Environment & Neighbourhoods,2011-08-12,2305.00,A Zoom Taxis
Central & Corporate Functions,2011-08-31,498.75,Aalco Leeds
Adult Social Care,2011-08-03,1170.76,Abbey Lea Residential Care Home
Adult Social Care,2011-08-31,1170.76,Abbey Lea Residential Care Home
Adult Social Care,2011-08-03,1163.80,Abbeydale Care Home
Adult Social Care,2011-08-31,1163.80,Abbeydale Care Home
Environment & Neighbourhoods,2011-08-02,1712.95,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2011-08-03,2890.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2011-08-05,5734.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2011-08-10,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2011-08-22,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2011-08-22,2890.00,Able Bathing & Building Contractors Ltd
City Development,2011-08-19,4645.00,Abyss Recycling
Childrens Services,2011-08-04,1044.00,Academic Appointments Ltd
Childrens Services,2011-08-11,1044.00,Academic Appointments Ltd
Environment & Neighbourhoods,2011-08-04,2241.00,Accent Homes Ltd
Central & Corporate Functions,2011-08-24,5162.60,Accenture (Uk) Ltd
East - North East,2011-08-15,39360.00,Access Platform Sales Limited
East - North East,2011-08-15,528.00,Access Platform Sales Limited
City Development,2011-08-01,1643.28,Acclaimed Security Services
City Development,2011-08-01,895.44,Acclaimed Security Services
City Development,2011-08-01,1230.00,Acclaimed Security Services
City Development,2011-08-01,808.01,Acclaimed Security Services
City Development,2011-08-01,1436.64,Acclaimed Security Services
City Development,2011-08-02,1752.96,Acclaimed Security Services
City Development,2011-08-04,808.01,Acclaimed Security Services
City Development,2011-08-04,1530.12,Acclaimed Security Services
City Development,2011-08-05,657.36,Acclaimed Security Services
City Development,2011-08-05,511.28,Acclaimed Security Services
City Development,2011-08-11,1431.72,Acclaimed Security Services
City Development,2011-08-11,438.24,Acclaimed Security Services
City Development,2011-08-11,1161.12,Acclaimed Security Services
City Development,2011-08-11,1062.72,Acclaimed Security Services
City Development,2011-08-11,1173.21,Acclaimed Security Services
City Development,2011-08-11,2169.72,Acclaimed Security Services
City Development,2011-08-19,808.01,Acclaimed Security Services
City Development,2011-08-19,1886.82,Acclaimed Security Services
Insurance,2011-08-04,628.19,Accountant General Of The Senior Court
Childrens Services,2011-08-01,547.50,Ace Container Services Limited
West - North West,2011-08-08,2051.68,Achievetech Solutions Ltd
Adult Social Care,2011-08-03,1185.08,Ackworth House
Childrens Services,2011-08-26,14850.00,Ackworth School
Central & Corporate Functions,2011-08-01,1120.00,Acm
Central & Corporate Functions,2011-08-12,1570.00,Acm
Central & Corporate Functions,2011-08-31,780.00,Acm
Central & Corporate Functions,2011-08-01,1234.00,Acme
Central & Corporate Functions,2011-08-01,1184.00,Acme
Central & Corporate Functions,2011-08-01,1234.00,Acme
Central & Corporate Functions,2011-08-01,1234.00,Acme
Central & Corporate Functions,2011-08-03,970.00,Acme
Central & Corporate Functions,2011-08-09,4748.00,Acme
Central & Corporate Functions,2011-08-30,1660.00,Acme
Central & Corporate Functions,2011-08-30,1091.00,Acme
Central & Corporate Functions,2011-08-30,735.00,Acme
Central & Corporate Functions,2011-08-30,3320.00,Acme
City Development,2011-08-26,22000.00,Acorn Event Solutions Ltd
Childrens Services,2011-08-05,444.54,Action For Children
Childrens Services,2011-08-05,714.67,Action For Children
Childrens Services,2011-08-08,2720.76,Action For Children
Childrens Services,2011-08-12,4650.00,Action For Children
Childrens Services,2011-08-12,4774.00,Action For Children
Childrens Services,2011-08-12,4774.00,Action For Children
Childrens Services,2011-08-16,2000.00,Action For Children
Childrens Services,2011-08-17,644.00,Action For Children
Childrens Services,2011-08-17,644.00,Action For Children
Childrens Services,2011-08-30,644.00,Action For Children
Childrens Services,2011-08-30,825.00,Action For Children
