Organisational Unit,Payment Date,Amount,Benificiary Name
Central & Corporate,2016-02-04,19.50,A Andrews & Sons (Marbles & Tiles)
Childrens Services,2016-02-11,213.27,REDACTED PERSONAL DATA
Citizens and Communities,2016-02-22,500.00,REDACTED PERSONAL DATA
Environment & Housing,2016-02-08,1245.18,REDACTED COMMERCIAL CONFIDENTIALITY
Civic Enterprise Leeds,2016-02-12,88.20,A D Smith
Civic Enterprise Leeds,2016-02-18,149.00,A D Smith
Citizens and Communities,2016-02-02,500.00,REDACTED PERSONAL DATA
Childrens Services,2016-02-19,850.83,A E Speight
City Development,2016-02-18,150.00,REDACTED PERSONAL DATA
Strategic Landlord,2016-02-10,50.00,REDACTED PERSONAL DATA
Childrens Services,2016-02-18,73.00,REDACTED PERSONAL DATA
Childrens Services,2016-02-18,25.20,REDACTED PERSONAL DATA
Insurance,2016-02-25,180.00,REDACTED PERSONAL DATA
Childrens Services,2016-02-19,12.23,A Hayes
City Development,2016-02-17,400.00,REDACTED COMMERCIAL CONFIDENTIALITY
Central & Corporate,2016-02-01,27.44,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-03,684.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,89.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,1787.50,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,58.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,38.90,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,17.16,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,19.83,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,105.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,15.90,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,15.90,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,158.37,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,224.12,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,19.77,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,95.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-04,6.19,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-08,1789.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-11,29.25,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-11,15.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-11,130.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-11,180.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-11,3381.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-16,371.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-16,84.56,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-16,105.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-16,11.90,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-16,117.76,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-17,251.19,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-17,675.95,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-02-17,305.12,A J H  Pump Supply & Repair Ltd
