Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2012-01-18,504.12,Central & Corporate Functions,A & A Electrical Distributors Ltd,,
2012-01-12,25722.29,Insurance,A A Law Solicitors,,
2012-01-13,1380.00,Adult Social Care,A D G Engineering Ltd,,
2012-01-13,535.00,Central & Corporate Functions,A J H Pump Supply & Repair Ltd,,
2012-01-13,486.00,Central & Corporate Functions,A J H Pump Supply & Repair Ltd,,
2012-01-18,3091.00,Central & Corporate Functions,A J H Pump Supply & Repair Ltd,,
2012-01-06,1195.10,City Development,A J Promotions,,
2012-01-06,470.00,City Development,A J Promotions,,
2012-01-12,616.00,City Development,A J Promotions,,
2012-01-06,647.75,Central & Corporate Functions,A Namaki,,
2012-01-11,2550.00,Childrens Services,A&D Media Ltd,,
2012-01-12,5600.00,Childrens Services,Abbey Grange C Of E Academy Trust,,
2012-01-25,8730.00,Other Education Services,Abbey Grange C Of E Academy Trust,,
2012-01-18,1170.76,Adult Social Care,Abbey Lea Residential Care Home,,
2012-01-18,520.00,Childrens Services,Abbey Taxis (Boston) Ltd,,
2012-01-18,1163.80,Adult Social Care,Abbeydale Care Home,,
2012-01-18,16350.48,Adult Social Care,Aberford Hall,,
2012-01-18,1146.36,Adult Social Care,Aberford Hall,,
2012-01-03,2890.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-10,4368.12,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-12,2863.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-18,4444.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-18,4150.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-20,4150.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-20,1500.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-20,4150.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-30,2890.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-30,3098.77,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-30,2890.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-30,4150.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-30,2090.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-30,4460.20,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-30,4150.00,Environment & Neighbourhoods,Able Bathing & Building Contractors Ltd,,
2012-01-04,480.00,Childrens Services,Academic Appointments Ltd,,
2012-01-12,444.00,Childrens Services,Academic Appointments Ltd,,
2012-01-20,444.00,Childrens Services,Academic Appointments Ltd,,
2012-01-25,600.00,Childrens Services,Academic Appointments Ltd,,
2012-01-20,495.00,East - North East,Access Platform Sales Limited,,
2012-01-06,929.88,City Development,Acclaimed Security Services,,
2012-01-13,693.72,City Development,Acclaimed Security Services,,
2012-01-30,1768.74,City Development,Acclaimed Security Services,,
2012-01-19,6500.00,Insurance,Accountant General Of The Senior Court,,
2012-01-20,5862.00,City Development,Ace Engineers (Morley) Ltd,,
2012-01-18,14850.00,Childrens Services,Ackworth School,,
2012-01-18,1645.08,Adult Social Care,Acre Green,,
2012-01-18,21775.72,Adult Social Care,Acre Green,,
2012-01-18,1824.68,Adult Social Care,Acre Green,,
2012-01-18,1259.12,Adult Social Care,Acre Green,,
2012-01-18,1718.12,Adult Social Care,Acre Green,,
2012-01-18,12533.56,Adult Social Care,Acre Green,,
