Organisational Unit,Payment Date,Amount,Benificiary Name
Citizens And Communities,2016-06-17,80.00,A & C Audio Visual Ltd
Citizens and Communities,2016-07-14,132.50,A & C Mcnaught
Environment & Housing,2016-07-01,170.39,A Andrews & Sons (Marbles & Tiles)
Environment & Housing,2016-07-04,50.11,A Andrews & Sons (Marbles & Tiles)
Environment & Housing,2016-07-04,0.17,A Andrews & Sons (Marbles & Tiles)
Environment & Housing,2016-07-06,11.00,A Andrews & Sons (Marbles & Tiles)
Environment & Housing,2016-07-22,27.20,A Andrews & Sons (Marbles & Tiles)
City Development,2016-07-27,300.00,A B Jones
Childrens Services,2016-07-14,500.00,REDACTED PERSONAL DATA
Childrens Services,2016-07-28,104.50,REDACTED PERSONAL DATA
City Development,2016-07-12,325.34,A C Entertainment Technologies Ltd
City Development,2016-07-15,273.13,A C Entertainment Technologies Ltd
City Development,2016-07-15,14.00,A C Entertainment Technologies Ltd
City Development,2016-07-15,15.26,A C Entertainment Technologies Ltd
City Development,2016-07-15,139.39,A C Entertainment Technologies Ltd
City Development,2016-07-20,250.31,A C Entertainment Technologies Ltd
City Development,2016-07-20,39.58,A C Entertainment Technologies Ltd
Childrens Services,2016-07-11,189.15,A Clarkson
Environment & Housing,2016-07-08,2809.63,REDACTED COMMERCIAL CONFIDENTIALITY
Environment & Housing,2016-07-13,4477.29,REDACTED COMMERCIAL CONFIDENTIALITY
Environment & Housing,2016-07-28,2456.50,REDACTED COMMERCIAL CONFIDENTIALITY
Childrens Services,2016-07-11,1196.01,A E Speight
Childrens Services,2016-07-18,825.21,A E Speight
Childrens Services,2016-07-18,4046.70,A E Speight
Childrens Services,2016-07-18,108.68,A Foley
Childrens Services,2016-07-07,60.00,REDACTED PERSONAL DATA
Childrens Services,2016-07-07,25.20,REDACTED PERSONAL DATA
Childrens Services,2016-07-11,378.30,A Green
Childrens Services,2016-07-18,296.40,A Green
Childrens Services,2016-07-18,207.48,A Hayes
Childrens Services,2016-07-18,296.40,A Hodgson
City Development,2016-07-08,1830.00,REDACTED COMMERCIAL CONFIDENTIALITY
Environment & Housing,2016-07-01,944.04,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,30.02,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,604.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,4.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,37.90,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,7.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,115.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,19.83,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,146.41,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,263.62,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,650.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,109.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,221.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,390.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,297.67,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,16.20,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,39.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,55.40,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,114.62,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,124.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,239.23,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,41.90,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-01,218.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-06,189.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-06,44.20,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-08,1718.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,582.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,31.80,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,5.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,73.99,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,66.80,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,58.10,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,249.20,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,334.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,82.70,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,95.22,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,80.65,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,30.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,117.54,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,48.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,45.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,71.40,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,124.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,22.21,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,82.75,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,48.59,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,78.60,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,1158.95,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,46.65,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,61.58,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,85.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,99.79,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-15,10.70,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-22,330.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-28,294.75,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-28,10.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,270.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,190.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,143.67,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,7.75,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,844.37,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,305.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,109.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,28.55,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,446.25,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,62.95,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-07-29,167.00,A J H  Pump Supply & Repair Ltd
City Development,2016-07-22,550.00,A J Promotions
City Development,2016-07-27,668.97,A J Promotions
Childrens Services,2016-07-18,592.80,A K Walsh
Childrens Services,2016-07-15,50.00,REDACTED PERSONAL DATA
Childrens Services,2016-07-06,630.00,A Little Something Extra Ltd
Childrens Services,2016-07-22,480.00,A Little Something Extra Ltd
Childrens Services,2016-07-22,862.50,A Little Something Extra Ltd
Childrens Services,2016-07-22,180.00,A Little Something Extra Ltd
Childrens Services,2016-07-22,360.00,A Little Something Extra Ltd
Childrens Services,2016-07-26,877.50,A Little Something Extra Ltd
Childrens Services,2016-07-11,85.36,A Longbottom
Citizens and Communities,2016-07-04,852.13,A Mohammed
Citizens and Communities,2016-07-04,124.25,A Namaki
Environment & Housing,2016-07-14,481.00,A Newton
Environment & Housing,2016-07-08,1353.60,A Nicholls
Environment & Housing,2016-07-12,400.00,REDACTED PERSONAL DATA
City Development,2016-07-27,138.08,A S Jhagra
Civic Enterprise Leeds,2016-07-06,81.25,A Star Couriers Ltd
Childrens Services,2016-07-28,500.00,REDACTED PERSONAL DATA
Environment & Housing,2016-07-01,623.80,A T Nerac Ltd
Childrens Services,2016-07-18,141.00,A Walding
Environment & Housing,2016-07-04,9959.20,A&C Weber Uk Ltd
Strategic Landlord,2016-07-15,1730.00,A.T.S.Y
Strategic Landlord,2016-06-08,49.57,A2b Office Technol
Childrens Services,2016-06-16,17.50,A2b Office Technol
Public Health,2016-07-13,3.00,Aaa Healthcare Ltd
Central & Corporate,2016-07-19,68.00,Ab Cars (Garforth) Ltd
Childrens Services,2016-07-01,15.59,Abacus Express Limited
Childrens Services,2016-07-07,15.59,Abacus Express Limited
Childrens Services,2016-07-08,31.02,Abacus Express Limited
Childrens Services,2016-07-22,26.77,Abacus Express Limited
City Development,2016-07-22,15.59,Abacus Express Limited
City Development,2016-07-22,15.59,Abacus Express Limited
City Development,2016-07-22,15.59,Abacus Express Limited
City Development,2016-07-22,15.59,Abacus Express Limited
Adult Social Care,2016-07-27,1556.00,Abbendon Nursing Home
City Development,2016-06-09,25.00,Abbey House Museum Caf
City Development,2016-06-22,21.83,Abbey House Museum Caf
Environment & Housing,2016-07-25,43.60,Abbey House Veterinary Hospital
Adult Social Care,2016-07-01,1353.00,Abbeyfield The Dales Limited
Childrens Services,2016-07-11,1891.50,Abc Daycare And Ozone Out Of School
Childrens Services,2016-07-18,516.75,Abc Daycare And Ozone Out Of School
Childrens Services,2016-07-18,2143.20,Abc Daycare And Ozone Out Of School
Childrens Services,2016-07-11,1324.05,Abc Nursery At Lufc
Childrens Services,2016-07-18,206.70,Abc Nursery At Lufc
Childrens Services,2016-07-18,3556.80,Abc Nursery At Lufc
Childrens Services,2016-07-11,1144.60,Abc@D'S Childcare Services
Childrens Services,2016-07-18,159.60,Abc@D'S Childcare Services
Environment & Housing,2016-06-18,9.58,Aberconwy Nursery
Adult Social Care,2016-07-27,26063.16,Aberford Hall
Adult Social Care,2016-07-27,1501.20,Aberford Hall
Adult Social Care,2016-07-27,6365.64,Aberford Hall
Citizens and Communities,2016-07-07,400.00,Aberford Village Hall
Environment & Housing,2016-07-14,12.00,Abi Garage Doors Ltd
Childrens Services,2016-07-19,5.20,REDACTED PERSONAL DATA
Childrens Services,2016-07-19,24.05,REDACTED PERSONAL DATA
Childrens Services,2016-07-19,9.00,REDACTED PERSONAL DATA
City Development,2016-07-14,1200.00,Absolute Media Ltd
City Development,2016-07-29,282.50,Absolute Media Ltd
City Development,2016-07-18,964.74,Absolute Museum & Gallery Products Ltd
Childrens Services,2016-06-01,12.88,Abu Bakar Ltd
Childrens Services,2016-07-04,2003.90,Academic Appointments Ltd
Childrens Services,2016-07-05,2003.90,Academic Appointments Ltd
Childrens Services,2016-07-07,18.05,Academic Appointments Ltd
Childrens Services,2016-07-08,3814.00,Academic Appointments Ltd
Childrens Services,2016-07-14,381.26,Academic Appointments Ltd
Childrens Services,2016-07-15,2003.90,Academic Appointments Ltd
Childrens Services,2016-07-22,2003.90,Academic Appointments Ltd
Childrens Services,2016-07-28,2003.90,Academic Appointments Ltd
Childrens Services,2016-07-28,508.74,Academic Appointments Ltd
Environment & Housing,2016-07-22,10.45,Access Hire Nationwide Ltd
Environment & Housing,2016-07-29,1307.14,Access Hire Nationwide Ltd
Environment & Housing,2016-07-15,936.00,Access Lift Consultants Ltd
Strategic Landlord,2016-07-01,7.20,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-01,103.80,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-01,97.20,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-01,103.80,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-01,639.54,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-01,72.42,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-01,8.57,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-01,27.00,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-01,194.64,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-06,23.90,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-06,17.83,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-15,159.10,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-15,20.52,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-15,29.48,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-15,7.65,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-15,39.20,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-15,37.98,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-15,13.50,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-15,17.91,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-27,175.42,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-27,72.42,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-27,561.70,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-27,102.42,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-27,102.42,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,144.00,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,120.00,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,36.94,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,310.10,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,103.90,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,34.00,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,49.21,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,50.62,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,24.50,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,6.75,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,11.56,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-27,353.99,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-29,31.44,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-29,8.28,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-29,41.78,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-29,103.70,Access Locksmiths (Leeds) Limited
Strategic Landlord,2016-07-29,14.40,Access Locksmiths (Leeds) Limited
Environment & Housing,2016-07-01,80.00,Access Opening Systems Limited
Environment & Housing,2016-07-01,85.00,Access Opening Systems Limited
Environment & Housing,2016-07-01,85.00,Access Opening Systems Limited
Environment & Housing,2016-07-01,85.00,Access Opening Systems Limited
Environment & Housing,2016-07-01,110.50,Access Opening Systems Limited
Environment & Housing,2016-07-01,147.25,Access Opening Systems Limited
Environment & Housing,2016-07-01,85.00,Access Opening Systems Limited
Environment & Housing,2016-07-01,85.00,Access Opening Systems Limited
Environment & Housing,2016-07-01,1833.00,Access Opening Systems Limited
Environment & Housing,2016-07-01,182.50,Access Opening Systems Limited
