Organisation Code,Organisation Label,Effective Date,Organisational Unit,Service Division Label,Category Internal Name,Purpose,Detailed Expenditure Code,Payment Date,Transaction Number,Irrecoverable VAT Amount,Amount,Capital Or Revenue,Beneficiary Name,Procurement Card
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Services Rendered By Other Organisations,511,05/06/2020,2006-00013,0.00,478.29,R,REDACTED PERSONAL DATA,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Services Rendered By Other Organisations,511,03/06/2020,2006-00014,0.00,190.08,R,REDACTED PERSONAL DATA,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Services Rendered By Other Organisations,511,05/06/2020,2006-00015,0.00,315.36,R,REDACTED PERSONAL DATA,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Services Rendered By Other Organisations,511,05/06/2020,2006-00016,0.00,157.68,R,REDACTED PERSONAL DATA,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Social Services Support Services,Employees,Training & Development,70,05/06/2020,2006-00017,0.00,13.00,R,REDACTED PERSONAL DATA,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Other Generic Services,Third Party Payments,Fees To Carers,563,16/06/2020,2006-00018,0.00,210.00,R,REDACTED PERSONAL DATA,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Other Generic Services,Third Party Payments,Fees To Carers,563,16/06/2020,2006-00019,0.00,440.64,R,REDACTED PERSONAL DATA,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Other Generic Services,Third Party Payments,Fees To Carers,563,16/06/2020,2006-00020,0.00,25.20,R,REDACTED PERSONAL DATA,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Other Generic Services,Third Party Payments,Fees To Carers,563,16/06/2020,2006-00021,0.00,50.40,R,REDACTED PERSONAL DATA,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Other Generic Services,Third Party Payments,Fees To Carers,563,19/06/2020,2006-00022,0.00,49.17,R,REDACTED PERSONAL DATA,No
