Organisation Code,Organisation Label,Effective Date,Organisational Unit,Service Division Label,Category Internal Name,Purpose,Detailed Expenditure Code,Payment Date,Transaction Number,Irrecoverable VAT Amount,Amount,Capital Or Revenue,Beneficiary Name,Procurement Card
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council as Accountable Body,30/06/2020,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,19/06/2020,2006-03256,0.00,639.21,R,COMMUNITY INTEGRATED CARE,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council as Accountable Body,30/06/2020,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Sheltered Accommodation,569,24/06/2020,2006-03257,0.00,43516.82,R,COMMUNITY INTEGRATED CARE,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Sheltered Accommodation,569,24/06/2020,2006-03258,0.00,1453.28,R,COMMUNITY LINKS,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,Payments To Voluntary Organisations,561,19/06/2020,2006-03259,0.00,73125.00,R,Community Links (Northern)  Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Resources and Housing,Facilities Management,Supplies and Services,Security Services(Non Infrastructure),262,29/06/2020,2006-03260,0.00,-500.00,R,Community Ventures Company (No.1) Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Resources and Housing,Facilities Management,Premises,Rents,141,29/06/2020,2006-03261,0.00,61925.17,R,Community Ventures Company (No.1) Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Resources and Housing,Facilities Management,Premises,Rents,141,29/06/2020,2006-03262,0.00,54942.14,R,Community Ventures Company (No.1) Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Resources and Housing,Facilities Management,Premises,Rents,141,30/06/2020,2006-03263,0.00,61925.17,R,Community Ventures Company (No.1) Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Communities and Environment,Environmental Action (City Centre),Supplies and Services,Other Hired And Contracted Services,265,11/06/2020,2006-03264,0.00,4.00,R,COMPANIES HOUSE,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care  ,Supplies and Services,Food & Drink,231,18/05/2020,2006-03265,0.00,92.45,R,Company Shop Ltd,Yes
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Resources and Housing,Technology  ,Supplies and Services,Computer Software & Equipment,214,04/05/2020,2006-03266,0.00,2827.55,R,Comparex UK Ltd,Yes
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Communities and Environment,Customer Access  ,Supplies and Services,Computer Software & Equipment,214,04/05/2020,2006-03267,0.00,14309.86,R,Comparex UK Ltd,Yes
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Resources and Housing,Facilities Management  ,Supplies and Services,Computer Software & Equipment,214,04/05/2020,2006-03268,0.00,22145.00,R,Comparex UK Ltd,Yes
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Independent Fostering Agencies,509,09/06/2020,2006-03269,0.00,2917.50,R,Compass Fostering North Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Independent Fostering Agencies,509,11/06/2020,2006-03270,0.00,3562.80,R,Compass Fostering North Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Independent Fostering Agencies,509,17/06/2020,2006-03271,0.00,3158.70,R,Compass Fostering North Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Independent Fostering Agencies,509,17/06/2020,2006-03272,0.00,3175.47,R,Compass Fostering North Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Independent Fostering Agencies,509,17/06/2020,2006-03273,0.00,2917.50,R,Compass Fostering North Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Independent Fostering Agencies,509,19/06/2020,2006-03274,0.00,3014.75,R,Compass Fostering North Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Independent Fostering Agencies,509,23/06/2020,2006-03275,0.00,3411.49,R,Compass Fostering North Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care,Third Party Payments,Independent Fostering Agencies,509,25/06/2020,2006-03276,0.00,3301.44,R,Compass Fostering North Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,City Development,Economic Development,Capital,OTHER COSTS,7,22/06/2020,2006-03277,0.00,4750.00,C,Compass Live Art Ltd,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,03/06/2020,2006-03278,0.00,14746.09,R,Complete Care Agency,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,03/06/2020,2006-03279,0.00,3383.86,R,Complete Care Agency,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,17/06/2020,2006-03280,0.00,14955.05,R,Complete Care Agency,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03281,0.00,3823.71,R,Complete Care Agency,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,18/06/2020,2006-03282,0.00,759.09,R,Complete Care Agency,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care  ,Supplies and Services,General Amenity For Clients/Residents,285,12/05/2020,2006-03283,0.00,6.24,R,Computer Fix,Yes
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care  ,Supplies and Services,Operational Furniture And Equipment,203,13/05/2020,2006-03284,0.00,125.00,R,Computer Fix,Yes
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Children and Families,Social Care  ,Supplies and Services,General Amenity For Clients/Residents,285,28/05/2020,2006-03285,0.00,5.83,R,Computer Fix,Yes
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,City Development,Libraries  Arts & Heritage,Supplies and Services,Other Hired And Contracted Services,265,15/06/2020,2006-03286,0.00,1200.00,R,Coni Lighting Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,Residential Care Dementia,571,24/06/2020,2006-03287,0.00,933.82,R,CONNAUGHT COURT NURSING,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council as Accountable Body,30/06/2020,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,15/06/2020,2006-03288,0.00,178.76,R,CONNECT HOUSING ASSOCIATION LIMITED,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Learn/Dis,Third Party Payments,Payments To Voluntary Organisations,561,10/06/2020,2006-03289,0.00,19119.15,R,CONNECT IN THE NORTH,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Learn/Dis,Third Party Payments,Payments To Voluntary Organisations,561,10/06/2020,2006-03290,0.00,19029.00,R,CONNECT IN THE NORTH,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03291,0.00,40.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03292,0.00,925.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03293,0.00,460.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03294,0.00,150.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03295,0.00,160.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03296,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03297,0.00,180.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03298,0.00,70.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03299,0.00,110.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03300,0.00,80.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03301,0.00,80.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03302,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03303,0.00,300.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03304,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03305,0.00,130.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03306,0.00,120.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03307,0.00,40.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03308,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03309,0.00,40.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03310,0.00,180.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03311,0.00,160.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03312,0.00,200.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03313,0.00,270.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,04/06/2020,2006-03314,0.00,190.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,09/06/2020,2006-03315,0.00,925.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,09/06/2020,2006-03316,0.00,180.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,09/06/2020,2006-03317,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,09/06/2020,2006-03318,0.00,180.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,09/06/2020,2006-03319,0.00,130.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,09/06/2020,2006-03320,0.00,100.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,09/06/2020,2006-03321,0.00,160.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,09/06/2020,2006-03322,0.00,200.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03323,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,HCAIT Community Support,575,10/06/2020,2006-03324,0.00,160.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,10/06/2020,2006-03325,0.00,3565.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,HCAIT Community Support,575,10/06/2020,2006-03326,0.00,120.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03327,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,HCAIT Community Support,575,10/06/2020,2006-03328,0.00,160.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,10/06/2020,2006-03329,0.00,3565.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,HCAIT Community Support,575,10/06/2020,2006-03330,0.00,400.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03331,0.00,40.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03332,0.00,460.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03333,0.00,150.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03334,0.00,160.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03335,0.00,70.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03336,0.00,80.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03337,0.00,80.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03338,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03339,0.00,300.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03340,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03341,0.00,120.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03342,0.00,40.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03343,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03344,0.00,180.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,10/06/2020,2006-03345,0.00,270.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03346,0.00,300.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03347,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,HCAIT Community Support,575,17/06/2020,2006-03348,0.00,160.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,17/06/2020,2006-03349,0.00,3565.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,HCAIT Community Support,575,17/06/2020,2006-03350,0.00,400.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03351,0.00,108.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03352,0.00,40.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03353,0.00,940.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03354,0.00,460.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03355,0.00,240.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03356,0.00,150.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03357,0.00,160.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03358,0.00,80.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03359,0.00,80.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03360,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03361,0.00,130.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03362,0.00,120.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03363,0.00,40.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03364,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03365,0.00,40.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,17/06/2020,2006-03366,0.00,140.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,HCAIT Community Support,575,17/06/2020,2006-03367,0.00,160.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,Home Care,568,17/06/2020,2006-03368,0.00,3475.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Older People - 65 And Over,Third Party Payments,HCAIT Community Support,575,17/06/2020,2006-03369,0.00,400.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,18/06/2020,2006-03370,0.00,108.00,R,Connections Care Limited,No
Http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,30/06/2020,Adults and Health,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,18/06/2020,2006-03371,0.00,140.00,R,Connections Care Limited,No
